data,IBCR_NE_ajuste_sazonal,credito_PF_brasil,credito_PF_nordeste,credito_PJ_brasil,credito_PJ_nordeste,credito_total_nordeste,ibc_br,inadimplencia_PF,inadimplencia_PJ,ipca_mensal,pib_trimestral_indice,selic_mensal
2015-01-01,102.85,3021469.0,215094.0,1430120.0,171232.0,139754.0,101.8155,3.75,4.41,1.24,173.86,11.82
2015-02-01,102.8,3033503.0,215539.0,1433769.0,171608.0,139766.0,101.08609,3.81,4.42,1.22,,12.15
2015-03-01,103.26,3070618.0,217754.0,1445141.0,172289.0,140341.0,100.90693,3.67,4.38,1.32,,12.58
2015-04-01,102.34,3070707.0,218977.0,1453221.0,170416.0,140616.0,99.65606,3.75,4.57,0.71,169.75,12.68
2015-05-01,101.0,3092373.0,221212.0,1461804.0,170524.0,141030.0,99.00041,3.86,4.68,0.74,,13.15
2015-06-01,101.87,3109967.0,222944.0,1469882.0,169187.0,141165.0,97.92509,3.66,4.59,0.79,,13.58
2015-07-01,101.61,3119102.0,224729.0,1475360.0,170207.0,140375.0,96.93495,3.78,4.77,0.62,166.95,13.69
2015-08-01,100.74,3143987.0,226651.0,1486592.0,170371.0,141185.0,97.38494,3.89,4.91,0.22,,14.15
2015-09-01,99.84,3174090.0,227829.0,1493068.0,170434.0,142025.0,96.65598,3.95,4.92,0.54,,14.15
2015-10-01,99.79,3166774.0,228285.0,1496614.0,168395.0,141627.0,97.2129,4.08,5.02,0.82,165.67,14.15
2015-11-01,98.91,3186591.0,230706.0,1508221.0,168528.0,142042.0,96.03792,4.2,5.22,1.01,,14.15
2015-12-01,98.87,3229576.0,232617.0,1518662.0,172196.0,144711.0,95.70125,4.23,5.28,0.96,,14.15
2016-01-01,98.29,3208123.0,233207.0,1521900.0,170377.0,143853.0,95.25534,4.3,5.44,1.27,163.3,14.15
2016-02-01,96.58,3192287.0,233345.0,1522813.0,168732.0,143248.0,95.22152,4.3,5.47,0.9,,14.15
2016-03-01,96.08,3170854.0,234048.0,1527590.0,166657.0,144411.0,94.49125,4.25,5.51,0.43,,14.15
2016-04-01,95.74,3150823.0,234089.0,1526375.0,165386.0,144601.0,94.43174,4.3,5.65,0.61,163.75,14.15
2016-05-01,96.0,3157795.0,235531.0,1533354.0,165238.0,144176.0,94.09936,4.32,5.79,0.78,,14.15
2016-06-01,96.01,3140231.0,236775.0,1536798.0,162636.0,143681.0,94.35527,4.05,5.62,0.35,,14.15
2016-07-01,94.84,3126702.0,237538.0,1538189.0,161280.0,144144.0,94.0857,4.1,5.7,0.52,162.86,14.15
2016-08-01,95.38,3125535.0,238925.0,1546795.0,160014.0,144060.0,93.79533,4.12,5.76,0.44,,14.15
2016-09-01,95.85,3121960.0,239167.0,1550208.0,158243.0,144087.0,93.85792,4.18,5.77,0.08,,14.15
2016-10-01,96.34,3105525.0,238401.0,1547944.0,157669.0,143555.0,93.59054,4.18,5.79,0.26,162.7,14.05
2016-11-01,95.58,3114587.0,240416.0,1558281.0,157104.0,145051.0,93.43476,4.09,5.74,0.18,,13.9
2016-12-01,95.69,3117809.0,242314.0,1569164.0,155672.0,146712.0,93.2166,3.95,5.62,0.3,,13.65
2017-01-01,96.01,3086116.0,243162.0,1574530.0,153011.0,144842.0,93.9009,3.98,5.67,0.38,164.35,13.17
