ano_bim,bimestre,inadimplencia_PF,inadimplencia_PJ,ipca_mensal,selic_mensal,IBCR_NE_ajuste_sazonal,credito_PF_brasil,credito_PF_brasil_real,credito_PF_nordeste,credito_PF_nordeste_real,credito_PJ_brasil,credito_PJ_brasil_real,credito_PJ_nordeste,credito_PJ_nordeste_real,credito_total_nordeste,credito_total_nordeste_real,ibc_br,pib_trimestral_indice
2015,1,3.7800000000000002,4.415,1.23,11.985,102.8,3033503.0,5398083.829970012,215539.0,383549.180807768,1433769.0,2551375.507066344,171608.0,305374.4696786171,139766.0,248711.9955311034,101.08609,173.86
2015,2,3.71,4.475,1.0150000000000001,12.629999999999999,102.34,3070707.0,5355077.961160497,218977.0,381879.12643604295,1453221.0,2534306.187401018,170416.0,297192.4595310224,140616.0,245223.54056787063,99.65606,169.75
2015,3,3.76,4.635,0.765,13.365,101.87,3109967.0,5341507.07328451,222944.0,382916.26661837305,1469882.0,2524587.9135995917,169187.0,290586.2207566146,141165.0,242457.18555862745,97.92509,
2015,4,3.835,4.84,0.42,13.92,100.74,3143987.0,5354883.875908807,226651.0,386035.2429442638,1486592.0,2531984.874891348,170371.0,290178.33751299203,141185.0,240468.32255355536,97.38494,166.95
2015,5,4.015000000000001,4.97,0.6799999999999999,14.15,99.79,3166774.0,5321092.545440522,228285.0,383584.5601030859,1496614.0,2514742.6367659713,168395.0,282952.1081041643,141627.0,237974.15727586017,97.2129,165.67
2015,6,4.215,5.25,0.985,14.15,98.87,3229576.0,5321272.968174295,232617.0,383275.8709000191,1518662.0,2502252.6326655606,172196.0,283722.048971054,144711.0,238435.86046511072,95.70125,
2016,1,4.3,5.455,1.085,14.15,96.58,3192287.0,5147542.983727597,233345.0,376267.36491359206,1522813.0,2455526.515529203,168732.0,272079.3032488385,143248.0,230986.51134218535,95.22152,163.3
2016,2,4.275,5.58,0.52,14.15,95.74,3150823.0,5028256.779275196,234089.0,373572.11154157226,1526375.0,2435873.2437417707,165386.0,263932.082410598,144601.0,230762.2353080362,94.43174,163.75
2016,3,4.1850000000000005,5.705,0.565,14.15,96.01,3140231.0,4955224.17188037,236775.0,373626.3998721669,1536798.0,2425037.7112057707,162636.0,256636.4826084246,143681.0,226725.8568684735,94.35527,
2016,4,4.109999999999999,5.73,0.48,14.15,95.38,3125535.0,4885026.145895989,238925.0,373425.62854301714,1546795.0,2417549.0011601807,160014.0,250092.40776679857,144060.0,225157.25038362268,93.79533,162.86
2016,5,4.18,5.779999999999999,0.17,14.100000000000001,96.34,3105525.0,4837294.836645756,238401.0,371343.30792738264,1547944.0,2411141.9224178772,157669.0,245591.78869888335,143555.0,223607.23558003287,93.59054,162.7
2016,6,4.02,5.68,0.24,13.775,95.69,3117809.0,4833203.429929342,242314.0,375633.2911733524,1569164.0,2432505.912620576,155672.0,241321.53199376888,146712.0,227431.8092005616,93.2166,
2017,1,3.99,5.62,0.355,12.995000000000001,96.58,3083038.0,4745548.788717878,243594.0,374950.6855377529,1575512.0,2425097.927177829,153486.0,236252.45663048985,145001.0,223191.9684132602,95.10675,164.35
2017,2,4.025,5.720000000000001,0.195,11.870000000000001,97.23,3082414.0,4726139.813488331,244558.0,374970.81849066325,1586373.0,2432321.094552167,151282.0,231954.5276086021,146492.0,224610.21574568911,94.9326,165.73
2017,3,3.9749999999999996,5.734999999999999,0.039999999999999994,10.65,95.87,3090213.0,4734343.983155378,248553.0,380794.26888865547,1604318.0,2457886.6474148775,149951.0,229731.6122280672,146609.0,224611.51934395035,95.24586,
2017,4,3.9400000000000004,5.605,0.215,9.58,96.69,3063766.0,4673707.745544063,251709.0,383976.55138256337,1620808.0,2472507.007271372,147661.0,225253.61251961865,145771.0,222370.4590284322,95.07244,166.12
2017,5,3.87,5.395,0.29,8.18,96.25,3068523.0,4653940.316256024,253981.0,385205.65609676746,1636329.0,2481772.991031484,142402.0,215977.00552203463,145685.0,220956.2369171614,95.32205,167.02
2017,6,3.65,5.075,0.36,7.2,97.45,3105277.0,4675959.531364208,258210.0,388815.3973360677,1660162.0,2499889.809349912,145183.0,218618.12412936104,147268.0,221757.73957200735,96.86882,
2018,1,3.71,5.01,0.305,6.8100000000000005,97.91,3074312.0,4601221.947839811,259769.0,388787.74313355313,1669009.0,2497951.0348794055,141478.0,211745.4828060655,145925.0,218401.16186597993,95.90327,168.01
2018,2,3.63,4.705,0.155,6.49,98.28,3103899.0,4631138.142533976,263238.0,392761.34383379057,1688992.0,2520041.816320294,139178.0,207658.9941881465,147577.0,220190.62916052892,96.45372,167.85
2018,3,3.5300000000000002,4.495,0.8300000000000001,6.4,98.24,3138842.0,4606573.172903985,267413.0,392456.05605053494,1706124.0,2503912.286138531,139806.0,205179.6710414269,151479.0,222310.9980235777,96.16264,
2018,4,3.495,4.25,0.12000000000000001,6.4,98.51,3166304.0,4635764.413444031,272262.0,398616.964995496,1731984.0,2535786.1379875233,138167.0,202289.3764187903,155361.0,227462.99630012727,97.28302,169.46
2018,5,3.39,4.09,0.46499999999999997,6.4,97.8,3177146.0,4608677.861250137,275945.0,400277.9892465342,1759757.0,2552653.5850351094,137943.0,200096.2027600959,156553.0,227091.34084876577,97.02722,169.01
2018,6,3.275,3.9050000000000002,-0.03,6.4,97.6,3265064.0,4739067.586688244,283382.0,411313.97450429393,1803027.0,2616998.262093406,139186.0,202021.11233372148,162328.0,235610.5005022656,97.58103,
2019,1,3.32,3.92,0.375,6.4,98.02,3247396.0,4678272.006725274,285949.0,411944.5863858567,1823184.0,2626520.039536112,135632.0,195394.521892668,161870.0,233193.57717032975,96.71471,169.54
2019,2,3.36,3.87,0.6599999999999999,6.4,97.88,3272570.0,4652920.773010079,290939.0,413655.3585649136,1852546.0,2633939.004011138,131847.0,187459.28892554165,164096.0,233310.7274001357,96.23963,170.49
2019,3,3.38,3.875,0.07,6.4,98.38,3301611.0,4687647.779672036,296829.0,421439.65560820786,1882338.0,2672555.169670897,137101.0,194656.85031968207,166486.0,236377.85561245057,96.96174,
2019,4,3.46,3.9450000000000003,0.15,6.15,97.17,3333007.0,4718059.974571182,303974.0,430292.3944385057,1921792.0,2720405.3020744035,136876.0,193755.72180898665,168648.0,238730.7853213272,96.9505,170.53
2019,5,3.535,3.895,0.030000000000000002,5.545,98.09,3380309.0,4782151.253807082,310925.0,439868.1832311682,1964732.0,2779522.699609679,137143.0,194017.34261597524,172438.0,243949.4726381481,98.49866,172.02
2019,6,3.525,3.785,0.83,4.745,99.16,3475872.0,4836770.950242965,319437.0,444505.3218394584,2017046.0,2806774.673550629,141079.0,196315.2868947209,177154.0,246514.6360163269,97.79923,
2020,1,3.615,3.82,0.22999999999999998,4.295,99.54,3484672.0,4826787.826278764,322579.0,446819.7839604925,2042663.0,2829391.3750246963,138566.0,191934.4724370452,178824.0,247697.77650420865,98.07742,168.1
2020,2,4.005,3.95,-0.12,3.8,84.65,3584113.0,4976482.725287858,319501.0,443621.9525478678,2029785.0,2818323.5262248754,142660.0,198081.09442686825,184462.0,256122.4929214143,83.18811,153.16
2020,3,3.8,3.88,-0.06,2.795,88.98,3623049.0,5036638.457438516,319273.0,443842.37426039984,2041232.0,2837650.71677312,146794.0,204067.98409881553,187719.0,260960.5154641576,89.62007,
2020,4,3.38,3.455,0.3,2.045,94.1,3742022.0,5170960.203219046,328462.0,453889.3491993725,2092254.0,2891207.526044973,150098.0,207414.81065123947,195294.0,269869.47215368063,93.73536,165.3
2020,5,3.1,3.1550000000000002,0.75,1.9,97.06,3878657.0,5280276.22803137,337787.0,459852.1256811397,2159264.0,2939551.078954372,158314.0,215523.47907137917,201875.0,274825.9935162694,97.51671,171.63
2020,6,2.9050000000000002,2.9450000000000003,1.12,1.9,98.7,4020169.0,5352389.404002741,350806.0,467057.5583415984,2239719.0,2981926.4422823056,165334.0,220123.0718712047,209442.0,278847.765243984,97.67943,
2021,1,2.9,2.92,0.5549999999999999,1.9,96.96,4044845.0,5326009.426173602,356391.0,469274.3048011571,2270532.0,2989700.4296651175,164316.0,216361.45881267183,211945.0,279076.4708735104,98.85452,173.16
2021,2,2.89,2.91,0.62,2.44,96.01,4126914.0,5367362.92437966,365444.0,475287.48516130954,2322034.0,3019980.3535399577,167077.0,217296.24007589705,218093.0,283646.39589454327,96.45734,171.96
2021,3,2.92,2.94,0.6799999999999999,3.525,95.97,4212400.0,5404800.86608651,378079.0,485101.53514602635,2398138.0,3076977.100796451,170157.0,218323.21265090737,224841.0,288486.57096471294,96.80299,
2021,4,2.91,2.9699999999999998,0.915,4.58,95.2,4344165.0,5473246.939895294,394005.0,496409.9339121431,2495958.0,3144676.7067105365,175665.0,221321.6863762557,232452.0,292868.0650188335,97.07685,172.18
2021,5,2.96,3.01,1.205,5.865,98.09,4509925.0,5547587.970152288,410353.0,504768.7858037332,2602076.0,3200772.8543206337,181127.0,222801.4803505099,241789.0,297420.85460737185,97.47908,174.46
2021,6,2.9850000000000003,3.07,0.84,8.205,98.9,4679575.0,5660778.125436181,426369.0,515769.1261629741,2708971.0,3276982.1574055287,185895.0,224873.05997402733,252908.0,305937.20031152695,99.13496,
