data,IBCR_NE_ajuste_sazonal,credito_PF_brasil,credito_PF_nordeste,credito_PJ_brasil,credito_PJ_nordeste,credito_total_nordeste,ibc_br,inadimplencia_PF,inadimplencia_PJ,ipca_mensal,pib_trimestral_indice,selic_mensal,credito_PF_brasil_real,credito_PF_nordeste_real,credito_PJ_brasil_real,credito_PJ_nordeste_real,credito_total_nordeste_real
2015-01-01,102.85,3021469.0,215094.0,1430120.0,171232.0,139754.0,101.8155,3.75,4.41,1.24,173.86,11.82,5442264.832329444,387426.94756923517,2575929.7156485748,308422.78764714627,251724.66749695895
2015-02-01,102.8,3033503.0,215539.0,1433769.0,171608.0,139766.0,101.08609,3.81,4.42,1.22,,12.15,5398083.829970012,383549.18080776796,2551375.507066344,305374.4696786171,248711.9955311034
2015-03-01,103.26,3070618.0,217754.0,1445141.0,172289.0,140341.0,100.90693,3.67,4.38,1.32,,12.58,5392942.703511998,382442.50683756545,2538108.8144132653,302592.0858424521,246481.64374519308
2015-04-01,102.34,3070707.0,218977.0,1453221.0,170416.0,140616.0,99.65606,3.75,4.57,0.71,169.75,12.68,5355077.961160497,381879.12643604295,2534306.187401018,297192.4595310224,245223.54056787066
2015-05-01,101.0,3092373.0,221212.0,1461804.0,170524.0,141030.0,99.00041,3.86,4.68,0.74,,13.15,5353247.773217734,382943.01703224075,2530548.225547428,295196.35027216346,244138.89704020086
2015-06-01,101.87,3109967.0,222944.0,1469882.0,169187.0,141165.0,97.92509,3.66,4.59,0.79,,13.58,5341507.07328451,382916.26661837305,2524587.9135995917,290586.2207566146,242457.18555862742
2015-07-01,101.61,3119102.0,224729.0,1475360.0,170207.0,140375.0,96.93495,3.78,4.77,0.62,166.95,13.69,5324186.884656508,383603.74056442286,2518382.650566357,290536.7881770876,239614.71408554685
2015-08-01,100.74,3143987.0,226651.0,1486592.0,170371.0,141185.0,97.38494,3.89,4.91,0.22,,14.15,5354883.875908807,386035.2429442638,2531984.874891348,290178.33751299203,240468.32255355536
2015-09-01,99.84,3174090.0,227829.0,1493068.0,170434.0,142025.0,96.65598,3.95,4.92,0.54,,14.15,5377119.294267692,385957.4592068006,2529356.3668496083,288726.5168281995,240599.7838020878
2015-10-01,99.79,3166774.0,228285.0,1496614.0,168395.0,141627.0,97.2129,4.08,5.02,0.82,165.67,14.15,5321092.545440522,383584.5601030859,2514742.6367659713,282952.1081041643,237974.15727586017
2015-11-01,98.91,3186591.0,230706.0,1508221.0,168528.0,142042.0,96.03792,4.2,5.22,1.01,,14.15,5300852.206666509,383776.3959012009,2508905.791797808,280344.1108962818,236284.9983381376
2015-12-01,98.87,3229576.0,232617.0,1518662.0,172196.0,144711.0,95.70125,4.23,5.28,0.96,,14.15,5321272.968174295,383275.8709000191,2502252.6326655606,283722.048971054,238435.86046511072
2016-01-01,98.29,3208123.0,233207.0,1521900.0,170377.0,143853.0,95.25534,4.3,5.44,1.27,163.3,14.15,5219636.141406268,379429.2443366204,2476140.797471356,277204.4422437593,234049.72871978907
2016-02-01,96.58,3192287.0,233345.0,1522813.0,168732.0,143248.0,95.22152,4.3,5.47,0.9,,14.15,5147542.983727597,376267.36491359206,2455526.515529203,272079.3032488385,230986.51134218535
2016-03-01,96.08,3170854.0,234048.0,1527590.0,166657.0,144411.0,94.49125,4.25,5.51,0.43,,14.15,5091090.714119321,375785.07224179944,2452682.8620874793,267582.77269876935,231864.82288893944
2016-04-01,95.74,3150823.0,234089.0,1526375.0,165386.0,144601.0,94.43174,4.3,5.65,0.61,163.75,14.15,5028256.779275196,373572.11154157226,2435873.2437417707,263932.082410598,230762.2353080362
2016-05-01,96.0,3157795.0,235531.0,1533354.0,165238.0,144176.0,94.09936,4.32,5.79,0.78,,14.15,5000380.115743531,372964.21364945784,2428071.756398312,261654.98696566105,228303.23170675721
2016-06-01,96.01,3140231.0,236775.0,1536798.0,162636.0,143681.0,94.35527,4.05,5.62,0.35,,14.15,4955224.17188037,373626.3998721669,2425037.7112057707,256636.4826084246,226725.8568684735
2016-07-01,94.84,3126702.0,237538.0,1538189.0,161280.0,144144.0,94.0857,4.1,5.7,0.52,162.86,14.15,4908352.238229664,372891.3641161191,2414676.3653748417,253180.20360804457,226279.80697468985
2016-08-01,95.38,3125535.0,238925.0,1546795.0,160014.0,144060.0,93.79533,4.12,5.76,0.44,,14.15,4885026.145895989,373425.62854301714,2417549.0011601807,250092.40776679854,225157.25038362268
2016-09-01,95.85,3121960.0,239167.0,1550208.0,158243.0,144087.0,93.85792,4.18,5.77,0.08,,14.15,4875538.202005762,373505.05616955756,2420946.5608319603,247126.73823495422,225019.43423759565
2016-10-01,96.34,3105525.0,238401.0,1547944.0,157669.0,143555.0,93.59054,4.18,5.79,0.26,162.7,14.05,4837294.836645756,371343.30792738264,2411141.9224178772,245591.78869888335,223607.23558003287
2016-11-01,95.58,3114587.0,240416.0,1558281.0,157104.0,145051.0,93.43476,4.09,5.74,0.18,,13.9,4842693.3365472285,373809.09931215225,2422882.075590809,244272.03155503946,225531.51064956991
2016-12-01,95.69,3117809.0,242314.0,1569164.0,155672.0,146712.0,93.2166,3.95,5.62,0.3,,13.65,4833203.429929342,375633.2911733524,2432505.912620576,241321.53199376888,227431.80920056158
2017-01-01,96.01,3086116.0,243162.0,1574530.0,153011.0,144842.0,93.9009,3.98,5.67,0.38,164.35,13.17,4765962.5285168355,375520.87489880837,2431584.2243213197,236298.5359107984,223682.9544176031
2017-02-01,96.58,3083038.0,243594.0,1575512.0,153486.0,145001.0,95.10675,4.0,5.57,0.33,,12.82,4745548.788717878,374950.6855377529,2425097.927177829,236252.45663048985,223191.9684132602
2017-03-01,97.34,3090455.0,244567.0,1584667.0,152945.0,146580.0,95.10838,4.01,5.71,0.25,,12.15,4745102.607462298,375509.59628897096,2433106.941747884,234832.6438334553,225059.7857602921
2017-04-01,97.23,3082414.0,244558.0,1586373.0,151282.0,146492.0,94.9326,4.04,5.73,0.14,165.73,11.59,4726139.813488331,374970.81849066325,2432321.094552167,231954.5276086021,224610.21574568911
2017-05-01,96.95,3077588.0,246826.0,1596592.0,149538.0,146310.0,94.7918,4.1,5.93,0.31,,11.15,4704157.416301466,377278.6865675411,2440424.1560623418,228571.95041015517,223637.88511622333
2017-06-01,95.87,3090213.0,248553.0,1604318.0,149951.0,146609.0,95.24586,3.85,5.54,-0.23,,10.15,4734343.983155378,380794.26888865547,2457886.6474148775,229731.61222806718,224611.51934395035
2017-07-01,96.22,3065064.0,249959.0,1609007.0,148480.0,145674.0,95.34516,3.95,5.61,0.24,166.12,10.01,4684571.622887422,382031.44804980163,2459168.4001466925,226933.33469262777,222644.7103853304
2017-08-01,96.69,3063766.0,251709.0,1620808.0,147661.0,145771.0,95.07244,3.93,5.6,0.19,,9.15,4673707.745544063,383976.55138256337,2472507.007271372,225253.61251961862,222370.4590284322
2017-09-01,96.66,3063640.0,252340.0,1624211.0,145257.0,145539.0,95.04257,3.87,5.41,0.16,,8.35,4666049.855542448,384324.2092894666,2473740.224674066,221232.39149068735,221661.8891011321
2017-10-01,96.25,3068523.0,253981.0,1636329.0,142402.0,145685.0,95.32205,3.87,5.38,0.42,167.02,8.01,4653940.316256024,385205.65609676746,2481772.991031484,215977.00552203465,220956.2369171614
