cod_ibge,regiao_codigo,regiao_nome,ano,mes,valor_total,beneficiarios,programa
2300101,01,Cariri,2015,1,405548.0,2010,bolsa_familia_classico
2300150,07,Maciço do Baturité,2015,1,396207.0,2013,bolsa_familia_classico
2300200,05,Litoral Norte,2015,1,2313025.0,11295,bolsa_familia_classico
2300309,02,Centro Sul,2015,1,1413189.0,8936,bolsa_familia_classico
2300408,13,Sertão dos Inhamuns,2015,1,588930.0,3060,bolsa_familia_classico
2300507,11,Sertão de Sobral,2015,1,225222.0,1419,bolsa_familia_classico
2300606,01,Cariri,2015,1,322576.0,1453,bolsa_familia_classico
2300705,14,Vale do Jaguaribe,2015,1,365290.0,2664,bolsa_familia_classico
2300754,06,Litoral Oeste / Vale do Curu,2015,1,1098499.0,6724,bolsa_familia_classico
2300804,01,Cariri,2015,1,301315.0,1365,bolsa_familia_classico
2300903,06,Litoral Oeste / Vale do Curu,2015,1,438790.0,2552,bolsa_familia_classico
2301000,03,Grande Fortaleza,2015,1,1438433.0,9524,bolsa_familia_classico
2301109,04,Litoral Leste,2015,1,1305057.0,8021,bolsa_familia_classico
2301208,07,Maciço do Baturité,2015,1,909987.0,4832,bolsa_familia_classico
2301257,12,Sertão dos Crateús,2015,1,331421.0,1810,bolsa_familia_classico
2301307,01,Cariri,2015,1,547357.0,3832,bolsa_familia_classico
2301406,07,Maciço do Baturité,2015,1,433302.0,2076,bolsa_familia_classico
2301505,13,Sertão dos Inhamuns,2015,1,148430.0,968,bolsa_familia_classico
2301604,01,Cariri,2015,1,909253.0,4318,bolsa_familia_classico
2301703,01,Cariri,2015,1,640479.0,4049,bolsa_familia_classico
2301802,02,Centro Sul,2015,1,200333.0,1038,bolsa_familia_classico
2301851,09,Sertão Central,2015,1,415225.0,2713,bolsa_familia_classico
2301901,01,Cariri,2015,1,1028385.0,6894,bolsa_familia_classico
2301950,07,Maciço do Baturité,2015,1,627209.0,3642,bolsa_familia_classico
2302008,01,Cariri,2015,1,557919.0,3269,bolsa_familia_classico
2302057,05,Litoral Norte,2015,1,624040.0,2943,bolsa_familia_classico
2302107,07,Maciço do Baturité,2015,1,809857.0,5481,bolsa_familia_classico
2302206,04,Litoral Leste,2015,1,1545934.0,8714,bolsa_familia_classico
2302305,05,Litoral Norte,2015,1,755605.0,4935,bolsa_familia_classico
2302404,10,Sertão de Canindé,2015,1,1891330.0,8962,bolsa_familia_classico
2302503,01,Cariri,2015,1,1169888.0,7382,bolsa_familia_classico
2302602,05,Litoral Norte,2015,1,1514166.0,9293,bolsa_familia_classico
2302701,01,Cariri,2015,1,630261.0,4711,bolsa_familia_classico
2302800,10,Sertão de Canindé,2015,1,2234495.0,13744,bolsa_familia_classico
2302909,07,Maciço do Baturité,2015,1,542633.0,3211,bolsa_familia_classico
2303006,10,Sertão de Canindé,2015,1,701856.0,3148,bolsa_familia_classico
2303105,11,Sertão de Sobral,2015,1,664507.0,3243,bolsa_familia_classico
2303204,01,Cariri,2015,1,1050082.0,4647,bolsa_familia_classico
2303303,02,Centro Sul,2015,1,578359.0,3192,bolsa_familia_classico
2303402,08,Serra da Ibiapaba,2015,1,407086.0,2207,bolsa_familia_classico
2303501,03,Grande Fortaleza,2015,1,1751750.0,10724,bolsa_familia_classico
2303600,02,Centro Sul,2015,1,317935.0,2060,bolsa_familia_classico
2303659,12,Sertão dos Crateús,2015,1,376954.0,2018,bolsa_familia_classico
2303709,03,Grande Fortaleza,2015,1,4785358.0,30640,bolsa_familia_classico
2303808,02,Centro Sul,2015,1,745319.0,4082,bolsa_familia_classico
2303907,05,Litoral Norte,2015,1,515844.0,2419,bolsa_familia_classico
2303931,09,Sertão Central,2015,1,430790.0,2079,bolsa_familia_classico
2303956,03,Grande Fortaleza,2015,1,546133.0,3396,bolsa_familia_classico
2304004,11,Sertão de Sobral,2015,1,609672.0,3748,bolsa_familia_classico
2304103,12,Sertão dos Crateús,2015,1,1435103.0,8750,bolsa_familia_classico
2304202,01,Cariri,2015,1,2287851.0,14453,bolsa_familia_classico
2304236,08,Serra da Ibiapaba,2015,1,608726.0,2838,bolsa_familia_classico
2304251,05,Litoral Norte,2015,1,747243.0,3930,bolsa_familia_classico
2304269,09,Sertão Central,2015,1,373462.0,1783,bolsa_familia_classico
2304277,14,Vale do Jaguaribe,2015,1,144272.0,1012,bolsa_familia_classico
2304285,03,Grande Fortaleza,2015,1,913279.0,5541,bolsa_familia_classico
2304301,01,Cariri,2015,1,602220.0,3158,bolsa_familia_classico
2304350,11,Sertão de Sobral,2015,1,469426.0,3053,bolsa_familia_classico
2304400,03,Grande Fortaleza,2015,1,27978624.0,188634,bolsa_familia_classico
2304459,04,Litoral Leste,2015,1,401211.0,2698,bolsa_familia_classico
2304509,11,Sertão de Sobral,2015,1,395075.0,2241,bolsa_familia_classico
2304608,06,Litoral Oeste / Vale do Curu,2015,1,271252.0,1096,bolsa_familia_classico
2304657,11,Sertão de Sobral,2015,1,390045.0,2545,bolsa_familia_classico
2304707,05,Litoral Norte,2015,1,1636542.0,7996,bolsa_familia_classico
2304806,01,Cariri,2015,1,171820.0,828,bolsa_familia_classico
2304905,11,Sertão de Sobral,2015,1,224575.0,1358,bolsa_familia_classico
2304954,03,Grande Fortaleza,2015,1,560532.0,3873,bolsa_familia_classico
2305001,08,Serra da Ibiapaba,2015,1,1734989.0,7379,bolsa_familia_classico
2305100,07,Maciço do Baturité,2015,1,106448.0,624,bolsa_familia_classico
2305209,12,Sertão dos Crateús,2015,1,609394.0,3219,bolsa_familia_classico
2305233,03,Grande Fortaleza,2015,1,797122.0,5662,bolsa_familia_classico
2305266,09,Sertão Central,2015,1,566876.0,2554,bolsa_familia_classico
2305308,08,Serra da Ibiapaba,2015,1,559408.0,3800,bolsa_familia_classico
2305332,09,Sertão Central,2015,1,384480.0,2607,bolsa_familia_classico
2305357,04,Litoral Leste,2015,1,517131.0,3249,bolsa_familia_classico
2305407,02,Centro Sul,2015,1,2408337.0,12100,bolsa_familia_classico
2305506,02,Centro Sul,2015,1,1655531.0,12043,bolsa_familia_classico
2305605,12,Sertão dos Crateús,2015,1,882349.0,4670,bolsa_familia_classico
2305654,12,Sertão dos Crateús,2015,1,365501.0,1924,bolsa_familia_classico
2305704,02,Centro Sul,2015,1,515404.0,2125,bolsa_familia_classico
2305803,08,Serra da Ibiapaba,2015,1,1484512.0,7337,bolsa_familia_classico
2305902,12,Sertão dos Crateús,2015,1,1034230.0,6359,bolsa_familia_classico
2306009,14,Vale do Jaguaribe,2015,1,247665.0,1918,bolsa_familia_classico
2306108,06,Litoral Oeste / Vale do Curu,2015,1,770696.0,4256,bolsa_familia_classico
2306207,04,Litoral Leste,2015,1,219352.0,1241,bolsa_familia_classico
2306256,03,Grande Fortaleza,2015,1,544880.0,3907,bolsa_familia_classico
2306306,06,Litoral Oeste / Vale do Curu,2015,1,1100399.0,7158,bolsa_familia_classico
2306405,06,Litoral Oeste / Vale do Curu,2015,1,3585965.0,19118,bolsa_familia_classico
2306504,07,Maciço do Baturité,2015,1,551468.0,3505,bolsa_familia_classico
2306553,05,Litoral Norte,2015,1,1514385.0,7124,bolsa_familia_classico
2306603,10,Sertão de Canindé,2015,1,842149.0,3669,bolsa_familia_classico
2306702,14,Vale do Jaguaribe,2015,1,572934.0,3639,bolsa_familia_classico
2306801,14,Vale do Jaguaribe,2015,1,267012.0,1557,bolsa_familia_classico
2306900,14,Vale do Jaguaribe,2015,1,593130.0,4579,bolsa_familia_classico
2307007,04,Litoral Leste,2015,1,950980.0,6085,bolsa_familia_classico
2307106,01,Cariri,2015,1,977948.0,4745,bolsa_familia_classico
2307205,01,Cariri,2015,1,193352.0,1205,bolsa_familia_classico
2307254,05,Litoral Norte,2015,1,362765.0,2429,bolsa_familia_classico
2307304,01,Cariri,2015,1,4200194.0,28102,bolsa_familia_classico
2307403,02,Centro Sul,2015,1,897584.0,4630,bolsa_familia_classico
2307502,01,Cariri,2015,1,937000.0,5385,bolsa_familia_classico
2307601,14,Vale do Jaguaribe,2015,1,1015027.0,6926,bolsa_familia_classico
