cod_ibge,regiao_codigo,regiao_nome,ano,mes,valor_total,beneficiarios
2300101,01,Cariri,2019,1,168662.0,169
2300150,07,Maciço do Baturité,2019,1,124750.0,125
2300200,05,Litoral Norte,2019,1,1604791.19,1608
2300309,02,Centro Sul,2019,1,1657680.78,1661
2300408,13,Sertão dos Inhamuns,2019,1,204590.4,205
2300507,11,Sertão de Sobral,2019,1,211576.0,212
2300606,01,Cariri,2019,1,157684.0,158
2300705,14,Vale do Jaguaribe,2019,1,288422.0,289
2300754,06,Litoral Oeste / Vale do Curu,2019,1,848300.8,850
2300804,01,Cariri,2019,1,188622.0,189
2300903,06,Litoral Oeste / Vale do Curu,2019,1,109780.0,110
2301000,03,Grande Fortaleza,2019,1,1974047.22,1978
2301109,04,Litoral Leste,2019,1,2728532.8,2734
2301208,07,Maciço do Baturité,2019,1,964068.6,966
2301257,12,Sertão dos Crateús,2019,1,143712.0,144
2301307,01,Cariri,2019,1,473052.0,474
2301406,07,Maciço do Baturité,2019,1,207584.0,208
2301505,13,Sertão dos Inhamuns,2019,1,158682.0,159
2301604,01,Cariri,2019,1,921154.0,923
2301703,01,Cariri,2019,1,581835.0,583
2301802,02,Centro Sul,2019,1,78842.0,79
2301851,09,Sertão Central,2019,1,409180.0,410
2301901,01,Cariri,2019,1,2240512.37,2245
2301950,07,Maciço do Baturité,2019,1,491016.0,492
2302008,01,Cariri,2019,1,382234.0,383
2302057,05,Litoral Norte,2019,1,370258.0,371
2302107,07,Maciço do Baturité,2019,1,1270457.16,1273
2302206,04,Litoral Leste,2019,1,1522949.88,1526
2302305,05,Litoral Norte,2019,1,882232.0,884
2302404,10,Sertão de Canindé,2019,1,1683876.16,1687
2302503,01,Cariri,2019,1,1767459.58,1771
2302602,05,Litoral Norte,2019,1,3028930.4,3035
2302701,01,Cariri,2019,1,1368260.17,1371
2302800,10,Sertão de Canindé,2019,1,2731526.8,2737
2302909,07,Maciço do Baturité,2019,1,403194.67,404
2303006,10,Sertão de Canindé,2019,1,510976.0,512
2303105,11,Sertão de Sobral,2019,1,420158.0,421
2303204,01,Cariri,2019,1,941115.4,943
2303303,02,Centro Sul,2019,1,301396.6,302
2303402,08,Serra da Ibiapaba,2019,1,453092.6,454
2303501,03,Grande Fortaleza,2019,1,3088810.0,3095
2303600,02,Centro Sul,2019,1,275448.0,276
2303659,12,Sertão dos Crateús,2019,1,138722.0,139
2303709,03,Grande Fortaleza,2019,1,9745543.61,9765
2303808,02,Centro Sul,2019,1,479040.6,480
2303907,05,Litoral Norte,2019,1,514968.0,516
2303931,09,Sertão Central,2019,1,264470.0,265
2303956,03,Grande Fortaleza,2019,1,348302.48,349
2304004,11,Sertão de Sobral,2019,1,605786.0,607
2304103,12,Sertão dos Crateús,2019,1,2648694.09,2654
2304202,01,Cariri,2019,1,6231518.4,6244
2304236,08,Serra da Ibiapaba,2019,1,316366.0,317
2304251,05,Litoral Norte,2019,1,374250.34,375
2304269,09,Sertão Central,2019,1,121756.0,122
2304277,14,Vale do Jaguaribe,2019,1,79840.0,80
2304285,03,Grande Fortaleza,2019,1,1417160.94,1420
2304301,01,Cariri,2019,1,462074.99,463
2304350,11,Sertão de Sobral,2019,1,837323.29,839
2304400,03,Grande Fortaleza,2019,1,85052975.28999999,85223
2304459,04,Litoral Leste,2019,1,277444.0,278
2304509,11,Sertão de Sobral,2019,1,543910.0,545
2304608,06,Litoral Oeste / Vale do Curu,2019,1,57884.0,58
2304657,11,Sertão de Sobral,2019,1,305388.0,306
2304707,05,Litoral Norte,2019,1,1944104.5,1948
2304806,01,Cariri,2019,1,156686.0,157
2304905,11,Sertão de Sobral,2019,1,287424.0,288
2304954,03,Grande Fortaleza,2019,1,453092.0,454
2305001,08,Serra da Ibiapaba,2019,1,973050.0,975
2305100,07,Maciço do Baturité,2019,1,50898.0,51
2305209,12,Sertão dos Crateús,2019,1,389220.18,390
2305233,03,Grande Fortaleza,2019,1,2185622.02,2190
2305266,09,Sertão Central,2019,1,294410.0,295
2305308,08,Serra da Ibiapaba,2019,1,674648.0,676
2305332,09,Sertão Central,2019,1,193612.0,194
2305357,04,Litoral Leste,2019,1,349300.4,350
2305407,02,Centro Sul,2019,1,1844304.0,1848
2305506,02,Centro Sul,2019,1,3699588.92,3707
2305605,12,Sertão dos Crateús,2019,1,580836.8,582
2305654,12,Sertão dos Crateús,2019,1,209580.0,210
2305704,02,Centro Sul,2019,1,300398.0,301
2305803,08,Serra da Ibiapaba,2019,1,1112770.94,1115
2305902,12,Sertão dos Crateús,2019,1,964068.5,966
2306009,14,Vale do Jaguaribe,2019,1,252494.0,253
2306108,06,Litoral Oeste / Vale do Curu,2019,1,349300.6,350
2306207,04,Litoral Leste,2019,1,171656.0,172
2306256,03,Grande Fortaleza,2019,1,723551.54,725
2306306,06,Litoral Oeste / Vale do Curu,2019,1,1293408.0,1296
2306405,06,Litoral Oeste / Vale do Curu,2019,1,3683621.61,3691
2306504,07,Maciço do Baturité,2019,1,417165.91,418
2306553,05,Litoral Norte,2019,1,664674.4,666
2306603,10,Sertão de Canindé,2019,1,356286.0,357
2306702,14,Vale do Jaguaribe,2019,1,427144.0,428
2306801,14,Vale do Jaguaribe,2019,1,198602.0,199
2306900,14,Vale do Jaguaribe,2019,1,878240.0,880
2307007,04,Litoral Leste,2019,1,735527.88,737
2307106,01,Cariri,2019,1,733530.6,735
2307205,01,Cariri,2019,1,147704.0,148
2307254,05,Litoral Norte,2019,1,255488.98,256
2307304,01,Cariri,2019,1,11937086.69,11961
2307403,02,Centro Sul,2019,1,654688.4,656
2307502,01,Cariri,2019,1,834328.6,836
2307601,14,Vale do Jaguaribe,2019,1,1362270.2,1365
2307635,10,Sertão de Canindé,2019,1,313372.0,314
2307650,03,Grande Fortaleza,2019,1,7156689.37,7171
2307700,03,Grande Fortaleza,2019,1,4988006.28,4998
2307809,05,Litoral Norte,2019,1,685626.96,687
2307908,05,Litoral Norte,2019,1,228542.0,229
2308005,11,Sertão de Sobral,2019,1,1127740.0,1130
2308104,01,Cariri,2019,1,1308378.0,1311
2308203,11,Sertão de Sobral,2019,1,346306.4,347
2308302,01,Cariri,2019,1,946104.0,948
2308351,09,Sertão Central,2019,1,280438.0,281
2308377,06,Litoral Oeste / Vale do Curu,2019,1,163672.0,164
2308401,01,Cariri,2019,1,925146.8,927
2308500,09,Sertão Central,2019,1,1513967.34,1517
2308609,12,Sertão dos Crateús,2019,1,300398.0,301
2308708,14,Vale do Jaguaribe,2019,1,1808376.94,1812
2308807,11,Sertão de Sobral,2019,1,47904.0,48
2308906,05,Litoral Norte,2019,1,554888.97,556
2309003,11,Sertão de Sobral,2019,1,278442.58,279
2309102,07,Maciço do Baturité,2019,1,205588.0,206
2309201,01,Cariri,2019,1,409180.0,410
2309300,12,Sertão dos Crateús,2019,1,934128.68,936
2309409,12,Sertão dos Crateús,2019,1,845307.54,847
2309458,07,Maciço do Baturité,2019,1,494011.0,495
2309508,02,Centro Sul,2019,1,394210.0,395
2309607,03,Grande Fortaleza,2019,1,2571850.2,2577
2309706,03,Grande Fortaleza,2019,1,1750506.1,1754
2309805,07,Maciço do Baturité,2019,1,209580.0,210
2309904,11,Sertão de Sobral,2019,1,138722.0,139
2310001,14,Vale do Jaguaribe,2019,1,200598.0,201
2310100,07,Maciço do Baturité,2019,1,146706.0,147
2310209,03,Grande Fortaleza,2019,1,1324348.78,1327
2310258,03,Grande Fortaleza,2019,1,1020955.0,1023
2310308,13,Sertão dos Inhamuns,2019,1,1122751.35,1125
2310407,10,Sertão de Canindé,2019,1,139720.0,140
2310506,09,Sertão Central,2019,1,980036.0,982
2310605,01,Cariri,2019,1,143712.0,144
