ano,mes,sigla_uf,admissoes,desligamentos,saldo,salario_medio,total_movimentacoes,uf_nome
2015,2,AL,8848,9355,-507,1045.2383123660934,18203,Alagoas
2015,4,AL,8504,21773,-13269,1055.627175743964,30277,Alagoas
2015,5,AL,8739,18366,-9627,996.891496033942,27105,Alagoas
2015,6,AL,7861,9507,-1646,1046.9787540304008,17368,Alagoas
2015,8,AL,11215,8710,2505,1012.2481806775407,19925,Alagoas
2015,9,AL,19658,8451,11207,942.002490305596,28109,Alagoas
2015,10,AL,15282,8826,6456,991.5682760909242,24108,Alagoas
2015,12,AL,7679,8895,-1216,1063.4260287196814,16574,Alagoas
2016,1,AL,8285,10227,-1942,1078.031331028522,18512,Alagoas
2016,2,AL,6387,16472,-10085,1090.7647316155562,22859,Alagoas
2016,4,AL,7220,14322,-7102,1204.6664190882927,21542,Alagoas
2016,6,AL,6672,7576,-904,1174.7949887703537,14248,Alagoas
2016,7,AL,6298,7846,-1548,1229.5579044117646,14144,Alagoas
2016,8,AL,11858,7759,4099,1086.2729775194985,19617,Alagoas
2016,9,AL,19978,6583,13395,1036.2460750724747,26561,Alagoas
2016,10,AL,12479,6647,5832,1049.693087943114,19126,Alagoas
2016,11,AL,8560,8276,284,1117.4038370159185,16836,Alagoas
2016,12,AL,5441,7434,-1993,1181.43813592233,12875,Alagoas
2017,1,AL,7106,13812,-6706,1137.7363514676356,20918,Alagoas
2017,2,AL,5619,17022,-11403,1120.3870412084273,22641,Alagoas
2017,3,AL,5955,15290,-9335,1181.7759472817131,21245,Alagoas
2017,5,AL,7056,7207,-151,1197.609479071724,14263,Alagoas
2017,7,AL,6184,6325,-141,1210.481093612599,12509,Alagoas
2017,8,AL,6869,7293,-424,1276.63762180483,14162,Alagoas
2017,9,AL,13352,5941,7411,1137.6676514798114,19293,Alagoas
2017,10,AL,22283,5890,16393,1111.0558335995456,28173,Alagoas
2017,11,AL,8154,6686,1468,1175.7926549865228,14840,Alagoas
2018,1,AL,7663,9852,-2189,1195.6399086497288,17515,Alagoas
2018,2,AL,7076,17774,-10698,1170.9140040241448,24850,Alagoas
2018,3,AL,7100,14099,-6999,1188.5547431482617,21199,Alagoas
2018,4,AL,7486,10051,-2565,1254.6465187888464,17537,Alagoas
2018,5,AL,8528,8113,415,1223.83492578571,16641,Alagoas
2018,6,AL,6629,6763,-134,1240.2346176821984,13392,Alagoas
2018,7,AL,7704,6570,1134,1209.880972397366,14274,Alagoas
2018,8,AL,11658,7768,3890,1177.4180479769382,19426,Alagoas
2018,9,AL,21591,6412,15179,1232.212477234582,28003,Alagoas
2018,10,AL,10117,6739,3378,1207.8541765543428,16856,Alagoas
2018,11,AL,8005,7794,211,1181.8612570415848,15799,Alagoas
2018,12,AL,6522,8062,-1540,1204.299643444871,14584,Alagoas
2019,2,AL,8189,10444,-2255,1269.3728331454945,18633,Alagoas
2019,4,AL,6964,11656,-4692,1379.9228786251342,18620,Alagoas
2019,5,AL,7577,8323,-746,1248.656855345912,15900,Alagoas
2019,6,AL,7400,8261,-861,1287.2258476470213,15661,Alagoas
2019,7,AL,9503,8033,1470,1299.355269160584,17536,Alagoas
2019,10,AL,9884,7594,2290,1259.1230117862456,17478,Alagoas
2019,11,AL,8554,7227,1327,1243.107787846144,15781,Alagoas
2019,12,AL,6059,7218,-1159,1244.218573472923,13277,Alagoas
