ano,mes,sigla_uf,admissoes,desligamentos,saldo,salario_medio,total_movimentacoes,uf_nome
2020,1,AL,8019,12276,-4257,1193.530123485197,20295,Alagoas
2020,2,AL,8385,16749,-8364,897.5652529218407,25134,Alagoas
2020,3,AL,7375,12997,-5622,1077.0166143419833,20372,Alagoas
2020,4,AL,2797,10487,-7690,1026.7213226848528,13284,Alagoas
2020,5,AL,5065,7545,-2480,1249.6946980516618,12610,Alagoas
2020,6,AL,5665,4851,814,1249.2781353956989,10516,Alagoas
2020,7,AL,7377,5718,1659,1241.1338255089322,13095,Alagoas
2020,8,AL,9687,5878,3809,1152.4378205664852,15565,Alagoas
2020,9,AL,22834,6161,16673,940.4123373406192,28995,Alagoas
2020,10,AL,10839,6208,4631,1183.8769799092677,17047,Alagoas
2020,11,AL,9522,5828,3694,1188.003770610881,15350,Alagoas
2020,12,AL,8317,6785,1532,1168.1459379407615,15102,Alagoas
2021,1,AL,9386,9578,-192,1209.4832132712193,18964,Alagoas
2021,2,AL,9035,9587,-552,1193.8657228741547,18622,Alagoas
2021,3,AL,9883,18309,-8426,1071.215834665279,28192,Alagoas
2021,4,AL,8656,11909,-3253,1172.2013529079036,20565,Alagoas
2021,5,AL,10307,7074,3233,1270.4711342422008,17381,Alagoas
2021,6,AL,11828,6841,4987,1290.4040155029988,18669,Alagoas
2021,7,AL,12073,7979,4094,1276.7901265952016,20052,Alagoas
2021,8,AL,14350,8863,5487,1218.1674882101458,23213,Alagoas
2021,9,AL,25628,8650,16978,1072.7174354018614,34278,Alagoas
2021,10,AL,12520,8964,3556,1204.9680320865768,21484,Alagoas
2021,11,AL,12200,8473,3727,56508.13902628347,20673,Alagoas
2021,12,AL,10231,9609,622,1207.762951359012,19840,Alagoas
2022,1,AL,11372,11696,-324,1390.486629174296,23068,Alagoas
2022,2,AL,12526,13059,-533,1312.858216080402,25585,Alagoas
2022,3,AL,11801,21880,-10079,1233.5098821153902,33681,Alagoas
2022,4,AL,13071,13305,-234,1336.5307771077482,26376,Alagoas
2022,5,AL,14977,11542,3435,1356.109986042476,26519,Alagoas
2022,6,AL,13429,9925,3504,1382.8041495375128,23354,Alagoas
2022,7,AL,12602,10684,1918,1396.615734548268,23286,Alagoas
2022,8,AL,16057,11722,4335,1330.426075931129,27779,Alagoas
2022,9,AL,26693,11054,15639,1230.4985179787489,37747,Alagoas
2022,10,AL,15410,11046,4364,1352.668438788245,26456,Alagoas
2022,11,AL,13452,10788,2664,1446.6146282151851,24240,Alagoas
2022,12,AL,9906,13816,-3910,1446.8547604049495,23722,Alagoas
2023,1,AL,13282,13415,-133,1472.7625304054054,26697,Alagoas
2023,2,AL,11656,11487,169,1498.1997319498485,23143,Alagoas
2023,3,AL,14951,14824,127,1472.7292985049555,29775,Alagoas
2023,4,AL,12148,16211,-4063,1367.9117950978664,28359,Alagoas
2023,5,AL,13246,21434,-8188,1397.282259588902,34680,Alagoas
2023,6,AL,13549,12084,1465,1480.0372854299208,25633,Alagoas
2023,7,AL,13605,11436,2169,1510.9239190053568,25041,Alagoas
2023,8,AL,16761,13378,3383,1532.045161985082,30139,Alagoas
2023,9,AL,27443,11283,16160,1322.655516070962,38726,Alagoas
2023,10,AL,15583,11420,4163,1479.5315994519128,27003,Alagoas
2023,11,AL,14582,11748,2834,1501.339162172427,26330,Alagoas
2023,12,AL,11015,10914,101,1516.0327374709289,21929,Alagoas
2024,1,AL,14097,13324,773,1549.5817304255863,27421,Alagoas
2024,2,AL,13135,16021,-2886,1547.5393545067911,29156,Alagoas
2024,3,AL,14865,24454,-9589,1452.8251384826674,39319,Alagoas
2024,4,AL,15678,17285,-1607,1576.1164657343083,32963,Alagoas
2024,5,AL,15370,13146,2224,1631.1910758872211,28516,Alagoas
2024,6,AL,14601,11915,2686,1616.4881686528888,26516,Alagoas
2024,7,AL,16625,13679,2946,1600.056299168427,30304,Alagoas
2024,8,AL,20445,15274,5171,1505.1339396399674,35719,Alagoas
2024,9,AL,28968,13548,15420,1475.6888028036503,42516,Alagoas
2024,10,AL,17844,14399,3445,1599.5269137487207,32243,Alagoas
2024,11,AL,15216,13443,1773,1609.584822219896,28659,Alagoas
2024,12,AL,11369,14938,-3569,1584.1134926065306,26307,Alagoas
2025,1,AL,15760,16700,-940,1673.5878622920518,32460,Alagoas
2025,2,AL,16349,21820,-5471,1586.3314137126988,38169,Alagoas
2025,3,AL,14042,22534,-8492,1554.8470811461068,36576,Alagoas
2025,4,AL,16246,15832,414,1685.367252634204,32078,Alagoas
2025,5,AL,15820,15496,324,1675.2152886703282,31316,Alagoas
2025,6,AL,14882,12637,2245,1740.2253893673462,27519,Alagoas
2025,7,AL,17395,14283,3112,1691.011410758255,31678,Alagoas
2025,8,AL,18488,15685,2803,1753.8797618002518,34173,Alagoas
2025,9,AL,27742,13859,13883,1578.137231076176,41601,Alagoas
2025,10,AL,19504,14847,4657,1698.603702948968,34351,Alagoas
2025,11,AL,16004,12958,3046,1720.403015675713,28962,Alagoas
2025,12,AL,11401,14350,-2949,1721.6768661411206,25751,Alagoas
