ano,mes,sigla_uf,admissoes,desligamentos,saldo,salario_medio,total_movimentacoes,uf_nome
2015,2,BA,56123,62923,-6800,1176.0704769584866,119046,Bahia
2015,4,BA,60933,61826,-893,1198.6213149341393,122759,Bahia
2015,5,BA,55795,63214,-7419,1147.0557100723474,119009,Bahia
2015,6,BA,51867,60991,-9124,1161.9722571727302,112858,Bahia
2015,8,BA,51731,58584,-6853,1191.1165661968,110315,Bahia
2015,9,BA,50830,55190,-4360,1198.421712884361,106020,Bahia
2015,10,BA,47888,58297,-10409,1207.4963224560909,106185,Bahia
2015,12,BA,39424,58392,-18968,1236.63310705815,97816,Bahia
2016,1,BA,46099,47286,-1187,1230.37583123628,93385,Bahia
2016,2,BA,43537,49349,-5812,1249.966173589131,92886,Bahia
2016,4,BA,48136,51158,-3022,1243.5816867081596,99294,Bahia
2016,6,BA,43332,51308,-7976,1251.1139898562976,94640,Bahia
2016,7,BA,45979,53264,-7285,1282.4516389065225,99243,Bahia
2016,8,BA,49733,53249,-3516,1300.8283486434525,102982,Bahia
2016,9,BA,43850,44181,-331,1322.9197328213925,88031,Bahia
2016,10,BA,43240,48841,-5601,1286.3509953193384,92081,Bahia
2016,11,BA,44007,51554,-7547,1302.8404056047968,95561,Bahia
2016,12,BA,35530,51802,-16272,1421.9722094993815,87332,Bahia
2017,1,BA,47993,48138,-145,1352.67749217214,96131,Bahia
2017,2,BA,44017,45721,-1704,1333.634279792284,89738,Bahia
2017,3,BA,45596,48516,-2920,1340.193503485209,94112,Bahia
2017,5,BA,49319,46353,2966,1314.866314073083,95672,Bahia
2017,7,BA,45302,44455,847,1358.1613244649443,89757,Bahia
2017,8,BA,48068,45578,2490,1389.2104307712025,93646,Bahia
2017,9,BA,43770,41473,2297,1393.3869174008423,85243,Bahia
2017,10,BA,42168,42204,-36,1368.241134499597,84372,Bahia
2017,11,BA,43439,44585,-1146,1346.6156843588112,88024,Bahia
2018,1,BA,48484,42937,5547,1369.958729394778,91421,Bahia
2018,2,BA,42885,42921,-36,1394.4468102463698,85806,Bahia
2018,3,BA,50740,46589,4151,1376.1034532359315,97329,Bahia
2018,4,BA,48368,46392,1976,1370.2523744195864,94760,Bahia
2018,5,BA,52423,46488,5935,1338.1812336342773,98911,Bahia
2018,6,BA,44421,46184,-1763,1350.271552342586,90605,Bahia
2018,7,BA,46335,44663,1672,1364.3684916152004,90998,Bahia
2018,8,BA,51019,46155,4864,1378.7994422376355,97174,Bahia
2018,9,BA,48969,40460,8509,1376.2729427814245,89429,Bahia
2018,10,BA,48140,47515,625,1361.817249490356,95655,Bahia
2018,11,BA,46351,45387,964,1341.5523011184025,91738,Bahia
2018,12,BA,39501,51206,-11705,1396.4944491604838,90707,Bahia
2019,2,BA,49056,43350,5706,1392.5220548449236,92406,Bahia
2019,4,BA,55305,45212,10093,1378.6296845309748,100517,Bahia
2019,5,BA,51609,49069,2540,1400.3316315381712,100678,Bahia
2019,6,BA,46922,44560,2362,1404.325320828141,91482,Bahia
2019,7,BA,50878,53153,-2275,1431.029962222799,104031,Bahia
2019,10,BA,52668,53257,-589,1447.4998725513335,105925,Bahia
2019,11,BA,54392,50434,3958,1466.7932192395017,104826,Bahia
2019,12,BA,42149,53523,-11374,1495.2975896814114,95672,Bahia
