ano,mes,sigla_uf,admissoes,desligamentos,saldo,salario_medio,total_movimentacoes,uf_nome
2020,1,BA,48138,46104,2034,1383.7118863031644,94242,Bahia
2020,2,BA,49312,42498,6814,1342.2044904774675,91810,Bahia
2020,3,BA,46437,60190,-13753,1365.6990114458174,106627,Bahia
2020,4,BA,23527,58625,-35098,1342.5776308099782,82152,Bahia
2020,5,BA,24953,43255,-18302,1435.0595419669455,68208,Bahia
2020,6,BA,30117,33101,-2984,1462.5275950915832,63218,Bahia
2020,7,BA,37528,33358,4170,1419.6980900015844,70886,Bahia
2020,8,BA,44376,35393,8983,1451.8305370730352,79769,Bahia
2020,9,BA,51646,34946,16700,1386.6327116658176,86592,Bahia
2020,10,BA,55208,39046,16162,1413.5127215603832,94254,Bahia
2020,11,BA,54196,40342,13854,1406.4232480545536,94538,Bahia
2020,12,BA,49854,49939,-85,1333.4448539477917,99793,Bahia
2021,1,BA,57611,42691,14920,1396.3111233946413,100302,Bahia
2021,2,BA,61692,42886,18806,1423.8486613814189,104578,Bahia
2021,3,BA,58425,49003,9422,1450.800783055071,107428,Bahia
2021,4,BA,55254,45303,9951,1478.964831844064,100557,Bahia
2021,5,BA,59030,47912,11118,1489.4365735191095,106942,Bahia
2021,6,BA,56833,48303,8530,1546.8100115372958,105136,Bahia
2021,7,BA,59316,48361,10955,1480.0524231842903,107677,Bahia
2021,8,BA,65262,46957,18305,1435.256909931938,112219,Bahia
2021,9,BA,63599,52121,11478,1501.7234726125455,115720,Bahia
2021,10,BA,67157,54565,12592,1451.8735800567558,121722,Bahia
2021,11,BA,67422,51432,15990,1413.0670708804607,118854,Bahia
2021,12,BA,57636,63271,-5635,1436.567675945356,120907,Bahia
2022,1,BA,66661,55382,11279,1480.2900808834454,122043,Bahia
2022,2,BA,73197,60584,12613,1475.5959999698557,133781,Bahia
2022,3,BA,74220,66268,7952,1479.933240689945,140488,Bahia
2022,4,BA,74882,58975,15907,1512.555532490435,133857,Bahia
2022,5,BA,76499,60157,16342,1514.0640805132225,136656,Bahia
2022,6,BA,70096,56737,13359,1678.220271803002,126833,Bahia
2022,7,BA,73743,60632,13111,1524.6076406260474,134375,Bahia
2022,8,BA,81422,64006,17416,1566.7406736111589,145428,Bahia
2022,9,BA,74874,59274,15600,1578.2140772064856,134148,Bahia
2022,10,BA,70303,63572,6731,1553.0284285724963,133875,Bahia
2022,11,BA,65230,60987,4243,1551.8731079035183,126217,Bahia
2022,12,BA,54958,71217,-16259,1578.237747696264,126175,Bahia
2023,1,BA,69684,66040,3644,1629.7644368497504,135724,Bahia
2023,2,BA,69366,61265,8101,1570.7268933757327,130631,Bahia
2023,3,BA,82035,72707,9328,1609.0568835060153,154742,Bahia
2023,4,BA,74386,63134,11252,1613.9799330916187,137520,Bahia
2023,5,BA,76189,66761,9428,1641.7544475581306,142950,Bahia
2023,6,BA,71199,62880,8319,1659.385982776505,134079,Bahia
2023,7,BA,72577,67397,5180,1671.6262419158245,139974,Bahia
2023,8,BA,82230,70712,11518,1678.9768215017405,152942,Bahia
2023,9,BA,72460,62606,9854,1693.567307202344,135066,Bahia
2023,10,BA,71894,65989,5905,1705.3687231928518,137883,Bahia
2023,11,BA,70975,63601,7374,1654.2082453037688,134576,Bahia
2023,12,BA,58434,75733,-17299,1639.7265867165547,134167,Bahia
2024,1,BA,73389,68568,4821,1779.7525141416063,141957,Bahia
2024,2,BA,79199,72950,6249,1675.670192048584,152149,Bahia
2024,3,BA,86774,74292,12482,1715.9675879453143,161066,Bahia
2024,4,BA,84239,73590,10649,1753.4711923030625,157829,Bahia
2024,5,BA,82982,74197,8785,1753.1163945565245,157179,Bahia
2024,6,BA,77192,68293,8899,1796.6894624875415,145485,Bahia
2024,7,BA,83823,74209,9614,1766.9720698339577,158032,Bahia
2024,8,BA,89778,73629,16149,1756.1699161602626,163407,Bahia
2024,9,BA,83366,68480,14886,1779.076589636869,151846,Bahia
2024,10,BA,82210,82789,-579,1785.4001320008,164999,Bahia
2024,11,BA,76694,69503,7191,1770.482833710678,146197,Bahia
2024,12,BA,61748,80409,-18661,8781.73488903114,142157,Bahia
2025,1,BA,87155,80223,6932,1813.4816213002905,167378,Bahia
2025,2,BA,99593,79461,20132,1779.3186196343004,179054,Bahia
2025,3,BA,83957,80959,2998,1785.8669472337433,164916,Bahia
2025,4,BA,90186,75833,14353,1856.397984206627,166019,Bahia
2025,5,BA,90611,77753,12858,1852.7845300658096,168364,Bahia
2025,6,BA,78450,70466,7984,1858.3455460796688,148916,Bahia
2025,7,BA,88709,79273,9436,7833.25176893953,167982,Bahia
2025,8,BA,89751,78736,11015,6277.09969552547,168487,Bahia
2025,9,BA,87368,76018,11350,1910.1336624312976,163386,Bahia
2025,10,BA,89834,85385,4449,1918.924107317129,175219,Bahia
2025,11,BA,80433,71670,8763,1931.3344392944257,152103,Bahia
2025,12,BA,63901,83399,-19498,1916.1403604209097,147300,Bahia
