ano,mes,sigla_uf,admissoes,desligamentos,saldo,salario_medio,total_movimentacoes,uf_nome
2015,2,CE,40053,42080,-2027,1056.1840064285975,82133,Ceará
2015,4,CE,39391,42938,-3547,1096.6002502155984,82329,Ceará
2015,5,CE,41058,42737,-1679,1098.289217733755,83795,Ceará
2015,6,CE,42536,41314,1222,1121.7712104949314,83850,Ceará
2015,8,CE,42611,41740,871,1104.1210655475336,84351,Ceará
2015,9,CE,38587,40095,-1508,1095.0877456089067,78682,Ceará
2015,10,CE,35203,39990,-4787,1096.1793385022545,75193,Ceará
2015,12,CE,24823,34943,-10120,1114.4459224308134,59766,Ceará
2016,1,CE,32624,40770,-8146,1163.0509033435976,73394,Ceará
2016,2,CE,32277,36448,-4171,1132.0679810840306,68725,Ceará
2016,4,CE,33873,36139,-2266,1184.5354082157344,70012,Ceará
2016,6,CE,33915,35841,-1926,1233.2368828487872,69756,Ceará
2016,7,CE,31483,36160,-4677,1210.5347042561684,67643,Ceará
2016,8,CE,35490,35084,406,1188.9213733102845,70574,Ceará
2016,9,CE,31634,30641,993,1185.1626816539542,62275,Ceará
2016,10,CE,29964,32100,-2136,1180.4274458623356,62064,Ceará
2016,11,CE,30991,31656,-665,1167.6466869921944,62647,Ceará
2016,12,CE,23354,30060,-6706,1216.3429625191898,53414,Ceará
2017,1,CE,31191,38627,-7436,1268.894139047237,69818,Ceará
2017,2,CE,32422,32358,64,1252.0348255634456,64780,Ceará
2017,3,CE,30701,35376,-4675,1256.4815291251116,66077,Ceará
2017,5,CE,29761,32701,-2940,1226.4967340142807,62462,Ceará
2017,7,CE,31310,29439,1871,1265.2671648916032,60749,Ceará
2017,8,CE,36440,31465,4975,1248.4451807672483,67905,Ceará
2017,9,CE,30774,28613,2161,1247.6443666122216,59387,Ceará
2017,10,CE,31613,28695,2918,1224.9209060157857,60308,Ceará
2017,11,CE,30435,27574,2861,1251.3025392611491,58009,Ceará
2018,1,CE,34890,33237,1653,1241.022531448618,68127,Ceará
2018,2,CE,28582,28957,-375,1243.310780514086,57539,Ceará
2018,3,CE,29958,29720,238,1257.3563122088542,59678,Ceará
2018,4,CE,32446,29348,3098,1241.783765414118,61794,Ceará
2018,5,CE,33327,31288,2039,1266.1986226108488,64615,Ceará
2018,6,CE,29982,29257,725,1262.4683569945475,59239,Ceará
2018,7,CE,30410,29616,794,1260.4124879219005,60026,Ceará
2018,8,CE,35247,30586,4661,1228.4384882961433,65833,Ceará
2018,9,CE,33347,26992,6355,1232.6505079633405,60339,Ceará
2018,10,CE,34025,30356,3669,1229.6537021792144,64381,Ceará
2018,11,CE,30994,28745,2249,1243.838179413783,59739,Ceará
2018,12,CE,23514,28995,-5481,1278.06486507075,52509,Ceará
2019,2,CE,34029,32164,1865,1305.5922529572613,66193,Ceará
2019,4,CE,30735,28582,2153,1325.86631151272,59317,Ceará
2019,5,CE,30571,31999,-1428,1321.8103883650313,62570,Ceará
2019,6,CE,29410,29532,-122,1347.7840928370265,58942,Ceará
2019,7,CE,32979,32089,890,1326.996634290281,65068,Ceará
2019,10,CE,34147,30651,3496,1327.8047470600943,64798,Ceará
2019,11,CE,32262,27402,4860,1324.974255832663,59664,Ceará
2019,12,CE,22718,26114,-3396,1350.3317087155965,48832,Ceará
