ano,mes,sigla_uf,admissoes,desligamentos,saldo,salario_medio,total_movimentacoes,uf_nome
2020,1,CE,32300,30656,1644,1342.392970472878,62956,Ceará
2020,2,CE,33754,27273,6481,1252.34306551184,61027,Ceará
2020,3,CE,30575,33259,-2684,1232.186734911719,63834,Ceará
2020,4,CE,12450,43535,-31085,1242.7041850509102,55985,Ceará
2020,5,CE,14385,24072,-9687,1364.762206373542,38457,Ceará
2020,6,CE,18698,20530,-1832,1370.3498362235068,39228,Ceará
2020,7,CE,27111,20155,6956,1427.1860816535857,47266,Ceará
2020,8,CE,33879,21709,12170,1358.675294427018,55588,Ceará
2020,9,CE,36942,24148,12794,1290.3190297056717,61090,Ceará
2020,10,CE,42938,26361,16577,1354.100675829441,69299,Ceará
2020,11,CE,39812,23349,16463,1330.0186321933572,63161,Ceará
2020,12,CE,30101,26378,3723,1318.5615153196943,56479,Ceará
2021,1,CE,39314,31303,8011,1305.9330607304184,70617,Ceará
2021,2,CE,43349,30939,12410,1495.8695831823125,74288,Ceará
2021,3,CE,34817,36111,-1294,1462.9948331929966,70928,Ceará
2021,4,CE,30606,27198,3408,1461.2449610590495,57804,Ceará
2021,5,CE,31868,27293,4575,1415.1751401659565,59161,Ceará
2021,6,CE,38319,28390,9929,1426.0694216136262,66709,Ceará
2021,7,CE,43355,29677,13678,1391.7812204147176,73032,Ceará
2021,8,CE,48557,31784,16773,1345.9001768704045,80341,Ceará
2021,9,CE,47532,33428,14104,1347.597870448188,80960,Ceará
2021,10,CE,43860,35898,7962,1372.812315562872,79758,Ceará
2021,11,CE,43190,30597,12593,1414.137759963855,73787,Ceará
2021,12,CE,33542,35029,-1487,1390.2820850297987,68571,Ceará
2022,1,CE,40658,42166,-1508,1501.4462495106677,82824,Ceará
2022,2,CE,46076,38023,8053,1429.2623119266054,84099,Ceará
2022,3,CE,44540,41154,3386,1461.511317211517,85694,Ceará
2022,4,CE,40931,35618,5313,1491.7461797488534,76549,Ceará
2022,5,CE,45390,37918,7472,1481.4683738928748,83308,Ceará
2022,6,CE,46233,36636,9597,1541.3742485182815,82869,Ceará
2022,7,CE,48261,38164,10097,1504.175723627105,86425,Ceará
2022,8,CE,50815,42102,8713,1477.975497010908,92917,Ceará
2022,9,CE,50487,38396,12091,1484.2161837332433,88883,Ceará
2022,10,CE,44194,39184,5010,1524.1669543860494,83378,Ceará
2022,11,CE,43542,36985,6557,1546.6243949614282,80527,Ceará
2022,12,CE,30570,37539,-6969,1547.6069434478295,68109,Ceará
2023,1,CE,44657,47638,-2981,1577.480228926276,92295,Ceará
2023,2,CE,43169,38821,4348,1554.2052141681415,81990,Ceará
2023,3,CE,47553,42808,4745,1576.947730355006,90361,Ceará
2023,4,CE,42883,38395,4488,1650.3982072939496,81278,Ceará
2023,5,CE,46216,42781,3435,1616.7522690229628,88997,Ceará
2023,6,CE,48059,41488,6571,1661.7245878132196,89547,Ceará
2023,7,CE,47597,41107,6490,1609.4770048946632,88704,Ceará
2023,8,CE,54276,43344,10932,1592.5905242031108,97620,Ceará
2023,9,CE,50402,39919,10483,1600.9500749438637,90321,Ceará
2023,10,CE,47610,41480,6130,1629.3438338758558,89090,Ceará
2023,11,CE,45220,40546,4674,1625.3355983723154,85766,Ceará
2023,12,CE,35081,38806,-3725,1638.421051199805,73887,Ceará
2024,1,CE,47820,46556,1264,1692.4903398109689,94376,Ceará
2024,2,CE,48488,44591,3897,1659.8812296006618,93079,Ceará
2024,3,CE,49129,42944,6185,1659.9570376766262,92073,Ceará
2024,4,CE,50529,44851,5678,1669.6969110924722,95380,Ceará
2024,5,CE,52255,45299,6956,1690.7727943497962,97554,Ceará
2024,6,CE,53016,45396,7620,1720.5716018371745,98412,Ceará
2024,7,CE,54863,51375,3488,1780.5275097422768,106238,Ceará
2024,8,CE,57431,48137,9294,1678.5099012011217,105568,Ceará
2024,9,CE,54899,45377,9522,1702.940544397463,100276,Ceará
2024,10,CE,53756,50569,3187,1699.5564491732566,104325,Ceará
2024,11,CE,49349,44906,4443,1732.878831786112,94255,Ceará
2024,12,CE,36586,42808,-6222,1699.1390387182912,79394,Ceará
2025,1,CE,53040,54265,-1225,1752.5425025860866,107305,Ceará
2025,2,CE,60215,53727,6488,1783.4406412911833,113942,Ceará
2025,3,CE,47958,50579,-2621,1795.526266681551,98537,Ceará
2025,4,CE,56152,46931,9221,1850.674219124395,103083,Ceará
2025,5,CE,56207,50438,5769,1802.5673627455576,106645,Ceará
2025,6,CE,55969,48649,7320,1798.176285534038,104618,Ceará
2025,7,CE,60395,52971,7424,1830.165630788773,113366,Ceará
2025,8,CE,60773,53840,6933,1833.887159397276,114613,Ceará
2025,9,CE,62868,52307,10561,1812.1801649663555,115175,Ceará
2025,10,CE,58667,55288,3379,1838.7147724101617,113955,Ceará
2025,11,CE,51158,45284,5874,1844.7898419775615,96442,Ceará
2025,12,CE,36728,47528,-10800,1880.7045305972276,84256,Ceará
