ano,mes,sigla_uf,admissoes,desligamentos,saldo,salario_medio,total_movimentacoes,uf_nome
2015,2,MA,13938,16198,-2260,1148.3723453676666,30136,Maranhão
2015,4,MA,14745,15480,-735,1173.8238213399504,30225,Maranhão
2015,5,MA,17569,18831,-1262,1185.379423076923,36400,Maranhão
2015,6,MA,17143,15142,2001,1193.9852563109805,32285,Maranhão
2015,8,MA,16683,15736,947,1195.590271137296,32419,Maranhão
2015,9,MA,14153,13932,221,1171.3580915079224,28085,Maranhão
2015,10,MA,13155,15466,-2311,1199.2013556479508,28621,Maranhão
2015,12,MA,8778,16102,-7324,1245.9108520900322,24880,Maranhão
2016,1,MA,10918,14159,-3241,1227.8330342544962,25077,Maranhão
2016,2,MA,9543,15376,-5833,1304.9885228139171,24919,Maranhão
2016,4,MA,9835,12866,-3031,1292.9971807409363,22701,Maranhão
2016,6,MA,12556,12539,17,1309.4053397091054,25095,Maranhão
2016,7,MA,12597,12383,214,1274.5507205764611,24980,Maranhão
2016,8,MA,15097,12851,2246,1280.2680334907686,27948,Maranhão
2016,9,MA,10684,12282,-1598,1243.1138639728294,22966,Maranhão
2016,10,MA,10888,11298,-410,1246.0414675921752,22186,Maranhão
2016,11,MA,11572,13320,-1748,1270.3239595050618,24892,Maranhão
2016,12,MA,8366,13113,-4747,1364.6822477768983,21479,Maranhão
2017,1,MA,11047,13196,-2149,1346.8708080683084,24243,Maranhão
2017,2,MA,10434,12397,-1963,1347.5754894660768,22831,Maranhão
2017,3,MA,10365,13166,-2801,1371.5919000467468,23531,Maranhão
2017,5,MA,12589,11807,782,1313.584194130185,24396,Maranhão
2017,7,MA,12215,10648,1567,1314.863491230372,22863,Maranhão
2017,8,MA,13181,11447,1734,1347.9202127659576,24628,Maranhão
2017,9,MA,11259,11268,-9,1339.7004039596927,22527,Maranhão
2017,10,MA,11806,10874,932,1301.2585097001763,22680,Maranhão
2017,11,MA,11707,12010,-303,1265.955601467302,23717,Maranhão
2018,1,MA,11666,12252,-586,1307.8940964963626,23918,Maranhão
2018,2,MA,10303,10675,-372,1330.9537134140528,20978,Maranhão
2018,3,MA,11670,10653,1017,1323.4612283295255,22323,Maranhão
2018,4,MA,11965,10633,1332,1325.7900256659882,22598,Maranhão
2018,5,MA,14203,12128,2075,1323.6684136569063,26331,Maranhão
2018,6,MA,13510,10703,2807,1296.7393961921282,24213,Maranhão
2018,7,MA,12373,10520,1853,1369.5546236840955,22893,Maranhão
2018,8,MA,12155,12221,-66,1331.8929684936002,24376,Maranhão
2018,9,MA,11835,10106,1729,1343.2870880999044,21941,Maranhão
2018,10,MA,12554,11890,664,1385.0725740468008,24444,Maranhão
2018,11,MA,11239,11519,-280,1334.7852183847438,22758,Maranhão
2018,12,MA,7770,10688,-2918,1394.2855672337198,18458,Maranhão
2019,2,MA,11099,12081,-982,1365.1840811044003,23180,Maranhão
2019,4,MA,18321,11640,6681,1388.8839825105972,29961,Maranhão
2019,5,MA,11931,12037,-106,1363.0461031375166,23968,Maranhão
2019,6,MA,13425,11424,2001,1375.022053201336,24849,Maranhão
2019,7,MA,12199,12174,25,1400.0826734501293,24373,Maranhão
2019,10,MA,14353,11133,3220,1386.440398650239,25486,Maranhão
2019,11,MA,12465,11302,1163,1354.5062060840662,23767,Maranhão
2019,12,MA,9378,12799,-3421,1383.141813590657,22177,Maranhão
