ano,mes,sigla_uf,admissoes,desligamentos,saldo,salario_medio,total_movimentacoes,uf_nome
2020,1,MA,11705,11730,-25,1342.8230497512436,23435,Maranhão
2020,2,MA,12077,10255,1822,1299.4472750041743,22332,Maranhão
2020,3,MA,11425,12568,-1143,1347.735934094049,23993,Maranhão
2020,4,MA,7002,12955,-5953,1340.9944006042294,19957,Maranhão
2020,5,MA,9362,10619,-1257,1376.810784074397,19981,Maranhão
2020,6,MA,12029,8313,3716,1555.293760744593,20342,Maranhão
2020,7,MA,14455,9083,5372,1799.599655565585,23538,Maranhão
2020,8,MA,15600,9708,5892,1610.1081336974898,25308,Maranhão
2020,9,MA,15453,10365,5088,1413.4231094602137,25818,Maranhão
2020,10,MA,16775,10838,5937,1361.8475192268977,27613,Maranhão
2020,11,MA,15286,10895,4391,1337.2914612351065,26181,Maranhão
2020,12,MA,11171,14188,-3017,1295.2884123692752,25359,Maranhão
2021,1,MA,15047,15019,28,1358.04929751462,30066,Maranhão
2021,2,MA,16036,12727,3309,1391.7600680220978,28763,Maranhão
2021,3,MA,15932,12270,3662,1405.867469229276,28202,Maranhão
2021,4,MA,15286,12186,3100,1436.0415271170314,27472,Maranhão
2021,5,MA,15803,12102,3701,1414.0552203732857,27905,Maranhão
2021,6,MA,18986,11943,7043,1400.127661023808,30929,Maranhão
2021,7,MA,18427,13306,5121,1382.200253347335,31733,Maranhão
2021,8,MA,18092,13417,4675,1371.5069337416846,31509,Maranhão
2021,9,MA,17610,14344,3266,1447.9970842890834,31954,Maranhão
2021,10,MA,18679,13491,5188,1431.30932488104,32170,Maranhão
2021,11,MA,17321,14475,2846,1401.3330504550277,31796,Maranhão
2021,12,MA,15163,16250,-1087,1413.4470254149378,31413,Maranhão
2022,1,MA,17960,17369,591,1494.6883585909418,35329,Maranhão
2022,2,MA,19824,16300,3524,1450.481614362296,36124,Maranhão
2022,3,MA,19008,17397,1611,1485.422426357441,36405,Maranhão
2022,4,MA,20212,16800,3412,1504.6622363656018,37012,Maranhão
2022,5,MA,21894,16984,4910,1548.9089378344995,38878,Maranhão
2022,6,MA,23248,16515,6733,1559.2898666968483,39763,Maranhão
2022,7,MA,22862,17554,5308,1549.7167411112212,40416,Maranhão
2022,8,MA,24545,19073,5472,1617.3435209652262,43618,Maranhão
2022,9,MA,23412,16330,7082,1571.6471395132264,39742,Maranhão
2022,10,MA,20068,16941,3127,1522.848775085195,37009,Maranhão
2022,11,MA,19670,17935,1735,1527.7290782599423,37605,Maranhão
2022,12,MA,15024,19935,-4911,1511.6069551768585,34959,Maranhão
2023,1,MA,19660,18603,1057,1644.3530698817867,38263,Maranhão
2023,2,MA,18068,17237,831,1586.5281836734694,35305,Maranhão
2023,3,MA,21582,18824,2758,1614.4415048038827,40406,Maranhão
2023,4,MA,18503,16302,2201,1732.8420575469258,34805,Maranhão
2023,5,MA,20303,17881,2422,1644.466892185903,38184,Maranhão
2023,6,MA,23574,18685,4889,1653.185911578648,42259,Maranhão
2023,7,MA,20932,18346,2586,1643.9742664323733,39278,Maranhão
2023,8,MA,22916,20507,2409,1649.0685491120837,43423,Maranhão
2023,9,MA,21453,18603,2850,1647.9610746432895,40056,Maranhão
2023,10,MA,20936,18579,2357,1677.8145139820322,39515,Maranhão
2023,11,MA,19829,18400,1429,1663.2477197938738,38229,Maranhão
2023,12,MA,14815,18501,-3686,1641.0936411934206,33316,Maranhão
2024,1,MA,19946,20777,-831,1752.4387942931512,40723,Maranhão
2024,2,MA,19392,20612,-1220,1692.4180776922308,40004,Maranhão
2024,3,MA,22112,19335,2777,1692.075269862716,41447,Maranhão
2024,4,MA,22216,19238,2978,1750.0718531384184,41454,Maranhão
2024,5,MA,22623,20207,2416,1747.2398718188183,42830,Maranhão
2024,6,MA,24822,18797,6025,1771.7442039019695,43619,Maranhão
2024,7,MA,22983,20410,2573,1813.5009174290783,43393,Maranhão
2024,8,MA,23368,20852,2516,1720.8562908186343,44220,Maranhão
2024,9,MA,22936,18699,4237,1786.2508603338536,41635,Maranhão
2024,10,MA,22079,21656,423,1803.291501772036,43735,Maranhão
2024,11,MA,21308,19889,1419,1754.151906692235,41197,Maranhão
2024,12,MA,15800,22803,-7003,1870.2581234619072,38603,Maranhão
2025,1,MA,24102,23083,1019,1921.2334436791357,47185,Maranhão
2025,2,MA,24263,22793,1470,1914.3221295902752,47056,Maranhão
2025,3,MA,21711,20605,1106,2221.452117166084,42316,Maranhão
2025,4,MA,22816,19234,3582,1882.9753365041615,42050,Maranhão
2025,5,MA,24074,20514,3560,1870.7929164797704,44588,Maranhão
2025,6,MA,26415,20168,6247,1946.1694566687415,46583,Maranhão
2025,7,MA,24208,21310,2898,1893.303338679204,45518,Maranhão
2025,8,MA,25262,22113,3149,2037.688613403694,47375,Maranhão
2025,9,MA,25141,21871,3270,1967.615633455288,47012,Maranhão
2025,10,MA,25002,21709,3293,1915.705461668558,46711,Maranhão
2025,11,MA,21754,19340,2414,1915.757489414513,41094,Maranhão
2025,12,MA,17310,21394,-4084,1943.0895592186853,38704,Maranhão
