ano,mes,sigla_uf,admissoes,desligamentos,saldo,salario_medio,total_movimentacoes,uf_nome
2015,2,AL,8848,9355,-507,1045.2383123660934,18203,Alagoas
2015,2,BA,56123,62923,-6800,1176.0704769584866,119046,Bahia
2015,2,CE,40053,42080,-2027,1056.1840064285975,82133,Ceará
2015,2,MA,13938,16198,-2260,1148.3723453676666,30136,Maranhão
2015,2,PB,13347,14557,-1210,994.5967603211008,27904,Paraíba
2015,2,PE,37382,48042,-10660,1151.4411406630454,85424,Pernambuco
2015,2,PI,9786,9680,106,989.671118873934,19466,Piauí
2015,2,RN,13635,17648,-4013,983.9970271393408,31283,Rio Grande do Norte
2015,2,SE,8909,9066,-157,994.3340751043116,17975,Sergipe
2015,4,AL,8504,21773,-13269,1055.627175743964,30277,Alagoas
2015,4,BA,60933,61826,-893,1198.6213149341393,122759,Bahia
2015,4,CE,39391,42938,-3547,1096.6002502155984,82329,Ceará
2015,4,MA,14745,15480,-735,1173.8238213399504,30225,Maranhão
2015,4,PB,11805,14912,-3107,1008.2792978253548,26717,Paraíba
2015,4,PE,39198,59352,-20154,1134.5171588026385,98550,Pernambuco
2015,4,PI,10183,9571,612,1025.9907360534576,19754,Piauí
2015,4,RN,13597,14942,-1345,1030.281614632608,28539,Rio Grande do Norte
2015,4,SE,8965,11004,-2039,1050.9577344884572,19969,Sergipe
2015,5,AL,8739,18366,-9627,996.891496033942,27105,Alagoas
2015,5,BA,55795,63214,-7419,1147.0557100723474,119009,Bahia
2015,5,CE,41058,42737,-1679,1098.289217733755,83795,Ceará
2015,5,MA,17569,18831,-1262,1185.379423076923,36400,Maranhão
2015,5,PB,11299,13424,-2125,1030.843101565344,24723,Paraíba
2015,5,PE,37497,44800,-7303,1173.4565293996136,82297,Pernambuco
2015,5,PI,9587,9524,63,1037.4020721050704,19111,Piauí
2015,5,RN,13672,15077,-1405,1058.7840272705137,28749,Rio Grande do Norte
2015,5,SE,8366,12412,-4046,1052.2746655115989,20778,Sergipe
2015,6,AL,7861,9507,-1646,1046.9787540304008,17368,Alagoas
2015,6,BA,51867,60991,-9124,1161.9722571727302,112858,Bahia
2015,6,CE,42536,41314,1222,1121.7712104949314,83850,Ceará
2015,6,MA,17143,15142,2001,1193.9852563109805,32285,Maranhão
2015,6,PB,10236,11723,-1487,1035.3895896898766,21959,Paraíba
2015,6,PE,35614,41953,-6339,1152.5686567741436,77567,Pernambuco
2015,6,PI,9770,10649,-879,1048.4603065772076,20419,Piauí
2015,6,RN,13941,16129,-2188,1033.6463584968408,30070,Rio Grande do Norte
2015,6,SE,8477,8626,-149,1032.915921183418,17103,Sergipe
2015,8,AL,11215,8710,2505,1012.2481806775407,19925,Alagoas
2015,8,BA,51731,58584,-6853,1191.1165661968,110315,Bahia
2015,8,CE,42611,41740,871,1104.1210655475336,84351,Ceará
2015,8,MA,16683,15736,947,1195.590271137296,32419,Maranhão
2015,8,PB,16324,12031,4293,1005.9670252160112,28355,Paraíba
2015,8,PE,38999,40919,-1920,1151.4781651192473,79918,Pernambuco
2015,8,PI,10979,10366,613,1011.875521199344,21345,Piauí
2015,8,RN,14483,14768,-285,1000.6721821476189,29251,Rio Grande do Norte
2015,8,SE,9309,8587,722,1023.2468149307108,17896,Sergipe
2015,9,AL,19658,8451,11207,942.002490305596,28109,Alagoas
2015,9,BA,50830,55190,-4360,1198.421712884361,106020,Bahia
2015,9,CE,38587,40095,-1508,1095.0877456089067,78682,Ceará
2015,9,MA,14153,13932,221,1171.3580915079224,28085,Maranhão
2015,9,PB,12581,11382,1199,1016.9318950047992,23963,Paraíba
2015,9,PE,52583,37335,15248,1084.7974376654286,89918,Pernambuco
2015,9,PI,10352,10088,264,987.7401663405088,20440,Piauí
2015,9,RN,14493,12321,2172,1014.195867830238,26814,Rio Grande do Norte
2015,9,SE,10296,8621,1675,1048.7160754876566,18917,Sergipe
2015,10,AL,15282,8826,6456,991.5682760909242,24108,Alagoas
2015,10,BA,47888,58297,-10409,1207.4963224560909,106185,Bahia
2015,10,CE,35203,39990,-4787,1096.1793385022545,75193,Ceará
2015,10,MA,13155,15466,-2311,1199.2013556479508,28621,Maranhão
2015,10,PB,10394,11154,-760,1043.3514479302023,21548,Paraíba
2015,10,PE,35293,41114,-5821,1141.3480571151858,76407,Pernambuco
2015,10,PI,7881,8472,-591,1030.4769155506635,16353,Piauí
2015,10,RN,12173,12643,-470,1002.6337040618956,24816,Rio Grande do Norte
2015,10,SE,9672,8609,1063,1007.7146217384168,18281,Sergipe
2015,12,AL,7679,8895,-1216,1063.4260287196814,16574,Alagoas
2015,12,BA,39424,58392,-18968,1236.63310705815,97816,Bahia
2015,12,CE,24823,34943,-10120,1114.4459224308134,59766,Ceará
2015,12,MA,8778,16102,-7324,1245.9108520900322,24880,Maranhão
2015,12,PB,7180,11667,-4487,996.4838966413752,18847,Paraíba
2015,12,PE,24046,40077,-16031,1222.107480935078,64123,Pernambuco
2015,12,PI,6294,9546,-3252,1034.26452020202,15840,Piauí
2015,12,RN,9017,13376,-4359,1027.1372750413077,22393,Rio Grande do Norte
2015,12,SE,6223,8473,-2250,1072.5930185084376,14696,Sergipe
2016,1,AL,8285,10227,-1942,1078.031331028522,18512,Alagoas
2016,1,BA,46099,47286,-1187,1230.37583123628,93385,Bahia
2016,1,CE,32624,40770,-8146,1163.0509033435976,73394,Ceará
2016,1,MA,10918,14159,-3241,1227.8330342544962,25077,Maranhão
2016,1,PB,11540,11351,189,1039.1239788563191,22891,Paraíba
2016,1,PE,28648,42058,-13410,1235.5292478714678,70706,Pernambuco
2016,1,PI,7476,9785,-2309,1093.4398354672385,17261,Piauí
2016,1,RN,11097,14041,-2944,1061.0502028801018,25138,Rio Grande do Norte
2016,1,SE,6849,7270,-421,1129.116368014732,14119,Sergipe
2016,2,AL,6387,16472,-10085,1090.7647316155562,22859,Alagoas
2016,2,BA,43537,49349,-5812,1249.966173589131,92886,Bahia
2016,2,CE,32277,36448,-4171,1132.0679810840306,68725,Ceará
2016,2,MA,9543,15376,-5833,1304.9885228139171,24919,Maranhão
2016,2,PB,8712,15384,-6672,1058.320551128818,24096,Paraíba
2016,2,PE,26584,42458,-15874,1245.396758494829,69042,Pernambuco
2016,2,PI,7059,10534,-3475,1062.3583243335418,17593,Piauí
2016,2,RN,10290,14728,-4438,1067.2905508034216,25018,Rio Grande do Norte
2016,2,SE,6377,8366,-1989,1094.171132062674,14743,Sergipe
2016,4,AL,7220,14322,-7102,1204.6664190882927,21542,Alagoas
2016,4,BA,48136,51158,-3022,1243.5816867081596,99294,Bahia
2016,4,CE,33873,36139,-2266,1184.5354082157344,70012,Ceará
2016,4,MA,9835,12866,-3031,1292.9971807409363,22701,Maranhão
2016,4,PB,9260,10314,-1054,1100.0505772964136,19574,Paraíba
2016,4,PE,31775,37030,-5255,1235.1088002325412,68805,Pernambuco
2016,4,PI,7802,8150,-348,1107.751003009027,15952,Piauí
2016,4,RN,10770,13422,-2652,1070.3754546957673,24192,Rio Grande do Norte
2016,4,SE,6624,7886,-1262,1152.5899379738112,14510,Sergipe
2016,6,AL,6672,7576,-904,1174.7949887703537,14248,Alagoas
2016,6,BA,43332,51308,-7976,1251.1139898562976,94640,Bahia
2016,6,CE,33915,35841,-1926,1233.2368828487872,69756,Ceará
2016,6,MA,12556,12539,17,1309.4053397091054,25095,Maranhão
2016,6,PB,9124,9971,-847,1107.935428122545,19095,Paraíba
2016,6,PE,28933,31810,-2877,1254.5331478524274,60743,Pernambuco
2016,6,PI,9024,8923,101,1143.2851172897977,17947,Piauí
2016,6,RN,11297,12460,-1163,1106.7646167445384,23757,Rio Grande do Norte
2016,6,SE,7000,7647,-647,1181.9040759199836,14647,Sergipe
2016,7,AL,6298,7846,-1548,1229.5579044117646,14144,Alagoas
2016,7,BA,45979,53264,-7285,1282.4516389065225,99243,Bahia
2016,7,CE,31483,36160,-4677,1210.5347042561684,67643,Ceará
2016,7,MA,12597,12383,214,1274.5507205764611,24980,Maranhão
2016,7,PB,10027,10124,-97,1123.3208773758126,20151,Paraíba
2016,7,PE,30876,34919,-4043,1258.7707728550802,65795,Pernambuco
2016,7,PI,7417,8046,-629,1156.834443510315,15463,Piauí
2016,7,RN,11725,11723,2,1108.2611736608667,23448,Rio Grande do Norte
2016,7,SE,5874,7369,-1495,1135.8769161066225,13243,Sergipe
2016,8,AL,11858,7759,4099,1086.2729775194985,19617,Alagoas
2016,8,BA,49733,53249,-3516,1300.8283486434525,102982,Bahia
2016,8,CE,35490,35084,406,1188.9213733102845,70574,Ceará
2016,8,MA,15097,12851,2246,1280.2680334907686,27948,Maranhão
2016,8,PB,15792,9887,5905,1090.4839752326805,25679,Paraíba
2016,8,PE,41281,32246,9035,1208.0228215485467,73527,Pernambuco
2016,8,PI,8167,8175,-8,1132.257312446457,16342,Piauí
2016,8,RN,14356,12119,2237,1084.6546553352218,26475,Rio Grande do Norte
2016,8,SE,7803,8804,-1001,1137.1852230986933,16607,Sergipe
2016,9,AL,19978,6583,13395,1036.2460750724747,26561,Alagoas
2016,9,BA,43850,44181,-331,1322.9197328213925,88031,Bahia
2016,9,CE,31634,30641,993,1185.1626816539542,62275,Ceará
2016,9,MA,10684,12282,-1598,1243.1138639728294,22966,Maranhão
2016,9,PB,9005,8439,566,1123.3801307039669,17444,Paraíba
2016,9,PE,44323,28602,15721,1185.8276174151526,72925,Pernambuco
2016,9,PI,6772,7634,-862,1133.4192697487158,14406,Piauí
2016,9,RN,12316,10284,2032,1102.267123893805,22600,Rio Grande do Norte
2016,9,SE,6192,6588,-396,1152.5196400625978,12780,Sergipe
2016,10,AL,12479,6647,5832,1049.693087943114,19126,Alagoas
2016,10,BA,43240,48841,-5601,1286.3509953193384,92081,Bahia
2016,10,CE,29964,32100,-2136,1180.4274458623356,62064,Ceará
2016,10,MA,10888,11298,-410,1246.0414675921752,22186,Maranhão
2016,10,PB,8832,9682,-850,1130.3927298260776,18514,Paraíba
2016,10,PE,29202,32751,-3549,1222.3783351895793,61953,Pernambuco
2016,10,PI,6994,8791,-1797,1090.1146024707,15785,Piauí
2016,10,RN,10795,11531,-736,1117.2986652333602,22326,Rio Grande do Norte
2016,10,SE,9157,7225,1932,1126.9899279697229,16382,Sergipe
2016,11,AL,8560,8276,284,1117.4038370159185,16836,Alagoas
2016,11,BA,44007,51554,-7547,1302.8404056047968,95561,Bahia
2016,11,CE,30991,31656,-665,1167.6466869921944,62647,Ceará
2016,11,MA,11572,13320,-1748,1270.3239595050618,24892,Maranhão
2016,11,PB,9018,9365,-347,1127.5915247783278,18383,Paraíba
2016,11,PE,29744,32976,-3232,1232.5309470663265,62720,Pernambuco
2016,11,PI,7544,7585,-41,1128.916782338555,15129,Piauí
2016,11,RN,10617,11437,-820,1145.2901061032012,22054,Rio Grande do Norte
2016,11,SE,7233,7117,116,1142.2657142857142,14350,Sergipe
2016,12,AL,5441,7434,-1993,1181.43813592233,12875,Alagoas
2016,12,BA,35530,51802,-16272,1421.9722094993815,87332,Bahia
2016,12,CE,23354,30060,-6706,1216.3429625191898,53414,Ceará
2016,12,MA,8366,13113,-4747,1364.6822477768983,21479,Maranhão
2016,12,PB,6826,10684,-3858,1143.3784123358082,17510,Paraíba
2016,12,PE,24228,38867,-14639,1315.892923369522,63095,Pernambuco
2016,12,PI,5204,7172,-1968,1228.3692630898513,12376,Piauí
2016,12,RN,8992,12313,-3321,1154.8375029335837,21305,Rio Grande do Norte
2016,12,SE,4725,7622,-2897,1242.419778083745,12347,Sergipe
2017,1,AL,7106,13812,-6706,1137.7363514676356,20918,Alagoas
2017,1,BA,47993,48138,-145,1352.67749217214,96131,Bahia
2017,1,CE,31191,38627,-7436,1268.894139047237,69818,Ceará
2017,1,MA,11047,13196,-2149,1346.8708080683084,24243,Maranhão
2017,1,PB,10500,16938,-6438,1102.3455062322328,27438,Paraíba
2017,1,PE,29531,43441,-13910,1283.6787671983775,72972,Pernambuco
2017,1,PI,7434,7885,-451,1173.4055747764214,15319,Piauí
2017,1,RN,11737,14692,-2955,1159.8616292708766,26429,Rio Grande do Norte
2017,1,SE,7224,7837,-613,1190.71057698692,15061,Sergipe
2017,2,AL,5619,17022,-11403,1120.3870412084273,22641,Alagoas
2017,2,BA,44017,45721,-1704,1333.634279792284,89738,Bahia
2017,2,CE,32422,32358,64,1252.0348255634456,64780,Ceará
2017,2,MA,10434,12397,-1963,1347.5754894660768,22831,Maranhão
2017,2,PB,9499,10643,-1144,1154.8753847681462,20142,Paraíba
2017,2,PE,27739,44081,-16342,1260.6050543024228,71820,Pernambuco
2017,2,PI,8369,8191,178,1131.975301932367,16560,Piauí
2017,2,RN,10872,12154,-1282,1158.7849387648746,23026,Rio Grande do Norte
2017,2,SE,6455,9867,-3412,1149.38653351305,16322,Sergipe
2017,3,AL,5955,15290,-9335,1181.7759472817131,21245,Alagoas
2017,3,BA,45596,48516,-2920,1340.193503485209,94112,Bahia
2017,3,CE,30701,35376,-4675,1256.4815291251116,66077,Ceará
2017,3,MA,10365,13166,-2801,1371.5919000467468,23531,Maranhão
2017,3,PB,8615,10554,-1939,1187.61662058532,19169,Paraíba
2017,3,PE,29119,32951,-3832,1306.022200741099,62070,Pernambuco
2017,3,PI,7262,8209,-947,1211.4511020619225,15471,Piauí
2017,3,RN,11662,12231,-569,1165.2939773155315,23893,Rio Grande do Norte
2017,3,SE,6087,8564,-2477,1224.1114599686027,14651,Sergipe
2017,5,AL,7056,7207,-151,1197.609479071724,14263,Alagoas
2017,5,BA,49319,46353,2966,1314.866314073083,95672,Bahia
2017,5,CE,29761,32701,-2940,1226.4967340142807,62462,Ceará
2017,5,MA,12589,11807,782,1313.584194130185,24396,Maranhão
2017,5,PB,8808,9399,-591,1208.3130114791015,18207,Paraíba
2017,5,PE,29991,30186,-195,1296.1108064542932,60177,Pernambuco
2017,5,PI,7517,6681,836,1151.8692069305537,14198,Piauí
2017,5,RN,11730,11932,-202,1186.5831290677036,23662,Rio Grande do Norte
2017,5,SE,6695,6828,-133,1199.155290985728,13523,Sergipe
2017,7,AL,6184,6325,-141,1210.481093612599,12509,Alagoas
2017,7,BA,45302,44455,847,1358.1613244649443,89757,Bahia
2017,7,CE,31310,29439,1871,1265.2671648916032,60749,Ceará
2017,7,MA,12215,10648,1567,1314.863491230372,22863,Maranhão
2017,7,PB,10217,9408,809,1200.1168407643313,19625,Paraíba
2017,7,PE,28556,27762,794,1347.5842181895664,56318,Pernambuco
2017,7,PI,7042,6802,240,1244.2869112973128,13844,Piauí
2017,7,RN,11731,10768,963,1198.264633983733,22499,Rio Grande do Norte
2017,7,SE,6174,6483,-309,1201.1117958441969,12657,Sergipe
2017,8,AL,6869,7293,-424,1276.63762180483,14162,Alagoas
2017,8,BA,48068,45578,2490,1389.2104307712025,93646,Bahia
2017,8,CE,36440,31465,4975,1248.4451807672483,67905,Ceará
2017,8,MA,13181,11447,1734,1347.9202127659576,24628,Maranhão
2017,8,PB,13361,9850,3511,1181.9147387014775,23211,Paraíba
2017,8,PE,35927,31721,4206,1340.4529032639546,67648,Pernambuco
2017,8,PI,7799,7724,75,1239.0493461315468,15523,Piauí
2017,8,RN,14166,10925,3241,1178.241600573911,25091,Rio Grande do Norte
2017,8,SE,6763,6607,156,1240.4316379955123,13370,Sergipe
2017,9,AL,13352,5941,7411,1137.6676514798114,19293,Alagoas
2017,9,BA,43770,41473,2297,1393.3869174008423,85243,Bahia
2017,9,CE,30774,28613,2161,1247.6443666122216,59387,Ceará
2017,9,MA,11259,11268,-9,1339.7004039596927,22527,Maranhão
2017,9,PB,10252,8277,1975,1175.1043769226617,18529,Paraíba
2017,9,PE,42066,28074,13992,1260.2731679498147,70140,Pernambuco
2017,9,PI,7190,6431,759,1230.7044269877397,13621,Piauí
2017,9,RN,12157,10515,1642,1135.9729622441778,22672,Rio Grande do Norte
2017,9,SE,5796,6380,-584,1224.7525459921155,12176,Sergipe
2017,10,AL,22283,5890,16393,1111.0558335995456,28173,Alagoas
2017,10,BA,42168,42204,-36,1368.241134499597,84372,Bahia
2017,10,CE,31613,28695,2918,1224.9209060157857,60308,Ceará
2017,10,MA,11806,10874,932,1301.2585097001763,22680,Maranhão
2017,10,PB,9227,8313,914,1174.8820980615735,17540,Paraíba
2017,10,PE,36056,27338,8718,1308.6132283812349,63394,Pernambuco
2017,10,PI,8071,6457,1614,1168.7407075991189,14528,Piauí
2017,10,RN,10966,10109,857,1138.5764175563463,21075,Rio Grande do Norte
2017,10,SE,11008,5517,5491,1148.4087140695915,16525,Sergipe
2017,11,AL,8154,6686,1468,1175.7926549865228,14840,Alagoas
2017,11,BA,43439,44585,-1146,1346.6156843588112,88024,Bahia
2017,11,CE,30435,27574,2861,1251.3025392611491,58009,Ceará
2017,11,MA,11707,12010,-303,1265.955601467302,23717,Maranhão
2017,11,PB,9296,8040,1256,1169.6214236271344,17336,Paraíba
2017,11,PE,30329,30070,259,1364.081176840676,60399,Pernambuco
2017,11,PI,7523,8067,-544,1165.8854393842207,15590,Piauí
2017,11,RN,10380,10517,-137,1176.8789778437097,20897,Rio Grande do Norte
2017,11,SE,6700,6656,44,1153.697289607667,13356,Sergipe
2018,1,AL,7663,9852,-2189,1195.6399086497288,17515,Alagoas
2018,1,BA,48484,42937,5547,1369.958729394778,91421,Bahia
2018,1,CE,34890,33237,1653,1241.022531448618,68127,Ceará
2018,1,MA,11666,12252,-586,1307.8940964963626,23918,Maranhão
2018,1,PB,9695,12950,-3255,1146.5113270037536,22645,Paraíba
2018,1,PE,29428,34265,-4837,1334.3351074686386,63693,Pernambuco
2018,1,PI,6562,7503,-941,1176.6795591894777,14065,Piauí
2018,1,RN,11680,12319,-639,1212.1689237051544,23999,Rio Grande do Norte
2018,1,SE,6944,7732,-788,1177.90426546743,14676,Sergipe
2018,2,AL,7076,17774,-10698,1170.9140040241448,24850,Alagoas
2018,2,BA,42885,42921,-36,1394.4468102463698,85806,Bahia
2018,2,CE,28582,28957,-375,1243.310780514086,57539,Ceará
2018,2,MA,10303,10675,-372,1330.9537134140528,20978,Maranhão
2018,2,PB,11163,13921,-2758,1115.0440519853294,25084,Paraíba
2018,2,PE,26965,34346,-7381,1317.7102966841187,61311,Pernambuco
2018,2,PI,7419,7251,168,1122.9625085207908,14670,Piauí
2018,2,RN,9482,13052,-3570,1147.5902192242834,22534,Rio Grande do Norte
