ano_bim,bimestre,sigla_uf,admissoes,desligamentos,saldo,total_movimentacoes,salario_medio
2015,1,AL,8848,9355,-507,18203,1045.2383123660934
2015,1,BA,56123,62923,-6800,119046,1176.0704769584866
2015,1,CE,40053,42080,-2027,82133,1056.1840064285975
2015,1,MA,13938,16198,-2260,30136,1148.3723453676666
2015,1,PB,13347,14557,-1210,27904,994.5967603211008
2015,1,PE,37382,48042,-10660,85424,1151.4411406630454
2015,1,PI,9786,9680,106,19466,989.671118873934
2015,1,RN,13635,17648,-4013,31283,983.9970271393408
2015,1,SE,8909,9066,-157,17975,994.3340751043116
2015,2,AL,8504,21773,-13269,30277,1055.627175743964
2015,2,BA,60933,61826,-893,122759,1198.6213149341393
2015,2,CE,39391,42938,-3547,82329,1096.6002502155984
2015,2,MA,14745,15480,-735,30225,1173.8238213399504
2015,2,PB,11805,14912,-3107,26717,1008.2792978253548
2015,2,PE,39198,59352,-20154,98550,1134.5171588026385
2015,2,PI,10183,9571,612,19754,1025.9907360534576
2015,2,RN,13597,14942,-1345,28539,1030.281614632608
2015,2,SE,8965,11004,-2039,19969,1050.9577344884572
2015,3,AL,16600,27873,-11273,44473,1021.9351250321713
2015,3,BA,107662,124205,-16543,231867,1154.513983622539
2015,3,CE,83594,84051,-457,167645,1110.0302141143434
2015,3,MA,34712,33973,739,68685,1189.6823396939517
2015,3,PB,21535,25147,-3612,46682,1033.1163456276104
2015,3,PE,73111,86753,-13642,159864,1163.0125930868785
2015,3,PI,19357,20173,-816,39530,1042.931189341139
2015,3,RN,27613,31206,-3593,58819,1046.2151928836772
2015,3,SE,16843,21038,-4195,37881,1042.5952933475085
2015,4,AL,11215,8710,2505,19925,1012.2481806775407
2015,4,BA,51731,58584,-6853,110315,1191.1165661968
2015,4,CE,42611,41740,871,84351,1104.1210655475336
2015,4,MA,16683,15736,947,32419,1195.590271137296
2015,4,PB,16324,12031,4293,28355,1005.9670252160112
2015,4,PE,38999,40919,-1920,79918,1151.4781651192473
2015,4,PI,10979,10366,613,21345,1011.875521199344
2015,4,RN,14483,14768,-285,29251,1000.6721821476189
2015,4,SE,9309,8587,722,17896,1023.2468149307108
2015,5,AL,34940,17277,17663,52217,966.7853831982601
2015,5,BA,98718,113487,-14769,212205,1202.9590176702259
2015,5,CE,73790,80085,-6295,153875,1095.6335420555806
2015,5,MA,27308,29398,-2090,56706,1185.2797235779367
2015,5,PB,22975,22536,439,45511,1030.1416714675008
2015,5,PE,87876,78449,9427,166325,1113.072747390307
2015,5,PI,18233,18560,-327,36793,1009.1085409455861
2015,5,RN,26666,24964,1702,51630,1008.4147859460668
2015,5,SE,19968,17230,2738,37198,1028.2153486130367
2015,6,AL,7679,8895,-1216,16574,1063.4260287196814
2015,6,BA,39424,58392,-18968,97816,1236.63310705815
2015,6,CE,24823,34943,-10120,59766,1114.4459224308134
2015,6,MA,8778,16102,-7324,24880,1245.9108520900322
2015,6,PB,7180,11667,-4487,18847,996.4838966413752
2015,6,PE,24046,40077,-16031,64123,1222.107480935078
2015,6,PI,6294,9546,-3252,15840,1034.26452020202
2015,6,RN,9017,13376,-4359,22393,1027.1372750413077
2015,6,SE,6223,8473,-2250,14696,1072.5930185084376
2016,1,AL,14672,26699,-12027,41371,1084.398031322039
2016,1,BA,89636,96635,-6999,186271,1240.1710024127055
2016,1,CE,64901,77218,-12317,142119,1147.5594422138142
2016,1,MA,20461,29535,-9074,49996,1266.4107785342067
2016,1,PB,20252,26735,-6483,46987,1048.7222649925684
2016,1,PE,55232,84516,-29284,139748,1240.4630031831484
2016,1,PI,14535,20319,-5784,34854,1077.89907990039
2016,1,RN,21387,28769,-7382,50156,1064.1703768417617
2016,1,SE,13226,15636,-2410,28862,1111.6437500387028
2016,2,AL,7220,14322,-7102,21542,1204.6664190882927
2016,2,BA,48136,51158,-3022,99294,1243.5816867081596
2016,2,CE,33873,36139,-2266,70012,1184.5354082157344
2016,2,MA,9835,12866,-3031,22701,1292.9971807409363
2016,2,PB,9260,10314,-1054,19574,1100.0505772964136
2016,2,PE,31775,37030,-5255,68805,1235.1088002325412
2016,2,PI,7802,8150,-348,15952,1107.751003009027
2016,2,RN,10770,13422,-2652,24192,1070.3754546957673
2016,2,SE,6624,7886,-1262,14510,1152.5899379738112
2016,3,AL,6672,7576,-904,14248,1174.7949887703537
2016,3,BA,43332,51308,-7976,94640,1251.1139898562976
2016,3,CE,33915,35841,-1926,69756,1233.2368828487872
2016,3,MA,12556,12539,17,25095,1309.4053397091054
2016,3,PB,9124,9971,-847,19095,1107.935428122545
2016,3,PE,28933,31810,-2877,60743,1254.5331478524274
2016,3,PI,9024,8923,101,17947,1143.2851172897977
2016,3,RN,11297,12460,-1163,23757,1106.7646167445384
2016,3,SE,7000,7647,-647,14647,1181.9040759199836
2016,4,AL,18156,15605,2551,33761,1157.9154409656317
2016,4,BA,95712,106513,-10801,202225,1291.6399937749875
2016,4,CE,66973,71244,-4271,138217,1199.7280387832266
2016,4,MA,27694,25234,2460,52928,1277.4093770336149
2016,4,PB,25819,20011,5808,45830,1106.9024263042465
2016,4,PE,72157,67165,4992,139322,1233.3967972018136
2016,4,PI,15584,16221,-637,31805,1144.545877978386
2016,4,RN,26081,23842,2239,49923,1096.4579144980444
2016,4,SE,13677,16173,-2496,29850,1136.531069602658
2016,5,AL,32457,13230,19227,45687,1042.9695815077944
2016,5,BA,87090,93022,-5932,180112,1304.6353640703655
2016,5,CE,61598,62741,-1143,124339,1182.7950637581448
2016,5,MA,21572,23580,-2008,45152,1244.5776657825022
2016,5,PB,17837,18121,-284,35958,1126.8864302650222
2016,5,PE,73525,61353,12172,134878,1204.102976302366
2016,5,PI,13766,16425,-2659,30191,1111.7669361097078
2016,5,RN,23111,21815,1296,44926,1109.7828945635827
2016,5,SE,15349,13813,1536,29162,1139.7547840161603
2016,6,AL,14001,15710,-1709,29711,1149.4209864691243
2016,6,BA,79537,103356,-23819,182893,1362.4063075520892
2016,6,CE,54345,61716,-7371,116061,1191.9948247556922
2016,6,MA,19938,26433,-6495,46371,1317.50310364098
2016,6,PB,15844,20049,-4205,35893,1135.484968557068
2016,6,PE,53972,71843,-17871,125815,1274.2119352179243
2016,6,PI,12748,14757,-2009,27505,1178.6430227142032
2016,6,RN,19609,23750,-4141,43359,1150.0638045183923
2016,6,SE,11958,14739,-2781,26697,1192.3427461847295
2017,1,AL,12725,30834,-18109,43559,1129.0616963380314
2017,1,BA,92010,93859,-1849,185869,1343.155885982212
2017,1,CE,63613,70985,-7372,134598,1260.4644823053413
2017,1,MA,21481,25593,-4112,47074,1347.2231487671925
2017,1,PB,19999,27581,-7582,47580,1128.6104455001896
2017,1,PE,57270,87522,-30252,144792,1272.1419107504003
2017,1,PI,15803,16076,-273,31879,1152.6904383543942
2017,1,RN,22609,26846,-4237,49455,1159.3232840178757
2017,1,SE,13679,17704,-4025,31383,1170.048555249985
2017,2,AL,5955,15290,-9335,21245,1181.7759472817131
2017,2,BA,45596,48516,-2920,94112,1340.193503485209
2017,2,CE,30701,35376,-4675,66077,1256.4815291251116
2017,2,MA,10365,13166,-2801,23531,1371.5919000467468
2017,2,PB,8615,10554,-1939,19169,1187.61662058532
2017,2,PE,29119,32951,-3832,62070,1306.022200741099
