ano,sigla_uf,sexo,grau_instrucao,admissoes,desligamentos,saldo,salario_medio,total_movimentacoes,uf_nome
2020,AL,1,1,3702,4224,-522,724.306230044862,7926,Alagoas
2020,AL,1,2,11078,13235,-2157,785.0605297040689,24313,Alagoas
2020,AL,1,3,4823,4526,297,995.0336866335653,9349,Alagoas
2020,AL,1,4,7053,7242,-189,993.4359597890226,14295,Alagoas
2020,AL,1,5,5904,5836,68,1116.37112270515,11740,Alagoas
2020,AL,1,6,4893,4632,261,1000.5059202375623,9525,Alagoas
2020,AL,1,7,38730,31968,6762,1203.9521948365048,70698,Alagoas
2020,AL,1,8,1398,1396,2,1434.5702104539969,2794,Alagoas
2020,AL,1,9,2369,2229,140,2695.8993839255486,4598,Alagoas
2020,AL,1,10,63,67,-4,2538.7318972578346,130,Alagoas
2020,AL,1,11,21,24,-3,2224.1604545454547,45,Alagoas
2020,AL,1,80,199,168,31,4049.399708777606,367,Alagoas
2020,AL,2,1,100,122,-22,916.1230953175574,222,Alagoas
2020,AL,2,2,569,514,55,975.0356936530502,1083,Alagoas
2020,AL,2,3,146,188,-42,1008.2245088143186,334,Alagoas
2020,AL,2,4,516,609,-93,979.2361556296,1125,Alagoas
2020,AL,2,5,770,1133,-363,1048.6990928620985,1903,Alagoas
2020,AL,2,6,1123,1321,-198,823.8711812450152,2444,Alagoas
2020,AL,2,7,17149,16901,248,1053.4507618779733,34050,Alagoas
2020,AL,2,8,1357,1423,-66,1222.3694431744586,2780,Alagoas
2020,AL,2,9,3512,3392,120,1881.4658040029035,6904,Alagoas
2020,AL,2,10,88,84,4,1599.7256882215008,172,Alagoas
2020,AL,2,11,11,16,-5,2552.7217316017313,27,Alagoas
2020,AL,2,80,308,233,75,2811.056437948471,541,Alagoas
2020,BA,1,1,1649,1754,-105,1143.8333368881886,3403,Bahia
2020,BA,1,2,13143,14407,-1264,1261.1567881078315,27550,Bahia
2020,BA,1,3,7928,8639,-711,1420.0410665573452,16567,Bahia
2020,BA,1,4,20872,22209,-1337,1314.653543252772,43081,Bahia
2020,BA,1,5,22938,24931,-1993,1365.2119072495095,47869,Bahia
2020,BA,1,6,26366,28141,-1775,1194.7861185517074,54507,Bahia
2020,BA,1,7,230758,217175,13583,1366.9249573458192,447933,Bahia
2020,BA,1,8,6775,6755,20,1716.340830897323,13530,Bahia
2020,BA,1,9,14545,15077,-532,3289.2682963072507,29622,Bahia
2020,BA,1,10,391,634,-243,2897.898974472904,1025,Bahia
2020,BA,1,11,111,205,-94,2358.2582551343394,316,Bahia
2020,BA,1,80,1295,1391,-96,4513.364204564878,2686,Bahia
