ano,mes,sigla_uf,admissoes,desligamentos,saldo,salario_medio,total_movimentacoes,uf_nome
2020,1,AL,8019,12276,-4257,1193.530123485197,20295,Alagoas
2020,1,BA,48138,46104,2034,1383.7118863031644,94242,Bahia
2020,1,CE,32300,30656,1644,1342.392970472878,62956,Ceará
2020,1,MA,11705,11730,-25,1342.8230497512436,23435,Maranhão
2020,1,PB,10046,11358,-1312,1161.0764721734035,21404,Paraíba
2020,1,PE,30449,33205,-2756,1329.2657040843824,63654,Pernambuco
2020,1,PI,6836,7322,-486,1238.75878914405,14158,Piauí
2020,1,RN,10870,12223,-1353,1161.2993758378464,23093,Rio Grande do Norte
2020,1,SE,7225,6968,257,1169.511620745543,14193,Sergipe
2020,2,AL,8385,16749,-8364,897.5652529218407,25134,Alagoas
2020,2,BA,49312,42498,6814,1342.2044904774675,91810,Bahia
2020,2,CE,33754,27273,6481,1252.34306551184,61027,Ceará
2020,2,MA,12077,10255,1822,1299.4472750041743,22332,Maranhão
2020,2,PB,10745,13447,-2702,1080.3008458784875,24192,Paraíba
2020,2,PE,31051,32711,-1660,1217.4814353250165,63762,Pernambuco
2020,2,PI,6949,6110,839,1246.941730909091,13059,Piauí
2020,2,RN,11119,13558,-2439,1128.8951619820073,24677,Rio Grande do Norte
2020,2,SE,6720,8849,-2129,1144.7127658733295,15569,Sergipe
2020,3,AL,7375,12997,-5622,1077.0166143419833,20372,Alagoas
2020,3,BA,46437,60190,-13753,1365.6990114458174,106627,Bahia
2020,3,CE,30575,33259,-2684,1232.186734911719,63834,Ceará
2020,3,MA,11425,12568,-1143,1347.735934094049,23993,Maranhão
2020,3,PB,10712,11380,-668,1124.2861637196422,22092,Paraíba
2020,3,PE,27112,51906,-24794,1270.4512199661854,79018,Pernambuco
2020,3,PI,7249,7163,86,1257.1158272859216,14412,Piauí
2020,3,RN,10843,12896,-2053,1174.7706447831183,23739,Rio Grande do Norte
2020,3,SE,5538,8164,-2626,1279.8684702974667,13702,Sergipe
2020,4,AL,2797,10487,-7690,1026.7213226848528,13284,Alagoas
2020,4,BA,23527,58625,-35098,1342.5776308099782,82152,Bahia
2020,4,CE,12450,43535,-31085,1242.7041850509102,55985,Ceará
2020,4,MA,7002,12955,-5953,1340.9944006042294,19957,Maranhão
2020,4,PB,3382,12075,-8693,1266.275198348326,15457,Paraíba
2020,4,PE,13743,39955,-26212,1593.3727459652555,53698,Pernambuco
2020,4,PI,2322,7934,-5612,1282.8653562383,10256,Piauí
2020,4,RN,4488,13266,-8778,1231.3870493066256,17754,Rio Grande do Norte
2020,4,SE,2194,7307,-5113,1208.5745388104838,9501,Sergipe
2020,5,AL,5065,7545,-2480,1249.6946980516618,12610,Alagoas
2020,5,BA,24953,43255,-18302,1435.0595419669455,68208,Bahia
2020,5,CE,14385,24072,-9687,1364.762206373542,38457,Ceará
2020,5,MA,9362,10619,-1257,1376.810784074397,19981,Maranhão
2020,5,PB,4582,8114,-3532,1233.0753168952942,12696,Paraíba
2020,5,PE,17107,24648,-7541,1371.9517383995517,41755,Pernambuco
2020,5,PI,2904,6340,-3436,1679.4147966062296,9244,Piauí
2020,5,RN,6293,9634,-3341,1236.1439562764458,15927,Rio Grande do Norte
2020,5,SE,2604,6226,-3622,1257.6346512868383,8830,Sergipe
2020,6,AL,5665,4851,814,1249.2781353956989,10516,Alagoas
2020,6,BA,30117,33101,-2984,1462.5275950915832,63218,Bahia
2020,6,CE,18698,20530,-1832,1370.3498362235068,39228,Ceará
2020,6,MA,12029,8313,3716,1555.293760744593,20342,Maranhão
