ano,mes,sigla_uf,admissoes,desligamentos,saldo,salario_medio,total_movimentacoes,uf_nome
2015,2,PB,13347,14557,-1210,994.5967603211008,27904,Paraíba
2015,4,PB,11805,14912,-3107,1008.2792978253548,26717,Paraíba
2015,5,PB,11299,13424,-2125,1030.843101565344,24723,Paraíba
2015,6,PB,10236,11723,-1487,1035.3895896898766,21959,Paraíba
2015,8,PB,16324,12031,4293,1005.9670252160112,28355,Paraíba
2015,9,PB,12581,11382,1199,1016.9318950047992,23963,Paraíba
2015,10,PB,10394,11154,-760,1043.3514479302023,21548,Paraíba
2015,12,PB,7180,11667,-4487,996.4838966413752,18847,Paraíba
2016,1,PB,11540,11351,189,1039.1239788563191,22891,Paraíba
2016,2,PB,8712,15384,-6672,1058.320551128818,24096,Paraíba
2016,4,PB,9260,10314,-1054,1100.0505772964136,19574,Paraíba
2016,6,PB,9124,9971,-847,1107.935428122545,19095,Paraíba
2016,7,PB,10027,10124,-97,1123.3208773758126,20151,Paraíba
2016,8,PB,15792,9887,5905,1090.4839752326805,25679,Paraíba
2016,9,PB,9005,8439,566,1123.3801307039669,17444,Paraíba
2016,10,PB,8832,9682,-850,1130.3927298260776,18514,Paraíba
2016,11,PB,9018,9365,-347,1127.5915247783278,18383,Paraíba
2016,12,PB,6826,10684,-3858,1143.3784123358082,17510,Paraíba
2017,1,PB,10500,16938,-6438,1102.3455062322328,27438,Paraíba
2017,2,PB,9499,10643,-1144,1154.8753847681462,20142,Paraíba
2017,3,PB,8615,10554,-1939,1187.61662058532,19169,Paraíba
2017,5,PB,8808,9399,-591,1208.3130114791015,18207,Paraíba
2017,7,PB,10217,9408,809,1200.1168407643313,19625,Paraíba
2017,8,PB,13361,9850,3511,1181.9147387014775,23211,Paraíba
2017,9,PB,10252,8277,1975,1175.1043769226617,18529,Paraíba
2017,10,PB,9227,8313,914,1174.8820980615735,17540,Paraíba
2017,11,PB,9296,8040,1256,1169.6214236271344,17336,Paraíba
2018,1,PB,9695,12950,-3255,1146.5113270037536,22645,Paraíba
2018,2,PB,11163,13921,-2758,1115.0440519853294,25084,Paraíba
2018,3,PB,9595,9962,-367,1187.8983484174464,19557,Paraíba
2018,4,PB,9547,9393,154,1195.8950369588174,18940,Paraíba
2018,5,PB,9100,9803,-703,1218.4501930910435,18903,Paraíba
2018,6,PB,9115,8714,401,1190.073419709462,17829,Paraíba
2018,7,PB,10654,9301,1353,1197.1673264845904,19955,Paraíba
2018,8,PB,16914,9670,7244,1159.2685826060788,26584,Paraíba
2018,9,PB,10287,8204,2083,1188.864312368179,18491,Paraíba
2018,10,PB,10061,8822,1239,1175.104220727639,18883,Paraíba
2018,11,PB,9336,8322,1014,1182.2414769509571,17658,Paraíba
2018,12,PB,7515,10131,-2616,1203.344100646039,17646,Paraíba
2019,2,PB,10607,10175,432,1194.3561736117797,20782,Paraíba
2019,4,PB,10025,9247,778,1208.5308738065587,19272,Paraíba
2019,5,PB,10013,9330,683,1217.0251253683502,19343,Paraíba
2019,6,PB,9505,10300,-795,1289.3089118909363,19805,Paraíba
2019,7,PB,12015,10145,1870,1273.418817689531,22160,Paraíba
2019,10,PB,11695,9831,1864,1231.0479884790486,21526,Paraíba
2019,11,PB,10856,8913,1943,1241.3379027770752,19769,Paraíba
2019,12,PB,8196,11188,-2992,1292.7001134956663,19384,Paraíba
