ano,mes,sigla_uf,admissoes,desligamentos,saldo,salario_medio,total_movimentacoes,uf_nome
2020,1,PB,10046,11358,-1312,1161.0764721734035,21404,Paraíba
2020,2,PB,10745,13447,-2702,1080.3008458784875,24192,Paraíba
2020,3,PB,10712,11380,-668,1124.2861637196422,22092,Paraíba
2020,4,PB,3382,12075,-8693,1266.275198348326,15457,Paraíba
2020,5,PB,4582,8114,-3532,1233.0753168952942,12696,Paraíba
2020,6,PB,5727,5687,40,1229.250638480626,11414,Paraíba
2020,7,PB,9060,6980,2080,1161.6740669405349,16040,Paraíba
2020,8,PB,16420,6704,9716,1129.4674451052151,23124,Paraíba
2020,9,PB,13151,11252,1899,1149.8134680149678,24403,Paraíba
2020,10,PB,13139,11683,1456,1193.5447504025765,24822,Paraíba
2020,11,PB,17782,7657,10125,1162.7060677558468,25439,Paraíba
2020,12,PB,10595,9385,1210,1131.5181862558984,19980,Paraíba
2021,1,PB,11927,12112,-185,1176.2286532362532,24039,Paraíba
2021,2,PB,13331,13407,-76,1187.7719320403537,26738,Paraíba
2021,3,PB,13028,10965,2063,1189.870249305073,23993,Paraíba
2021,4,PB,10814,10282,532,1223.981176237624,21096,Paraíba
2021,5,PB,12283,9301,2982,1226.510079443893,21584,Paraíba
2021,6,PB,12123,8733,3390,1256.02491776956,20856,Paraíba
2021,7,PB,14101,10654,3447,1227.1622171741978,24755,Paraíba
2021,8,PB,21225,10670,10555,1143.8431785816008,31895,Paraíba
2021,9,PB,15623,10486,5137,1239.052345750873,26109,Paraíba
2021,10,PB,14890,10612,4278,1262.1131243568432,25502,Paraíba
2021,11,PB,14461,10063,4398,1270.7671191398204,24524,Paraíba
2021,12,PB,12751,12973,-222,1249.770184029944,25724,Paraíba
2022,1,PB,14223,15207,-984,1282.9124581842957,29430,Paraíba
2022,2,PB,15065,16602,-1537,1250.365300670971,31667,Paraíba
2022,3,PB,15100,14228,872,1286.123717804387,29328,Paraíba
2022,4,PB,15655,13243,2412,1302.9914552690775,28898,Paraíba
2022,5,PB,15720,12592,3128,1316.6407625110523,28312,Paraíba
2022,6,PB,15816,12183,3633,1315.0044006145708,27999,Paraíba
2022,7,PB,17315,13171,4144,1389.933066421633,30486,Paraíba
2022,8,PB,20058,14145,5913,1280.1887481257168,34203,Paraíba
2022,9,PB,16777,12958,3819,1359.9981539083012,29735,Paraíba
2022,10,PB,14282,13037,1245,1453.4221232224015,27319,Paraíba
2022,11,PB,14754,12202,2552,1386.2235382610313,26956,Paraíba
2022,12,PB,12063,14451,-2388,1355.8049102824154,26514,Paraíba
2023,1,PB,14528,16251,-1723,1369.4387475959188,30779,Paraíba
2023,2,PB,15000,14486,514,1419.6807739591115,29486,Paraíba
2023,3,PB,17226,18041,-815,1337.6146484308497,35267,Paraíba
2023,4,PB,13960,17141,-3181,1331.5537318234462,31101,Paraíba
2023,5,PB,17235,14367,2868,1423.0046431737587,31602,Paraíba
2023,6,PB,14608,14831,-223,1429.0199439157036,29439,Paraíba
2023,7,PB,17447,13970,3477,1458.0237937079653,31417,Paraíba
2023,8,PB,23284,14502,8782,1392.8044543624517,37786,Paraíba
2023,9,PB,17766,13573,4193,1472.1183053495677,31339,Paraíba
2023,10,PB,16801,13028,3773,1478.8131362097288,29829,Paraíba
2023,11,PB,16477,12820,3657,1498.8673843738266,29297,Paraíba
2023,12,PB,11954,13458,-1504,1466.111648040296,25412,Paraíba
2024,1,PB,17239,16907,332,1481.6851285655714,34146,Paraíba
2024,2,PB,17867,17876,-9,1492.8130537447892,35743,Paraíba
2024,3,PB,18886,18623,263,1457.4213730038125,37509,Paraíba
2024,4,PB,18930,18191,739,1514.0895018991944,37121,Paraíba
2024,5,PB,17548,15772,1776,1531.0949318727492,33320,Paraíba
2024,6,PB,18029,14609,3420,1547.487593296158,32638,Paraíba
2024,7,PB,21637,17248,4389,1524.2558415841584,38885,Paraíba
2024,8,PB,25212,16198,9014,1502.081818159865,41410,Paraíba
2024,9,PB,19402,15771,3631,1571.7167867398289,35173,Paraíba
2024,10,PB,19010,17404,1606,1585.554217608612,36414,Paraíba
2024,11,PB,18521,15801,2720,1581.1743893129772,34322,Paraíba
2024,12,PB,14317,15203,-886,1564.2365623306234,29520,Paraíba
2025,1,PB,21101,21821,-720,1562.201401379246,42922,Paraíba
2025,2,PB,22128,21603,525,1530.4115188310352,43731,Paraíba
2025,3,PB,19526,20442,-916,1602.469451311049,39968,Paraíba
2025,4,PB,20787,19210,1577,1633.9898859914492,39997,Paraíba
2025,5,PB,25047,19142,5905,1645.5083140600602,44189,Paraíba
2025,6,PB,19838,19323,515,1661.4546206685222,39161,Paraíba
2025,7,PB,22737,20490,2247,1676.5027957063871,43227,Paraíba
2025,8,PB,27558,19066,8492,437011.30039679137,46624,Paraíba
2025,9,PB,24420,18336,6084,1676.6599738048462,42756,Paraíba
2025,10,PB,22182,19448,2734,1697.037132596685,41630,Paraíba
2025,11,PB,20465,16387,4078,1695.2633170519916,36852,Paraíba
2025,12,PB,14696,17380,-2684,1716.0569887143035,32076,Paraíba
