ano,mes,sigla_uf,admissoes,desligamentos,saldo,salario_medio,total_movimentacoes,uf_nome
2015,2,PE,37382,48042,-10660,1151.4411406630454,85424,Pernambuco
2015,4,PE,39198,59352,-20154,1134.5171588026385,98550,Pernambuco
2015,5,PE,37497,44800,-7303,1173.4565293996136,82297,Pernambuco
2015,6,PE,35614,41953,-6339,1152.5686567741436,77567,Pernambuco
2015,8,PE,38999,40919,-1920,1151.4781651192473,79918,Pernambuco
2015,9,PE,52583,37335,15248,1084.7974376654286,89918,Pernambuco
2015,10,PE,35293,41114,-5821,1141.3480571151858,76407,Pernambuco
2015,12,PE,24046,40077,-16031,1222.107480935078,64123,Pernambuco
2016,1,PE,28648,42058,-13410,1235.5292478714678,70706,Pernambuco
2016,2,PE,26584,42458,-15874,1245.396758494829,69042,Pernambuco
2016,4,PE,31775,37030,-5255,1235.1088002325412,68805,Pernambuco
2016,6,PE,28933,31810,-2877,1254.5331478524274,60743,Pernambuco
2016,7,PE,30876,34919,-4043,1258.7707728550802,65795,Pernambuco
2016,8,PE,41281,32246,9035,1208.0228215485467,73527,Pernambuco
2016,9,PE,44323,28602,15721,1185.8276174151526,72925,Pernambuco
2016,10,PE,29202,32751,-3549,1222.3783351895793,61953,Pernambuco
2016,11,PE,29744,32976,-3232,1232.5309470663265,62720,Pernambuco
2016,12,PE,24228,38867,-14639,1315.892923369522,63095,Pernambuco
2017,1,PE,29531,43441,-13910,1283.6787671983775,72972,Pernambuco
2017,2,PE,27739,44081,-16342,1260.6050543024228,71820,Pernambuco
2017,3,PE,29119,32951,-3832,1306.022200741099,62070,Pernambuco
2017,5,PE,29991,30186,-195,1296.1108064542932,60177,Pernambuco
2017,7,PE,28556,27762,794,1347.5842181895664,56318,Pernambuco
2017,8,PE,35927,31721,4206,1340.4529032639546,67648,Pernambuco
2017,9,PE,42066,28074,13992,1260.2731679498147,70140,Pernambuco
2017,10,PE,36056,27338,8718,1308.6132283812349,63394,Pernambuco
2017,11,PE,30329,30070,259,1364.081176840676,60399,Pernambuco
2018,1,PE,29428,34265,-4837,1334.3351074686386,63693,Pernambuco
2018,2,PE,26965,34346,-7381,1317.7102966841187,61311,Pernambuco
2018,3,PE,29907,39596,-9689,1299.9693538408414,69503,Pernambuco
2018,4,PE,30163,30433,-270,1360.356690210575,60596,Pernambuco
2018,5,PE,30462,29841,621,1350.2149312637846,60303,Pernambuco
2018,6,PE,28351,28230,121,1334.713879217405,56581,Pernambuco
2018,7,PE,28612,28723,-111,1345.0843812679864,57335,Pernambuco
2018,8,PE,41284,29721,11563,1288.144679952116,71005,Pernambuco
2018,9,PE,46984,25570,21414,1243.1213992336743,72554,Pernambuco
2018,10,PE,30166,31496,-1330,1335.8389283513347,61662,Pernambuco
2018,11,PE,32346,30533,1813,1318.1739690516706,62879,Pernambuco
2018,12,PE,22810,37764,-14954,1410.006867632978,60574,Pernambuco
2019,2,PE,30408,42804,-12396,1312.6021553843632,73212,Pernambuco
2019,4,PE,31001,30576,425,1360.448966334833,61577,Pernambuco
2019,5,PE,31630,29929,1701,1399.708101171234,61559,Pernambuco
2019,6,PE,28834,29087,-253,1407.9243279639509,57921,Pernambuco
2019,7,PE,30016,30112,-96,1412.3359998669505,60128,Pernambuco
2019,10,PE,36089,30982,5107,1359.222435926108,67071,Pernambuco
2019,11,PE,32802,29608,3194,1360.6818298349624,62410,Pernambuco
2019,12,PE,24737,30095,-5358,1372.8199044353662,54832,Pernambuco
