ano,mes,sigla_uf,admissoes,desligamentos,saldo,salario_medio,total_movimentacoes,uf_nome
2020,1,PE,30449,33205,-2756,1329.2657040843824,63654,Pernambuco
2020,2,PE,31051,32711,-1660,1217.4814353250165,63762,Pernambuco
2020,3,PE,27112,51906,-24794,1270.4512199661854,79018,Pernambuco
2020,4,PE,13743,39955,-26212,1593.3727459652555,53698,Pernambuco
2020,5,PE,17107,24648,-7541,1371.9517383995517,41755,Pernambuco
2020,6,PE,17761,21326,-3565,33783.095252944666,39087,Pernambuco
2020,7,PE,28349,22608,5741,1365.9710720048847,50957,Pernambuco
2020,8,PE,37741,25219,12522,1425.7898182695951,62960,Pernambuco
2020,9,PE,46595,24390,22205,1192.0076205897392,70985,Pernambuco
2020,10,PE,40319,27185,13134,1347.116402949996,67504,Pernambuco
2020,11,PE,39190,25466,13724,1330.4123170224448,64656,Pernambuco
2020,12,PE,32014,34447,-2433,1314.0394391716998,66461,Pernambuco
2021,1,PE,35886,34475,1411,1315.1029714568297,70361,Pernambuco
2021,2,PE,39597,37768,1829,1220.6342194644023,77365,Pernambuco
2021,3,PE,36328,38921,-2593,1332.5128056763888,75249,Pernambuco
2021,4,PE,33752,28681,5071,1462.0007911583525,62433,Pernambuco
2021,5,PE,36428,28178,8250,1443.7295043858242,64606,Pernambuco
2021,6,PE,35606,28679,6927,29074.386080627097,64285,Pernambuco
2021,7,PE,38370,29193,9177,1430.791839724125,67563,Pernambuco
2021,8,PE,48706,31315,17391,1317.061310173124,80021,Pernambuco
2021,9,PE,60743,33586,27157,1296.0194295580854,94329,Pernambuco
2021,10,PE,45377,33821,11556,1368.066950301012,79198,Pernambuco
2021,11,PE,45556,34531,11025,1416.4378436916245,80087,Pernambuco
2021,12,PE,35249,41400,-6151,1436.0853424262295,76649,Pernambuco
2022,1,PE,41584,41047,537,1446.1473965087282,82631,Pernambuco
2022,2,PE,43524,42990,534,1572.1059973000338,86514,Pernambuco
2022,3,PE,42884,49134,-6250,1402.2396815217392,92018,Pernambuco
2022,4,PE,40300,41180,-880,1610.512467961308,81480,Pernambuco
2022,5,PE,44456,37948,6508,1519.298635392126,82404,Pernambuco
2022,6,PE,43326,36192,7134,1501.7036448821473,79518,Pernambuco
2022,7,PE,49206,40122,9084,1476.2920837439526,89328,Pernambuco
2022,8,PE,57262,42143,15119,1586.548283262667,99405,Pernambuco
2022,9,PE,58782,38039,20743,1455.288797576334,96821,Pernambuco
2022,10,PE,46596,38300,8296,1509.932958940616,84896,Pernambuco
2022,11,PE,45955,37702,8253,1508.3722068742825,83657,Pernambuco
2022,12,PE,34698,44093,-9395,20721.56009069396,78791,Pernambuco
2023,1,PE,45665,45338,327,18117.137607205343,91003,Pernambuco
2023,2,PE,47443,40682,6761,1579.0426328099277,88125,Pernambuco
2023,3,PE,46427,51692,-5265,1540.4872830488937,98119,Pernambuco
2023,4,PE,42439,44864,-2425,1583.7973959885387,87303,Pernambuco
2023,5,PE,47239,46775,464,1563.8552433428094,94014,Pernambuco
2023,6,PE,46069,40742,5327,1650.9096961873588,86811,Pernambuco
2023,7,PE,46226,41825,4401,1601.3515448882624,88051,Pernambuco
2023,8,PE,59515,43949,15566,1542.2998244695111,103464,Pernambuco
2023,9,PE,57870,39006,18864,1538.5089992683718,96876,Pernambuco
2023,10,PE,49552,41280,8272,1675.2920807644882,90832,Pernambuco
2023,11,PE,50528,42864,7664,1594.3126954128834,93392,Pernambuco
2023,12,PE,39307,47942,-8635,1660.1637434239933,87249,Pernambuco
2024,1,PE,49439,47147,2292,1696.5960047004742,96586,Pernambuco
2024,2,PE,49960,47815,2145,1658.2314463819994,97775,Pernambuco
2024,3,PE,51986,50622,1364,1643.611665074848,102608,Pernambuco
2024,4,PE,52533,53636,-1103,2624.1366126647135,106169,Pernambuco
2024,5,PE,51530,47538,3992,1673.777174566964,99068,Pernambuco
2024,6,PE,50407,42385,8022,1712.7510926588498,92792,Pernambuco
2024,7,PE,53859,46281,7578,1700.4780133812662,100140,Pernambuco
2024,8,PE,64779,46667,18112,2207.373765411051,111446,Pernambuco
2024,9,PE,61287,43436,17851,1674.7622510814242,104723,Pernambuco
2024,10,PE,54384,49374,5010,1734.0731244819676,103758,Pernambuco
2024,11,PE,50407,44881,5526,1732.933238183192,95288,Pernambuco
2024,12,PE,40188,50643,-10455,1801.4575257346064,90831,Pernambuco
2025,1,PE,54852,60082,-5230,1820.4857472114431,114934,Pernambuco
2025,2,PE,59818,52230,7588,1746.3243334999286,112048,Pernambuco
2025,3,PE,49384,52862,-3478,1747.737089666099,102246,Pernambuco
2025,4,PE,58818,51317,7501,1835.22510155718,110135,Pernambuco
2025,5,PE,58674,48920,9754,1816.482093518226,107594,Pernambuco
2025,6,PE,52697,47518,5179,1841.3501242328991,100215,Pernambuco
2025,7,PE,58008,50631,7377,1831.77823415164,108639,Pernambuco
2025,8,PE,64260,51568,12692,1769.1194225921192,115828,Pernambuco
2025,9,PE,69114,53512,15602,1824.7660398284215,122626,Pernambuco
2025,10,PE,63555,52959,10596,1858.487693410234,116514,Pernambuco
2025,11,PE,54240,45244,8996,2869.557795725946,99484,Pernambuco
2025,12,PE,40713,50175,-9462,2013.760849947188,90888,Pernambuco
