ano,mes,sigla_uf,admissoes,desligamentos,saldo,salario_medio,total_movimentacoes,uf_nome
2015,2,PI,9786,9680,106,989.671118873934,19466,Piauí
2015,4,PI,10183,9571,612,1025.9907360534576,19754,Piauí
2015,5,PI,9587,9524,63,1037.4020721050704,19111,Piauí
2015,6,PI,9770,10649,-879,1048.4603065772076,20419,Piauí
2015,8,PI,10979,10366,613,1011.875521199344,21345,Piauí
2015,9,PI,10352,10088,264,987.7401663405088,20440,Piauí
2015,10,PI,7881,8472,-591,1030.4769155506635,16353,Piauí
2015,12,PI,6294,9546,-3252,1034.26452020202,15840,Piauí
2016,1,PI,7476,9785,-2309,1093.4398354672385,17261,Piauí
2016,2,PI,7059,10534,-3475,1062.3583243335418,17593,Piauí
2016,4,PI,7802,8150,-348,1107.751003009027,15952,Piauí
2016,6,PI,9024,8923,101,1143.2851172897977,17947,Piauí
2016,7,PI,7417,8046,-629,1156.834443510315,15463,Piauí
2016,8,PI,8167,8175,-8,1132.257312446457,16342,Piauí
2016,9,PI,6772,7634,-862,1133.4192697487158,14406,Piauí
2016,10,PI,6994,8791,-1797,1090.1146024707,15785,Piauí
2016,11,PI,7544,7585,-41,1128.916782338555,15129,Piauí
2016,12,PI,5204,7172,-1968,1228.3692630898513,12376,Piauí
2017,1,PI,7434,7885,-451,1173.4055747764214,15319,Piauí
2017,2,PI,8369,8191,178,1131.975301932367,16560,Piauí
2017,3,PI,7262,8209,-947,1211.4511020619225,15471,Piauí
2017,5,PI,7517,6681,836,1151.8692069305537,14198,Piauí
2017,7,PI,7042,6802,240,1244.2869112973128,13844,Piauí
2017,8,PI,7799,7724,75,1239.0493461315468,15523,Piauí
2017,9,PI,7190,6431,759,1230.7044269877397,13621,Piauí
2017,10,PI,8071,6457,1614,1168.7407075991189,14528,Piauí
2017,11,PI,7523,8067,-544,1165.8854393842207,15590,Piauí
2018,1,PI,6562,7503,-941,1176.6795591894777,14065,Piauí
2018,2,PI,7419,7251,168,1122.9625085207908,14670,Piauí
2018,3,PI,7689,6734,955,1178.688483671913,14423,Piauí
2018,4,PI,7129,6550,579,1181.1038818627092,13679,Piauí
2018,5,PI,7463,6677,786,1173.9881188118811,14140,Piauí
2018,6,PI,7421,6939,482,1185.175,14360,Piauí
2018,7,PI,7118,6918,200,1184.8975491593046,14036,Piauí
2018,8,PI,7665,7254,411,1191.0073731483344,14919,Piauí
2018,9,PI,7619,6400,1219,1169.9865182965975,14019,Piauí
2018,10,PI,7326,7076,250,1207.196708790446,14402,Piauí
2018,11,PI,6435,6721,-286,1202.5212830647613,13156,Piauí
2018,12,PI,6233,7056,-823,1186.6638573256078,13289,Piauí
2019,2,PI,8056,8456,-400,1297.9322311046512,16512,Piauí
2019,4,PI,6828,6821,7,1237.786431240384,13649,Piauí
2019,5,PI,9069,8029,1040,1180.4079424494091,17098,Piauí
2019,6,PI,8599,7291,1308,1223.925676526117,15890,Piauí
2019,7,PI,7972,7619,353,1242.914245397986,15591,Piauí
2019,10,PI,8118,7394,724,1238.6694816915935,15512,Piauí
2019,11,PI,7437,7237,200,1258.9422107128255,14674,Piauí
2019,12,PI,5274,8231,-2957,1262.05331358756,13505,Piauí
