ano,mes,sigla_uf,admissoes,desligamentos,saldo,salario_medio,total_movimentacoes,uf_nome
2020,1,PI,6836,7322,-486,1238.75878914405,14158,Piauí
2020,2,PI,6949,6110,839,1246.941730909091,13059,Piauí
2020,3,PI,7249,7163,86,1257.1158272859216,14412,Piauí
2020,4,PI,2322,7934,-5612,1282.8653562383,10256,Piauí
2020,5,PI,2904,6340,-3436,1679.4147966062296,9244,Piauí
2020,6,PI,5064,4728,336,1208.8272704416263,9792,Piauí
2020,7,PI,5913,4352,1561,1442.1327016379846,10265,Piauí
2020,8,PI,6753,4680,2073,1329.3402617220013,11433,Piauí
2020,9,PI,7707,5274,2433,1329.649459660122,12981,Piauí
2020,10,PI,8903,5389,3514,1275.0401457357425,14292,Piauí
2020,11,PI,8134,5977,2157,1180.294619205298,14111,Piauí
2020,12,PI,6521,6731,-210,1343.8549190775682,13252,Piauí
2021,1,PI,8813,7154,1659,1305.258859110241,15967,Piauí
2021,2,PI,10166,7326,2840,1315.7747021186694,17492,Piauí
2021,3,PI,8218,6925,1293,1336.722216480447,15143,Piauí
2021,4,PI,8493,6416,2077,1254.0681316241764,14909,Piauí
2021,5,PI,9450,6031,3419,1324.8343785121756,15481,Piauí
2021,6,PI,11712,6605,5107,1254.6333303541503,18317,Piauí
2021,7,PI,9736,6894,2842,1389.9654013202542,16630,Piauí
2021,8,PI,10610,7631,2979,1302.0752385490837,18241,Piauí
2021,9,PI,10724,7347,3377,1411.3502919461196,18071,Piauí
2021,10,PI,10100,8562,1538,1915730.3183941408,18662,Piauí
2021,11,PI,9545,7929,1616,1359.3831864445986,17474,Piauí
2021,12,PI,7765,9661,-1896,1323.650208357382,17426,Piauí
2022,1,PI,9359,9879,-520,1360.374884000418,19238,Piauí
2022,2,PI,10741,8947,1794,1398.4516144320442,19688,Piauí
2022,3,PI,10361,9513,848,1417.7707383361014,19874,Piauí
2022,4,PI,10590,9576,1014,1361.934590546104,20166,Piauí
2022,5,PI,11789,9111,2678,1395.0070797011208,20900,Piauí
2022,6,PI,12862,8668,4194,1363.1403103224009,21530,Piauí
2022,7,PI,11198,9168,2030,1404.902422143629,20366,Piauí
2022,8,PI,11900,11069,831,1379.974656126138,22969,Piauí
2022,9,PI,12035,9254,2781,1426.8414256858323,21289,Piauí
2022,10,PI,10184,9265,919,1431.4121710052475,19449,Piauí
2022,11,PI,10030,10079,-49,1522.582896229231,20109,Piauí
2022,12,PI,7826,11856,-4030,1356.6047809921563,19682,Piauí
2023,1,PI,10074,9798,276,1484.4889626681445,19872,Piauí
2023,2,PI,10279,9357,922,1548.4958212535728,19636,Piauí
2023,3,PI,12111,10181,1930,1523.211584674881,22292,Piauí
2023,4,PI,11763,9880,1883,1448.4311474121996,21643,Piauí
2023,5,PI,12707,10039,2668,1512.6178539335742,22746,Piauí
2023,6,PI,14092,9922,4170,1560.4349381224215,24014,Piauí
2023,7,PI,13686,9957,3729,1548.8265076610514,23643,Piauí
2023,8,PI,13556,10792,2764,1504.1737828213818,24348,Piauí
2023,9,PI,12627,10133,2494,1537.5459839710193,22760,Piauí
2023,10,PI,12400,10213,2187,1597.3714690664665,22613,Piauí
2023,11,PI,11601,11725,-124,1495.9426682671697,23326,Piauí
2023,12,PI,8087,11566,-3479,1528.6178664834886,19653,Piauí
2024,1,PI,11798,11077,721,1635.464538142077,22875,Piauí
2024,2,PI,12077,11544,533,1718.7886109817537,23621,Piauí
2024,3,PI,14051,11036,3015,1588.4315278829674,25087,Piauí
2024,4,PI,13417,11345,2072,1605.8769493578873,24762,Piauí
2024,5,PI,12722,10588,2134,1639.0159090519091,23310,Piauí
2024,6,PI,13251,10337,2914,1707.8321807698828,23588,Piauí
2024,7,PI,13000,11285,1715,1651.1429664401894,24285,Piauí
2024,8,PI,13368,11303,2065,1646.7806943374812,24671,Piauí
2024,9,PI,11848,10859,989,1660.664186374246,22707,Piauí
2024,10,PI,12355,11038,1317,1661.5643230881033,23393,Piauí
2024,11,PI,10864,12242,-1378,1593.6721574482815,23106,Piauí
2024,12,PI,7805,10522,-2717,1665.6843182190212,18327,Piauí
2025,1,PI,11830,12796,-966,1707.7995317956631,24626,Piauí
2025,2,PI,14930,11936,2994,1889.309618104668,26866,Piauí
2025,3,PI,14157,12427,1730,1726.9055710201626,26584,Piauí
2025,4,PI,13684,10466,3218,1779.484255486543,24150,Piauí
2025,5,PI,15010,11451,3559,1740.8560568383657,26461,Piauí
2025,6,PI,14472,11727,2745,1726.8334505133785,26199,Piauí
2025,7,PI,14585,11600,2985,1800.642981477945,26185,Piauí
2025,8,PI,14589,11998,2591,1769.485560988453,26587,Piauí
2025,9,PI,14735,12331,2404,1792.599501588709,27066,Piauí
2025,10,PI,14638,11945,2693,1805.6301929804763,26583,Piauí
2025,11,PI,12329,13377,-1048,1723.5581241733448,25706,Piauí
2025,12,PI,8728,11198,-2470,1811.0254672287465,19926,Piauí
