ano,mes,sigla_uf,admissoes,desligamentos,saldo,salario_medio,total_movimentacoes,uf_nome
2015,2,RN,13635,17648,-4013,983.9970271393408,31283,Rio Grande do Norte
2015,4,RN,13597,14942,-1345,1030.281614632608,28539,Rio Grande do Norte
2015,5,RN,13672,15077,-1405,1058.7840272705137,28749,Rio Grande do Norte
2015,6,RN,13941,16129,-2188,1033.6463584968408,30070,Rio Grande do Norte
2015,8,RN,14483,14768,-285,1000.6721821476189,29251,Rio Grande do Norte
2015,9,RN,14493,12321,2172,1014.195867830238,26814,Rio Grande do Norte
2015,10,RN,12173,12643,-470,1002.6337040618956,24816,Rio Grande do Norte
2015,12,RN,9017,13376,-4359,1027.1372750413077,22393,Rio Grande do Norte
2016,1,RN,11097,14041,-2944,1061.0502028801018,25138,Rio Grande do Norte
2016,2,RN,10290,14728,-4438,1067.2905508034216,25018,Rio Grande do Norte
2016,4,RN,10770,13422,-2652,1070.3754546957673,24192,Rio Grande do Norte
2016,6,RN,11297,12460,-1163,1106.7646167445384,23757,Rio Grande do Norte
2016,7,RN,11725,11723,2,1108.2611736608667,23448,Rio Grande do Norte
2016,8,RN,14356,12119,2237,1084.6546553352218,26475,Rio Grande do Norte
2016,9,RN,12316,10284,2032,1102.267123893805,22600,Rio Grande do Norte
2016,10,RN,10795,11531,-736,1117.2986652333602,22326,Rio Grande do Norte
2016,11,RN,10617,11437,-820,1145.2901061032012,22054,Rio Grande do Norte
2016,12,RN,8992,12313,-3321,1154.8375029335837,21305,Rio Grande do Norte
2017,1,RN,11737,14692,-2955,1159.8616292708766,26429,Rio Grande do Norte
2017,2,RN,10872,12154,-1282,1158.7849387648746,23026,Rio Grande do Norte
2017,3,RN,11662,12231,-569,1165.2939773155315,23893,Rio Grande do Norte
2017,5,RN,11730,11932,-202,1186.5831290677036,23662,Rio Grande do Norte
2017,7,RN,11731,10768,963,1198.264633983733,22499,Rio Grande do Norte
2017,8,RN,14166,10925,3241,1178.241600573911,25091,Rio Grande do Norte
2017,9,RN,12157,10515,1642,1135.9729622441778,22672,Rio Grande do Norte
2017,10,RN,10966,10109,857,1138.5764175563463,21075,Rio Grande do Norte
2017,11,RN,10380,10517,-137,1176.8789778437097,20897,Rio Grande do Norte
2018,1,RN,11680,12319,-639,1212.1689237051544,23999,Rio Grande do Norte
2018,2,RN,9482,13052,-3570,1147.5902192242834,22534,Rio Grande do Norte
2018,3,RN,11184,11621,-437,1162.6048235036176,22805,Rio Grande do Norte
2018,4,RN,11326,11449,-123,1205.630647639956,22775,Rio Grande do Norte
2018,5,RN,11005,11304,-299,1177.126496032991,22309,Rio Grande do Norte
2018,6,RN,11750,10945,805,1187.5727252698832,22695,Rio Grande do Norte
2018,7,RN,11937,11367,570,1218.4929625815312,23304,Rio Grande do Norte
2018,8,RN,15797,11311,4486,1174.2061752988047,27108,Rio Grande do Norte
2018,9,RN,11815,10089,1726,1187.3692019722423,21904,Rio Grande do Norte
2018,10,RN,12627,10136,2491,1195.1431270043493,22763,Rio Grande do Norte
2018,11,RN,12009,10323,1686,1152.0221207236252,22332,Rio Grande do Norte
2018,12,RN,9808,12076,-2268,1194.2689636263938,21884,Rio Grande do Norte
2019,2,RN,11845,14094,-2249,1185.3990130691236,25939,Rio Grande do Norte
2019,4,RN,11328,11829,-501,1189.989592779721,23157,Rio Grande do Norte
2019,5,RN,11234,11730,-496,1221.82825291761,22964,Rio Grande do Norte
2019,6,RN,11452,10215,1237,1222.209812156736,21667,Rio Grande do Norte
2019,7,RN,13174,12386,788,1261.1762910798122,25560,Rio Grande do Norte
2019,10,RN,13352,10372,2980,1207.434581015006,23724,Rio Grande do Norte
2019,11,RN,11606,9916,1690,1236.513056407397,21522,Rio Grande do Norte
2019,12,RN,9999,13132,-3133,1244.3398037266006,23131,Rio Grande do Norte
