ano,mes,sigla_uf,admissoes,desligamentos,saldo,salario_medio,total_movimentacoes,uf_nome
2020,1,RN,10870,12223,-1353,1161.2993758378464,23093,Rio Grande do Norte
2020,2,RN,11119,13558,-2439,1128.8951619820073,24677,Rio Grande do Norte
2020,3,RN,10843,12896,-2053,1174.7706447831183,23739,Rio Grande do Norte
2020,4,RN,4488,13266,-8778,1231.3870493066256,17754,Rio Grande do Norte
2020,5,RN,6293,9634,-3341,1236.1439562764458,15927,Rio Grande do Norte
2020,6,RN,9550,7855,1695,1214.483973493528,17405,Rio Grande do Norte
2020,7,RN,10187,8829,1358,1257.669159902367,19016,Rio Grande do Norte
2020,8,RN,14546,8615,5931,1174.209412141452,23161,Rio Grande do Norte
2020,9,RN,13956,9529,4427,1204.263448573114,23485,Rio Grande do Norte
2020,10,RN,13919,9234,4685,1197.2591202831272,23153,Rio Grande do Norte
2020,11,RN,14035,9277,4758,1244.2128456320845,23312,Rio Grande do Norte
2020,12,RN,11137,12083,-946,1213.4726905744508,23220,Rio Grande do Norte
2021,1,RN,14398,12186,2212,1199.6678987736188,26584,Rio Grande do Norte
2021,2,RN,14601,12759,1842,1290.7171447850394,27360,Rio Grande do Norte
2021,3,RN,15422,13341,2081,1258.8864266018431,28763,Rio Grande do Norte
2021,4,RN,12466,12563,-97,1286.1959641522258,25029,Rio Grande do Norte
2021,5,RN,12928,10757,2171,1247.4519874730022,23685,Rio Grande do Norte
2021,6,RN,15101,10219,4882,1278.6533998230516,25320,Rio Grande do Norte
2021,7,RN,15974,11347,4627,1243.9455935433248,27321,Rio Grande do Norte
2021,8,RN,19220,11670,7550,1226.0182738391172,30890,Rio Grande do Norte
2021,9,RN,17588,11202,6386,1257.604166519855,28790,Rio Grande do Norte
2021,10,RN,16028,12143,3885,1258.096565555277,28171,Rio Grande do Norte
2021,11,RN,15108,11899,3209,1316.3577829590388,27007,Rio Grande do Norte
2021,12,RN,12710,13732,-1022,1274.7684667375456,26442,Rio Grande do Norte
2022,1,RN,14154,16584,-2430,1291.630615826212,30738,Rio Grande do Norte
