ano,mes,sigla_uf,admissoes,desligamentos,saldo,salario_medio,total_movimentacoes,uf_nome
2015,2,SE,8909,9066,-157,994.3340751043116,17975,Sergipe
2015,4,SE,8965,11004,-2039,1050.9577344884572,19969,Sergipe
2015,5,SE,8366,12412,-4046,1052.2746655115989,20778,Sergipe
2015,6,SE,8477,8626,-149,1032.915921183418,17103,Sergipe
2015,8,SE,9309,8587,722,1023.2468149307108,17896,Sergipe
2015,9,SE,10296,8621,1675,1048.7160754876566,18917,Sergipe
2015,10,SE,9672,8609,1063,1007.7146217384168,18281,Sergipe
2015,12,SE,6223,8473,-2250,1072.5930185084376,14696,Sergipe
2016,1,SE,6849,7270,-421,1129.116368014732,14119,Sergipe
2016,2,SE,6377,8366,-1989,1094.171132062674,14743,Sergipe
2016,4,SE,6624,7886,-1262,1152.5899379738112,14510,Sergipe
2016,6,SE,7000,7647,-647,1181.9040759199836,14647,Sergipe
2016,7,SE,5874,7369,-1495,1135.8769161066225,13243,Sergipe
2016,8,SE,7803,8804,-1001,1137.1852230986933,16607,Sergipe
2016,9,SE,6192,6588,-396,1152.5196400625978,12780,Sergipe
2016,10,SE,9157,7225,1932,1126.9899279697229,16382,Sergipe
2016,11,SE,7233,7117,116,1142.2657142857142,14350,Sergipe
2016,12,SE,4725,7622,-2897,1242.419778083745,12347,Sergipe
2017,1,SE,7224,7837,-613,1190.71057698692,15061,Sergipe
2017,2,SE,6455,9867,-3412,1149.38653351305,16322,Sergipe
2017,3,SE,6087,8564,-2477,1224.1114599686027,14651,Sergipe
2017,5,SE,6695,6828,-133,1199.155290985728,13523,Sergipe
2017,7,SE,6174,6483,-309,1201.1117958441969,12657,Sergipe
2017,8,SE,6763,6607,156,1240.4316379955123,13370,Sergipe
2017,9,SE,5796,6380,-584,1224.7525459921155,12176,Sergipe
2017,10,SE,11008,5517,5491,1148.4087140695915,16525,Sergipe
2017,11,SE,6700,6656,44,1153.697289607667,13356,Sergipe
2018,1,SE,6944,7732,-788,1177.90426546743,14676,Sergipe
2018,2,SE,6325,7256,-931,1175.1008762241368,13581,Sergipe
2018,3,SE,7093,9570,-2477,1178.414031086839,16663,Sergipe
2018,4,SE,6485,6219,266,1234.640664357683,12704,Sergipe
2018,5,SE,6409,6568,-159,1243.903290436927,12977,Sergipe
2018,6,SE,6244,6107,137,1216.2712330985346,12351,Sergipe
2018,7,SE,6617,6919,-302,1257.5320626477542,13536,Sergipe
2018,8,SE,6969,7562,-593,1197.1101094212374,14531,Sergipe
2018,9,SE,9613,5650,3963,1177.544912533578,15263,Sergipe
2018,10,SE,8667,6227,2440,1180.577078017994,14894,Sergipe
2018,11,SE,6430,6500,-70,1195.235344160866,12930,Sergipe
2018,12,SE,5037,6716,-1679,1236.25168042202,11753,Sergipe
2019,2,SE,7267,9429,-2162,1180.6850143747006,16696,Sergipe
2019,4,SE,6461,5812,649,1290.14568565143,12273,Sergipe
2019,5,SE,7079,6948,131,1242.0612390389963,14027,Sergipe
2019,6,SE,6217,5952,265,1204.690442928753,12169,Sergipe
2019,7,SE,6187,6630,-443,1270.9954747600843,12817,Sergipe
2019,10,SE,9096,6412,2684,1240.0620324993552,15508,Sergipe
2019,11,SE,7519,6030,1489,1231.1905675695623,13549,Sergipe
2019,12,SE,5818,6831,-1013,1273.8048857617202,12649,Sergipe
