ano,mes,sigla_uf,admissoes,desligamentos,saldo,salario_medio,total_movimentacoes,uf_nome
2020,1,SE,7225,6968,257,1169.511620745543,14193,Sergipe
2020,2,SE,6720,8849,-2129,1144.7127658733295,15569,Sergipe
2020,3,SE,5538,8164,-2626,1279.8684702974667,13702,Sergipe
2020,4,SE,2194,7307,-5113,1208.5745388104838,9501,Sergipe
2020,5,SE,2604,6226,-3622,1257.6346512868383,8830,Sergipe
2020,6,SE,3992,4797,-805,1415.8412652320455,8789,Sergipe
2020,7,SE,4496,5284,-788,1248.443744865626,9780,Sergipe
2020,8,SE,5160,4833,327,1232.6576915149433,9993,Sergipe
2020,9,SE,8842,5337,3505,1262.228843007708,14179,Sergipe
2020,10,SE,8912,5180,3732,1216.5100899108847,14092,Sergipe
2020,11,SE,7404,4688,2716,1222.7722339051836,12092,Sergipe
2020,12,SE,6461,5851,610,1202.5690689429985,12312,Sergipe
2021,1,SE,7337,6870,467,1233.9004840983864,14207,Sergipe
2021,2,SE,7530,7336,194,1226.4904972882132,14866,Sergipe
2021,3,SE,7592,9074,-1482,1229.3815980230645,16666,Sergipe
2021,4,SE,6262,6624,-362,1378.256851867681,12886,Sergipe
2021,5,SE,6582,6057,525,1422.6509862899877,12639,Sergipe
2021,6,SE,7080,5968,1112,1290.850435891109,13048,Sergipe
2021,7,SE,7204,5688,1516,1334.1814909002271,12892,Sergipe
2021,8,SE,8475,6727,1748,1254.005635214943,15202,Sergipe
2021,9,SE,13898,7510,6388,1287.0627617311195,21408,Sergipe
2021,10,SE,9122,6800,2322,1276.7889785885243,15922,Sergipe
2021,11,SE,8464,6636,1828,1256.100205193757,15100,Sergipe
2021,12,SE,7621,8209,-588,1254.8295269491744,15830,Sergipe
2022,1,SE,8298,9551,-1253,1258.109925971971,17849,Sergipe
2022,2,SE,9926,8206,1720,1356.0709101005052,18132,Sergipe
2022,3,SE,9049,11576,-2527,1302.1188970802214,20625,Sergipe
2022,4,SE,9138,7453,1685,1345.7984362934362,16591,Sergipe
2022,5,SE,9005,8150,855,1361.4913859076062,17155,Sergipe
2022,6,SE,8554,7718,836,1462.3772205828109,16272,Sergipe
2022,7,SE,9399,8579,820,1355.8251124345986,17978,Sergipe
2022,8,SE,9916,8044,1872,1374.2402111773556,17960,Sergipe
2022,9,SE,13139,7861,5278,1365.697070649326,21000,Sergipe
2022,10,SE,9012,8029,983,1394.2499605859168,17041,Sergipe
2022,11,SE,8540,7297,1243,1366.9292666750882,15837,Sergipe
2022,12,SE,7193,8483,-1290,1510.884507242628,15676,Sergipe
2023,1,SE,9621,10038,-417,1442.8337378591143,19659,Sergipe
2023,2,SE,9312,8014,1298,1392.158579581853,17326,Sergipe
2023,3,SE,10760,9371,1389,1467.2063236613822,20131,Sergipe
2023,4,SE,9427,9996,-569,1458.5654200877873,19423,Sergipe
2023,5,SE,9606,9778,-172,1457.9123719774243,19384,Sergipe
2023,6,SE,8940,8308,632,1527.435279697938,17248,Sergipe
2023,7,SE,9321,8829,492,1497.351305436537,18150,Sergipe
2023,8,SE,11235,8790,2445,1446.9148080036553,20025,Sergipe
2023,9,SE,13883,7927,5956,1458.955691432977,21810,Sergipe
2023,10,SE,10055,8452,1603,1466.353743448425,18507,Sergipe
2023,11,SE,9485,7746,1739,1476.922568626313,17231,Sergipe
2023,12,SE,7753,8497,-744,1449.859553846154,16250,Sergipe
2024,1,SE,10298,9521,777,1519.4551667591704,19819,Sergipe
2024,2,SE,11285,9706,1579,1512.450191987042,20991,Sergipe
2024,3,SE,11364,13239,-1875,1539.6665878144945,24603,Sergipe
2024,4,SE,11525,9955,1570,1585.664568435754,21480,Sergipe
2024,5,SE,10169,9446,723,1595.9395238338006,19615,Sergipe
2024,6,SE,10509,8688,1821,1598.237630879825,19197,Sergipe
2024,7,SE,10738,9474,1264,1560.449951513952,20212,Sergipe
2024,8,SE,12452,9640,2812,1594.9706567988412,22092,Sergipe
2024,9,SE,14865,9207,5658,1596.0458794449985,24072,Sergipe
2024,10,SE,11966,10877,1089,1579.804152256709,22843,Sergipe
2024,11,SE,11089,9587,1502,1578.2678438769588,20676,Sergipe
2024,12,SE,8826,10623,-1797,1550.5050701835569,19449,Sergipe
2025,1,SE,11981,12894,-913,1644.6610528643216,24875,Sergipe
2025,2,SE,14207,13338,869,1654.4016721728085,27545,Sergipe
2025,3,SE,11340,12948,-1608,1679.922931077075,24288,Sergipe
2025,4,SE,13442,10593,2849,1721.2711246099436,24035,Sergipe
2025,5,SE,13638,11699,1939,1724.608322611201,25337,Sergipe
2025,6,SE,12649,10242,2407,1688.948412476519,22891,Sergipe
2025,7,SE,12225,12104,121,1673.7396062312469,24329,Sergipe
2025,8,SE,13547,11217,2330,1705.97624697141,24764,Sergipe
2025,9,SE,16267,10305,5962,1760.5532398765615,26572,Sergipe
2025,10,SE,13925,12849,1076,1792.114520803765,26774,Sergipe
2025,11,SE,12221,10247,1974,1782.7547360690758,22468,Sergipe
2025,12,SE,9241,11722,-2481,1761.251818919048,20963,Sergipe
