cod_ibge,regiao_codigo,regiao_nome,ano,mes,admissoes,desligamentos,saldo,total_movimentacoes,salario_medio
2300101,01,Cariri,2015,1,0,4,-4,4,1091.0
2300150,07,Maciço do Baturité,2015,1,38,64,-26,102,1082.0392156862745
2300200,05,Litoral Norte,2015,1,61,60,1,121,933.1487603305784
2300309,02,Centro Sul,2015,1,44,23,21,67,1100.9701492537313
2300408,13,Sertão dos Inhamuns,2015,1,2,0,2,2,906.0
2300507,11,Sertão de Sobral,2015,1,2,1,1,3,939.6666666666666
2300606,01,Cariri,2015,1,3,1,2,4,806.0
2300705,14,Vale do Jaguaribe,2015,1,15,60,-45,75,801.8533333333334
2300754,06,Litoral Oeste / Vale do Curu,2015,1,13,27,-14,40,1060.35
2300804,01,Cariri,2015,1,0,2,-2,2,810.5
2300903,06,Litoral Oeste / Vale do Curu,2015,1,5,11,-6,16,830.875
2301000,03,Grande Fortaleza,2015,1,466,537,-71,1003,1136.9351944167497
2301109,04,Litoral Leste,2015,1,385,410,-25,795,1030.245283018868
2301208,07,Maciço do Baturité,2015,1,20,19,1,39,868.1538461538462
2301257,12,Sertão dos Crateús,2015,1,0,4,-4,4,799.0
2301307,01,Cariri,2015,1,3,3,0,6,777.3333333333334
2301406,07,Maciço do Baturité,2015,1,1,1,0,2,1194.0
2301604,01,Cariri,2015,1,11,12,-1,23,829.2173913043479
2301703,01,Cariri,2015,1,7,7,0,14,788.2857142857143
2301851,09,Sertão Central,2015,1,13,4,9,17,1022.0
2301901,01,Cariri,2015,1,284,270,14,554,991.4548736462094
2301950,07,Maciço do Baturité,2015,1,4,12,-8,16,1300.8125
2302008,01,Cariri,2015,1,14,12,2,26,1046.1923076923076
2302057,05,Litoral Norte,2015,1,12,27,-15,39,1282.7435897435898
2302107,07,Maciço do Baturité,2015,1,58,62,-4,120,806.3583333333333
2302206,04,Litoral Leste,2015,1,72,100,-28,172,908.6279069767442
2302305,05,Litoral Norte,2015,1,15,12,3,27,886.7037037037037
2302404,10,Sertão de Canindé,2015,1,27,22,5,49,976.469387755102
2302503,01,Cariri,2015,1,167,305,-138,472,1358.834745762712
2302602,05,Litoral Norte,2015,1,153,108,45,261,887.1992337164751
2302701,01,Cariri,2015,1,23,20,3,43,787.8372093023256
2302800,10,Sertão de Canindé,2015,1,128,112,16,240,833.3083333333333
2302909,07,Maciço do Baturité,2015,1,3,7,-4,10,867.7
2303006,10,Sertão de Canindé,2015,1,25,16,9,41,888.0
2303105,11,Sertão de Sobral,2015,1,11,1,10,12,823.3333333333334
2303204,01,Cariri,2015,1,9,9,0,18,959.8333333333334
2303303,02,Centro Sul,2015,1,8,4,4,12,854.4166666666666
2303402,08,Serra da Ibiapaba,2015,1,4,4,0,8,873.5
2303501,03,Grande Fortaleza,2015,1,171,130,41,301,906.1461794019932
2303659,12,Sertão dos Crateús,2015,1,4,2,2,6,1865.8333333333333
2303709,03,Grande Fortaleza,2015,1,1735,1681,54,3416,1230.0895784543325
2303808,02,Centro Sul,2015,1,19,5,14,24,938.25
2303907,05,Litoral Norte,2015,1,3,2,1,5,1032.0
2303931,09,Sertão Central,2015,1,1,0,1,1,1084.0
2303956,03,Grande Fortaleza,2015,1,31,51,-20,82,911.8414634146342
2304004,11,Sertão de Sobral,2015,1,2,0,2,2,925.5
2304103,12,Sertão dos Crateús,2015,1,111,98,13,209,896.6746411483253
2304202,01,Cariri,2015,1,351,474,-123,825,929.619393939394
2304236,08,Serra da Ibiapaba,2015,1,14,2,12,16,971.8125
2304251,05,Litoral Norte,2015,1,9,16,-7,25,824.16
2304269,09,Sertão Central,2015,1,2,0,2,2,788.0
2304285,03,Grande Fortaleza,2015,1,1491,1524,-33,3015,1211.3412935323383
2304301,01,Cariri,2015,1,3,12,-9,15,917.9333333333332
2304350,11,Sertão de Sobral,2015,1,26,37,-11,63,840.3809523809524
2304400,03,Grande Fortaleza,2015,1,24533,29560,-5027,54093,1084.048564509271
2304459,04,Litoral Leste,2015,1,16,9,7,25,867.48
2304509,11,Sertão de Sobral,2015,1,52,41,11,93,817.258064516129
2304608,06,Litoral Oeste / Vale do Curu,2015,1,1,13,-12,14,941.5714285714286
2304657,11,Sertão de Sobral,2015,1,3,0,3,3,394.0
2304707,05,Litoral Norte,2015,1,23,12,11,35,934.0285714285716
2304905,11,Sertão de Sobral,2015,1,7,4,3,11,826.8181818181819
2304954,03,Grande Fortaleza,2015,1,16,30,-14,46,904.608695652174
2305001,08,Serra da Ibiapaba,2015,1,16,27,-11,43,922.4418604651164
2305100,07,Maciço do Baturité,2015,1,7,7,0,14,895.7142857142857
2305209,12,Sertão dos Crateús,2015,1,2,5,-3,7,1341.428571428571
2305233,03,Grande Fortaleza,2015,1,512,274,238,786,934.9478371501272
2305266,09,Sertão Central,2015,1,8,5,3,13,830.3846153846154
2305308,08,Serra da Ibiapaba,2015,1,5,2,3,7,931.5714285714286
2305332,09,Sertão Central,2015,1,0,4,-4,4,1494.75
2305357,04,Litoral Leste,2015,1,70,169,-99,239,848.2301255230126
2305407,02,Centro Sul,2015,1,37,66,-29,103,867.4563106796116
2305506,02,Centro Sul,2015,1,327,400,-73,727,942.2751031636864
2305605,12,Sertão dos Crateús,2015,1,5,20,-15,25,1160.32
2305654,12,Sertão dos Crateús,2015,1,1,1,0,2,788.0
2305704,02,Centro Sul,2015,1,1,2,-1,3,801.0
2305803,08,Serra da Ibiapaba,2015,1,27,15,12,42,835.5714285714286
2305902,12,Sertão dos Crateús,2015,1,7,1,6,8,947.0
2306009,14,Vale do Jaguaribe,2015,1,7,9,-2,16,910.5
2306108,06,Litoral Oeste / Vale do Curu,2015,1,10,15,-5,25,880.56
2306207,04,Litoral Leste,2015,1,7,2,5,9,864.5555555555555
2306256,03,Grande Fortaleza,2015,1,183,148,35,331,1070.416918429003
2306306,06,Litoral Oeste / Vale do Curu,2015,1,79,66,13,145,830.3103448275862
2306405,06,Litoral Oeste / Vale do Curu,2015,1,215,162,53,377,877.0053050397878
2306504,07,Maciço do Baturité,2015,1,0,3,-3,3,852.6666666666666
2306553,05,Litoral Norte,2015,1,9,9,0,18,1314.0555555555557
2306603,10,Sertão de Canindé,2015,1,2,0,2,2,827.0
2306702,14,Vale do Jaguaribe,2015,1,22,8,14,30,1082.9333333333334
2306801,14,Vale do Jaguaribe,2015,1,8,4,4,12,806.6666666666666
2306900,14,Vale do Jaguaribe,2015,1,28,34,-6,62,908.5967741935484
2307007,04,Litoral Leste,2015,1,113,74,39,187,1268.6844919786097
2307106,01,Cariri,2015,1,6,11,-5,17,872.2941176470588
2307205,01,Cariri,2015,1,1,1,0,2,788.0
2307254,05,Litoral Norte,2015,1,89,78,11,167,905.1077844311376
2307304,01,Cariri,2015,1,1447,1594,-147,3041,917.36665570536
2307403,02,Centro Sul,2015,1,49,36,13,85,1432.5411764705882
2307502,01,Cariri,2015,1,7,9,-2,16,932.5625
2307601,14,Vale do Jaguaribe,2015,1,144,196,-52,340,950.9382352941176
2307635,10,Sertão de Canindé,2015,1,1,1,0,2,906.0
2307650,03,Grande Fortaleza,2015,1,1799,2490,-691,4289,1062.906738167405
2307700,03,Grande Fortaleza,2015,1,252,384,-132,636,956.3034591194968
2307809,05,Litoral Norte,2015,1,73,39,34,112,943.1339285714286
2307908,05,Litoral Norte,2015,1,1,2,-1,3,1727.0
2308005,11,Sertão de Sobral,2015,1,26,12,14,38,952.421052631579
