cod_ibge,ano,mes,bnb_operacoes_credito_total,bnb_emprestimos_titulos_descontados,bnb_financiamentos,bnb_financiamentos_rurais_agricultura,bnb_financiamentos_agroindustriais,bnb_financiamentos_imobiliarios,credito_bnb_total
2300200,2015,1,6123632.0,3837513.0,2197592.0,0.0,0.0,0.0,6123632.0
2300309,2015,1,7429542.0,6376221.0,796849.0,0.0,0.0,0.0,7429542.0
2301000,2015,1,271704.0,185661.0,84526.0,0.0,0.0,0.0,271704.0
2301109,2015,1,38260072.0,24636174.0,3054097.0,1461306.0,609.0,0.0,38260072.0
2301901,2015,1,24329867.0,21035155.0,3134404.0,0.0,0.0,0.0,24329867.0
2302107,2015,1,23311258.0,17476148.0,1386441.0,2868962.0,195459.0,0.0,23311258.0
2302404,2015,1,15262077.0,11172152.0,1775863.0,148381.0,0.0,0.0,15262077.0
2302503,2015,1,26918843.0,21373674.0,2486181.0,1290921.0,0.0,0.0,26918843.0
2302701,2015,1,14893586.0,11376418.0,913976.0,26585.0,0.0,0.0,14893586.0
2302800,2015,1,24698633.0,20616551.0,1783854.0,35841.0,0.0,0.0,24698633.0
2303501,2015,1,14683706.0,13142083.0,1496784.0,0.0,0.0,0.0,14683706.0
2303709,2015,1,1388251.0,758585.0,602973.0,0.0,0.0,0.0,1388251.0
2304103,2015,1,33076127.0,25789336.0,2682521.0,58887.0,0.0,0.0,33076127.0
2304202,2015,1,29446839.0,20566672.0,4075536.0,390683.0,0.0,0.0,29446839.0
2304285,2015,1,456874.0,295289.0,133586.0,0.0,0.0,0.0,456874.0
2304400,2015,1,4193534604.0,619257847.0,822940994.0,13558020.0,265043.0,580937253.0,4193534604.0
2304707,2015,1,29558029.0,25578297.0,3652219.0,213584.0,0.0,0.0,29558029.0
2305233,2015,1,1946709.0,779057.0,1087958.0,0.0,0.0,0.0,1946709.0
2305506,2015,1,47582840.0,35672496.0,4848935.0,737332.0,0.0,0.0,47582840.0
2306306,2015,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2306405,2015,1,65179553.0,53199722.0,7424946.0,1084086.0,0.0,0.0,65179553.0
2306900,2015,1,20437763.0,14970506.0,2297082.0,798874.0,0.0,0.0,20437763.0
2307304,2015,1,73073437.0,56460324.0,12692753.0,133138.0,0.0,0.0,73073437.0
2307502,2015,1,19758791.0,8003022.0,526460.0,2178412.0,0.0,0.0,19758791.0
2307601,2015,1,33383937.0,22497933.0,6345772.0,2800015.0,506251.0,0.0,33383937.0
2307650,2015,1,106714047.0,75667248.0,30651919.0,143494.0,0.0,0.0,106714047.0
2307700,2015,1,2370717.0,952783.0,1346577.0,0.0,0.0,0.0,2370717.0
2308500,2015,1,13238626.0,10678881.0,988860.0,2585.0,0.0,0.0,13238626.0
2309300,2015,1,28652588.0,22831167.0,2723494.0,370288.0,0.0,0.0,28652588.0
2309607,2015,1,5991625.0,3270785.0,2717553.0,0.0,0.0,0.0,5991625.0
2311306,2015,1,24459681.0,16696072.0,2716907.0,1252967.0,487824.0,0.0,24459681.0
2311405,2015,1,9561784.0,6655239.0,734391.0,47813.0,0.0,0.0,9561784.0
2311801,2015,1,154632.0,93701.0,50487.0,0.0,0.0,0.0,154632.0
2312205,2015,1,1366883.0,838370.0,400754.0,0.0,0.0,0.0,1366883.0
2312304,2015,1,21445841.0,17521319.0,1782627.0,1995091.0,0.0,0.0,21445841.0
2312908,2015,1,74643860.0,56538318.0,11510790.0,226206.0,0.0,0.0,74643860.0
2313302,2015,1,17037867.0,14170784.0,1541955.0,1704.0,40647.0,0.0,17037867.0
