cod_ibge,regiao_codigo,regiao_nome,ano,mes,credito_operacoes
2300200,05,Litoral Norte,2015,1,6123632.0
2300309,02,Centro Sul,2015,1,7429542.0
2301000,03,Grande Fortaleza,2015,1,271704.0
2301109,04,Litoral Leste,2015,1,38260072.0
2301901,01,Cariri,2015,1,24329867.0
2302107,07,Maciço do Baturité,2015,1,23311258.0
2302404,10,Sertão de Canindé,2015,1,15262077.0
2302503,01,Cariri,2015,1,26918843.0
2302701,01,Cariri,2015,1,14893586.0
2302800,10,Sertão de Canindé,2015,1,24698633.0
2303501,03,Grande Fortaleza,2015,1,14683706.0
2303709,03,Grande Fortaleza,2015,1,1388251.0
2304103,12,Sertão dos Crateús,2015,1,33076127.0
2304202,01,Cariri,2015,1,29446839.0
2304285,03,Grande Fortaleza,2015,1,456874.0
2304400,03,Grande Fortaleza,2015,1,4193534604.0
2304707,05,Litoral Norte,2015,1,29558029.0
2305233,03,Grande Fortaleza,2015,1,1946709.0
2305506,02,Centro Sul,2015,1,47582840.0
2306306,06,Litoral Oeste / Vale do Curu,2015,1,0.0
2306405,06,Litoral Oeste / Vale do Curu,2015,1,65179553.0
2306900,14,Vale do Jaguaribe,2015,1,20437763.0
2307304,01,Cariri,2015,1,73073437.0
2307502,01,Cariri,2015,1,19758791.0
2307601,14,Vale do Jaguaribe,2015,1,33383937.0
2307650,03,Grande Fortaleza,2015,1,106714047.0
2307700,03,Grande Fortaleza,2015,1,2370717.0
2308500,09,Sertão Central,2015,1,13238626.0
2309300,12,Sertão dos Crateús,2015,1,28652588.0
2309607,03,Grande Fortaleza,2015,1,5991625.0
2311306,09,Sertão Central,2015,1,24459681.0
2311405,09,Sertão Central,2015,1,9561784.0
2311801,14,Vale do Jaguaribe,2015,1,154632.0
2312205,12,Sertão dos Crateús,2015,1,1366883.0
2312304,08,Serra da Ibiapaba,2015,1,21445841.0
2312908,11,Sertão de Sobral,2015,1,74643860.0
2313302,13,Sertão dos Inhamuns,2015,1,17037867.0
2313401,08,Serra da Ibiapaba,2015,1,25328418.0
2314102,08,Serra da Ibiapaba,2015,1,937034.0
2300200,05,Litoral Norte,2015,2,8076212.0
2300309,02,Centro Sul,2015,2,7490891.0
2301000,03,Grande Fortaleza,2015,2,386720.0
2301109,04,Litoral Leste,2015,2,38587135.0
2301901,01,Cariri,2015,2,24242615.0
2302107,07,Maciço do Baturité,2015,2,22539846.0
2302404,10,Sertão de Canindé,2015,2,15641941.0
2302503,01,Cariri,2015,2,26510376.0
2302701,01,Cariri,2015,2,14831679.0
2302800,10,Sertão de Canindé,2015,2,25320724.0
