ano,regiao,empenhado,pago,dotacao,n_acoes
2026,Cariri,10189413.11,9210242.97,380168035.0,204
2026,Centro Sul,1882383.48,1532383.48,61848890.56,152
2026,Estado do Ceará,40822.240000000005,0.0,1081675573.88,376
2026,Grande Fortaleza,9115517.61,6201165.92,2446010581.31,789
2026,Litoral Leste,2828675.0,2772675.0,138184724.0,89
2026,Litoral Norte,4821213.3,3003713.3,86177557.6,127
2026,Litoral Oeste / Vale do Curu,6677790.99,6677790.99,74542279.91,128
2026,Maciço do Baturité,1319720.95,1077542.23,175758684.73,106
2026,Serra da Ibiapaba,4470090.93,4470090.93,31081808.0,94
2026,Sertão Central,5338509.890000001,4660509.890000001,189270796.09,145
2026,Sertão de Canindé,1898837.0,1898837.0,43596545.61,87
2026,Sertão de Sobral,4100269.08,3450269.08,56016564.02,168
2026,Sertão dos Crateús,16184361.450000001,16134361.450000001,97822166.09,161
2026,Sertão dos Inhamuns,905120.4199999999,905120.4199999999,34660812.0,92
2026,Vale do Jaguaribe,4355369.59,4075369.59,404752541.02,147
