Código,Descrição,Lei,Lei + Cred.,Empenhado,Pago,% Emp.,% Pago,ano,mes
01000000,ASSEMBLÉIA LEGISLATIVA,2333422.0,24586824.0,19833681.13,18219704.95,80.67,74.1,2015,12
30000000,CASA CIVIL,1716300.0,1373000.0,673038.1,422434.08,49.02,30.77,2015,12
14000000,CASA MILITAR,301000.0,32500.0,31500.0,31500.0,96.92,96.92,2015,12
49000000,CONSELHO DE POLÍTICAS E GESTÃO DO MEIO AMBIENTE,24372735.0,0.0,0.0,0.0,0.0,0.0,2015,12
48000000,CONSELHO ESTADUAL DE DESENVOLVIMENTO ECONÔMICO,10620400.0,402503.45,402503.45,402503.45,100.0,100.0,2015,12
17000000,CONSELHO ESTADUAL DE EDUCAÇÃO,423480.0,541736.4,316591.73,2720.0,58.44,0.5,2015,12
41000000,CONTROLADORIA E OUVIDORIA GERAL DO ESTADO,2305820.0,2873538.76,641118.77,635448.77,22.31,22.11,2015,12
53000000,CONTROLADORIA GERAL DE DISCIPLINA DOS ORGÃOS DE SEGURANÇA PÚBLICA E SISTEMA PENITENCIÁRIO,332000.0,429000.0,158007.76,155024.0,36.83,36.14,2015,12
06000000,DEFENSORIA PÚBLICA GERAL DO ESTADO,12052038.0,12636750.0,2398852.6,1825191.82,18.98,14.44,2015,12
40000000,ENCARGOS GERAIS DO ESTADO,52736310.0,958859.52,0.0,0.0,0.0,0.0,2015,12
11000000,GABINETE DO GOVERNADOR,1179865.0,584865.0,180336.01,168318.91,30.83,28.78,2015,12
12000000,GABINETE DO VICE-GOVERNADOR,85002.0,252636.0,246280.69,196799.69,97.48,77.9,2015,12
15000000,PROCURADORIA GERAL DA JUSTIÇA,16734924.0,10621944.07,6824412.11,4869978.15,64.25,45.85,2015,12
13000000,PROCURADORIA GERAL DO ESTADO,3169740.0,3981840.0,1777091.29,1253573.51,44.63,31.48,2015,12
51000000,"SECRETARIA DA AGRICULTURA, PESCA E AQUICULTURA",15644951.0,11521177.0,1218161.05,1110320.33,10.57,9.64,2015,12
31000000,"SECRETARIA DA CIÊNCIA, TECNOLOGIA E EDUCAÇÃO SUPERIOR",245189324.0,252270385.7,29893934.69,26726884.58,11.85,10.59,2015,12
27000000,SECRETARIA DA CULTURA,6300000.0,13882170.0,7824005.52,7531176.66,56.36,54.25,2015,12
22000000,SECRETARIA DA EDUCAÇÃO,241846750.0,185188719.35,58594934.65,52188100.36,31.64,28.18,2015,12
19000000,SECRETARIA DA FAZENDA,81998496.0,79626496.0,27309553.37,21418948.78,34.3,26.9,2015,12
08000000,SECRETARIA DA INFRAESTRUTURA,2710761548.0,2381225666.31,1190710034.98,1180213045.57,50.0,49.56,2015,12
18000000,SECRETARIA DA JUSTIÇA E CIDADANIA,69751548.0,66706453.4,29292963.21,23437708.16,43.91,35.14,2015,12
24000000,SECRETARIA DA SAÚDE,195757098.0,84611780.11,32322965.85,24837690.4,38.2,29.35,2015,12
10000000,SECRETARIA DA SEGURANÇA PÚBLICA E DEFESA SOCIAL,52171165.0,94962110.42,78929204.21,48771196.8,83.12,51.36,2015,12
43000000,SECRETARIA DAS CIDADES,391278760.0,659000724.28,281407404.49,235991020.87,42.7,35.81,2015,12
54000000,SECRETARIA DE RELAÇÕES INSTITUCIONAIS,0.0,20000.0,0.0,0.0,0.0,0.0,2015,12
21000000,SECRETARIA DO DESENVOLVIMENTO AGRÁRIO,115327516.0,283900227.55,223808021.5,166623804.86,78.83,58.69,2015,12
56000000,SECRETARIA DO DESENVOLVIMENTO ECONÔMICO,0.0,12058539.33,3055131.86,2930797.66,25.34,24.3,2015,12
42000000,SECRETARIA DO ESPORTE,14543458.0,78631447.51,54137855.22,54137855.22,68.85,68.85,2015,12
57000000,SECRETARIA DO MEIO AMBIENTE,0.0,21679305.0,1677525.26,867475.58,7.74,4.0,2015,12
46000000,SECRETARIA DO PLANEJAMENTO E GESTÃO,31872670.0,27716392.94,3794023.99,1257492.39,13.69,4.54,2015,12
47000000,SECRETARIA DO TRABALHO E DESENVOLVIMENTO SOCIAL,25696411.0,38955059.94,22773056.51,16609635.53,58.46,42.64,2015,12
36000000,SECRETARIA DO TURISMO,244473406.0,235087198.65,63975837.85,57011357.38,27.21,24.25,2015,12
29000000,SECRETARIA DOS RECURSOS HÍDRICOS,726623781.0,758597772.71,256929162.43,254486148.33,33.87,33.55,2015,12
52000000,SECRETARIA ESPECIAL DE GRANDES EVENTOS ESPORTIVOS,3994626.0,0.0,0.0,0.0,0.0,0.0,2015,12
55000000,SECRETARIA ESPECIAL DE POLÍTICAS SOBRE DROGAS,0.0,165013.0,122036.31,61792.31,73.96,37.45,2015,12
02000000,TRIBUNAL DE CONTAS DO ESTADO,6295665.0,6295665.0,3341315.86,1550918.15,53.07,24.63,2015,12
03000000,TRIBUNAL DE CONTAS DOS MUNICÍPIOS,760292.0,1639243.02,1493659.99,416376.78,91.12,25.4,2015,12
04000000,TRIBUNAL DE JUSTIÇA,17158991.0,9606107.67,5392737.66,4478827.11,56.14,46.62,2015,12
01000000,ASSEMBLEIA LEGISLATIVA,3308240.0,18917740.0,18303329.46,3287147.47,96.75,17.38,2016,12
30000000,CASA CIVIL,311100.0,1127141.25,929520.42,924092.42,82.47,81.99,2016,12
14000000,CASA MILITAR,31000.0,113493.8,95409.0,95409.0,84.07,84.07,2016,12
17000000,CONSELHO ESTADUAL DE EDUCAÇÃO,18180.0,177400.4,112953.95,112953.95,63.67,63.67,2016,12
41000000,CONTROLADORIA E OUVIDORIA GERAL DO ESTADO,2626016.0,12320310.54,4771916.58,1291171.1,38.73,10.48,2016,12
53000000,CONTROLADORIA GERAL DE DISCIPLINA DOS ORGÃOS DE SEGURANÇA PÚBLICA E SISTEMA PENITENCIÁRIO,68100.0,193960.0,191257.0,191257.0,98.61,98.61,2016,12
06000000,DEFENSORIA PÚBLICA GERAL DO ESTADO,11831399.0,10285536.42,1507021.7,1095626.65,14.65,10.65,2016,12
40000000,ENCARGOS GERAIS DO ESTADO,46000000.0,6720.61,0.0,0.0,0.0,0.0,2016,12
11000000,GABINETE DO GOVERNADOR,493449.0,182254.83,130364.83,24650.0,71.53,13.53,2016,12
12000000,GABINETE DO VICE-GOVERNADOR,15000.0,446852.68,12025.46,11019.02,2.69,2.47,2016,12
15000000,PROCURADORIA GERAL DA JUSTIÇA,12578387.0,10804346.12,3735249.67,2136988.3,34.57,19.78,2016,12
13000000,PROCURADORIA GERAL DO ESTADO,4211268.0,13113866.58,8568830.05,3900066.39,65.34,29.74,2016,12
51000000,"SECRETARIA DA AGRICULTURA, PESCA E AQUICULTURA",1615022.0,1500476.89,479979.0,394279.0,31.99,26.28,2016,12
31000000,"SECRETARIA DA CIÊNCIA, TECNOLOGIA E EDUCAÇÃO SUPERIOR",252669561.0,251745731.25,23955218.2,19065934.06,9.52,7.57,2016,12
27000000,SECRETARIA DA CULTURA,29463441.0,20112235.0,8767130.16,8718330.98,43.59,43.35,2016,12
22000000,SECRETARIA DA EDUCAÇÃO,196617547.0,244140607.68,108204282.36,102415055.1,44.32,41.95,2016,12
19000000,SECRETARIA DA FAZENDA,52456000.0,55845704.97,28940316.46,27761299.04,51.82,49.71,2016,12
08000000,SECRETARIA DA INFRAESTRUTURA,1700593816.0,1863073788.01,784571990.98,780087008.67,42.11,41.87,2016,12
18000000,SECRETARIA DA JUSTIÇA E CIDADANIA,30997009.0,71637366.74,40118943.63,38076091.7,56.0,53.15,2016,12
24000000,SECRETARIA DA SAÚDE,126924622.0,142820759.59,53960829.86,46179770.28,37.78,32.33,2016,12
10000000,SECRETARIA DA SEGURANÇA PÚBLICA E DEFESA SOCIAL,44941760.0,74393634.53,53887874.51,52556657.81,72.44,70.65,2016,12
43000000,SECRETARIA DAS CIDADES,910207933.0,911602443.14,386027307.65,357220180.67,42.35,39.19,2016,12
54000000,SECRETARIA DE RELAÇÕES INSTITUCIONAIS,45000.0,45000.0,0.0,0.0,0.0,0.0,2016,12
21000000,SECRETARIA DO DESENVOLVIMENTO AGRÁRIO,178662413.0,210703866.71,122219275.0,92220862.39,58.01,43.77,2016,12
56000000,SECRETARIA DO DESENVOLVIMENTO ECONÔMICO,9270000.0,6711417.57,292682.49,287795.69,4.36,4.29,2016,12
42000000,SECRETARIA DO ESPORTE,10811204.0,32220748.01,22031121.42,21933431.71,68.38,68.07,2016,12
57000000,SECRETARIA DO MEIO AMBIENTE,16630615.0,22263950.74,5266957.42,4327261.06,23.66,19.44,2016,12
46000000,SECRETARIA DO PLANEJAMENTO E GESTÃO,26576387.0,26507498.05,7248844.3,5439669.06,27.35,20.52,2016,12
47000000,SECRETARIA DO TRABALHO E DESENVOLVIMENTO SOCIAL,49895806.0,61651408.54,26925039.6,24315983.8,43.67,39.44,2016,12
36000000,SECRETARIA DO TURISMO,453769774.0,471993944.84,96228880.57,90796786.14,20.39,19.24,2016,12
29000000,SECRETARIA DOS RECURSOS HÍDRICOS,783815595.0,696657267.58,351561685.67,274676022.66,50.46,39.43,2016,12
55000000,SECRETARIA ESPECIAL DE POLÍTICAS SOBRE DROGAS,526788.0,1278559.56,97252.76,86122.76,7.61,6.74,2016,12
02000000,TRIBUNAL DE CONTAS DO ESTADO,4499373.0,6905316.85,4288917.74,1229724.3,62.11,17.81,2016,12
03000000,TRIBUNAL DE CONTAS DOS MUNICÍPIOS,100000.0,420837.97,417089.84,190359.84,99.11,45.23,2016,12
04000000,TRIBUNAL DE JUSTIÇA,31994002.0,10807782.92,8716361.41,5254530.46,80.65,48.62,2016,12
01000000,ASSEMBLEIA LEGISLATIVA,6568240.0,5559079.69,3505098.2,2016096.41,63.05,36.27,2017,12
30000000,CASA CIVIL,1655000.0,943776.48,268226.24,28967.3,28.42,3.07,2017,12
14000000,CASA MILITAR,16232.0,0.0,0.0,0.0,0.0,0.0,2017,12
17000000,CONSELHO ESTADUAL DE EDUCAÇÃO,96363.0,517648.68,340130.13,278812.13,65.71,53.86,2017,12
41000000,CONTROLADORIA E OUVIDORIA GERAL DO ESTADO,8146327.0,9765548.59,5264544.57,2673389.96,53.91,27.38,2017,12
53000000,CONTROLADORIA GERAL DE DISCIPLINA DOS ORGÃOS DE SEGURANÇA PÚBLICA E SISTEMA PENITENCIÁRIO,466392.0,939644.55,766996.77,203892.04,81.63,21.7,2017,12
06000000,DEFENSORIA PÚBLICA GERAL DO ESTADO,12237718.0,12240718.0,3726585.97,3074532.53,30.44,25.12,2017,12
40000000,ENCARGOS GERAIS DO ESTADO,46000000.0,0.0,0.0,0.0,0.0,0.0,2017,12
11000000,GABINETE DO GOVERNADOR,849633.0,2485310.52,2067019.33,1492659.33,83.17,60.06,2017,12
12000000,GABINETE DO VICE-GOVERNADOR,704696.0,4835771.7,4787806.26,3106832.82,99.01,64.25,2017,12
15000000,PROCURADORIA GERAL DA JUSTIÇA,25300000.0,28831706.52,9732773.03,3788015.93,33.76,13.14,2017,12
