ano,bimestre,regiao_codigo,regiao_nome,elemento,empenhado_acum,pago_acum,empenhado_fluxo,pago_fluxo
2015,6,A1,REGIÃO METROPOLITANA DE FORTALEZA,equip,257553669.6,240358904.85,56099152.16,54300789.64
2015,6,A2,LITORAL OESTE,equip,2610485.84,1495879.74,455348.62,1031684.46
2015,6,A22,ESTADO DO CEARÁ (não regionalizado),equip,11836827.9,5520247.66,5990842.7,1842584.08
2015,6,A3,SOBRAL / IBIAPABA,equip,6294801.04,4330098.35,840374.77,1305718.51
2015,6,A4,SERTÃO DE INHAMUNS,equip,8486376.21,7433327.64,472629.73,6662815.74
2015,6,A5,SERTÃO CENTRAL,equip,30173497.81,12294176.2,2353477.22,11204555.38
2015,6,A6,BATURITÉ,equip,2300867.22,967435.17,384994.34,521451.45
2015,6,A7,LITORAL LESTE / JAGUARIBE,equip,1714931.16,1323429.19,110588.27,539799.43
2015,6,A8,CARIRI / CENTRO SUL,equip,8751245.44,6309044.34,1112384.87,1454679.16
2015,6,A1,REGIÃO METROPOLITANA DE FORTALEZA,obras,468767238.31,452178869.49,124354248.13,114853068.74
2015,6,A2,LITORAL OESTE,obras,111895794.94,105952257.13,24318747.82,28231508.09
2015,6,A22,ESTADO DO CEARÁ (não regionalizado),obras,5835756.78,3299115.46,1117971.89,970246.1
2015,6,A3,SOBRAL / IBIAPABA,obras,178542132.25,172644438.01,26780593.11,34609028.15
2015,6,A4,SERTÃO DE INHAMUNS,obras,37968510.96,32599819.35,7832604.3,9013339.3
2015,6,A5,SERTÃO CENTRAL,obras,104168953.89,92317723.39,21776869.29,25381866.96
2015,6,A6,BATURITÉ,obras,13050784.37,10529377.04,5037922.99,3255960.23
2015,6,A7,LITORAL LESTE / JAGUARIBE,obras,222047642.87,217027529.38,69108535.05,75205971.26
2015,6,A8,CARIRI / CENTRO SUL,obras,324049450.44,309733147.4,93116672.61,100466195.25
2016,6,01,Cariri,equip,7667621.22,5881860.79,2524727.17,3883925.34
2016,6,02,Centro Sul,equip,2990984.47,2276447.96,610210.05,1137336.81
2016,6,03,Grande Fortaleza,equip,137739065.49,116831523.53,48132052.51,49681071.99
