ano,bimestre,regiao_codigo,regiao_nome,elemento,empenhado_acum,pago_acum,empenhado_fluxo,pago_fluxo
2015,1,A1,REGIÃO METROPOLITANA DE FORTALEZA,equip,8425961.38,0.0,8425961.38,0.0
2015,2,A1,REGIÃO METROPOLITANA DE FORTALEZA,equip,45644255.18,29388273.61,37218293.8,29388273.61
2015,3,A1,REGIÃO METROPOLITANA DE FORTALEZA,equip,105491562.67,81275775.27,59847307.49,51887501.66
2015,4,A1,REGIÃO METROPOLITANA DE FORTALEZA,equip,142317001.75,125256390.66,36825439.08,43980615.39
2015,5,A1,REGIÃO METROPOLITANA DE FORTALEZA,equip,201454517.44,186058115.21,59137515.69,60801724.55
2015,6,A1,REGIÃO METROPOLITANA DE FORTALEZA,equip,257553669.6,240358904.85,56099152.16,54300789.64
2015,1,A2,LITORAL OESTE,equip,0.0,0.0,0.0,0.0
2015,2,A2,LITORAL OESTE,equip,185655.52,23233.0,185655.52,23233.0
2015,3,A2,LITORAL OESTE,equip,1341483.24,146446.44,1155827.72,123213.44
2015,4,A2,LITORAL OESTE,equip,1731288.2,232503.22,389804.96,86056.78
2015,5,A2,LITORAL OESTE,equip,2155137.22,464195.28,423849.02,231692.06
2015,6,A2,LITORAL OESTE,equip,2610485.84,1495879.74,455348.62,1031684.46
2015,1,A22,ESTADO DO CEARÁ (não regionalizado),equip,280603.68,26850.0,280603.68,26850.0
2015,2,A22,ESTADO DO CEARÁ (não regionalizado),equip,1388019.36,505867.76,1107415.68,479017.76
2015,3,A22,ESTADO DO CEARÁ (não regionalizado),equip,3721310.93,1483207.56,2333291.57,977339.8
2015,4,A22,ESTADO DO CEARÁ (não regionalizado),equip,4249426.99,3160876.5,528116.06,1677668.94
2015,5,A22,ESTADO DO CEARÁ (não regionalizado),equip,5845985.2,3677663.58,1596558.21,516787.08
2015,6,A22,ESTADO DO CEARÁ (não regionalizado),equip,11836827.9,5520247.66,5990842.7,1842584.08
2015,1,A3,SOBRAL / IBIAPABA,equip,33000.0,0.0,33000.0,0.0
2015,2,A3,SOBRAL / IBIAPABA,equip,1549006.65,225422.79,1516006.65,225422.79
2015,3,A3,SOBRAL / IBIAPABA,equip,3978929.3,680198.76,2429922.65,454775.97
2015,4,A3,SOBRAL / IBIAPABA,equip,5229992.94,1650371.49,1251063.64,970172.73
2015,5,A3,SOBRAL / IBIAPABA,equip,5454426.27,3024379.84,224433.33,1374008.35
2015,6,A3,SOBRAL / IBIAPABA,equip,6294801.04,4330098.35,840374.77,1305718.51
2015,1,A4,SERTÃO DE INHAMUNS,equip,0.0,0.0,0.0,0.0
2015,2,A4,SERTÃO DE INHAMUNS,equip,570421.01,100400.0,570421.01,100400.0
2015,3,A4,SERTÃO DE INHAMUNS,equip,2163164.69,512797.7,1592743.68,412397.7
2015,4,A4,SERTÃO DE INHAMUNS,equip,2269523.25,641740.05,106358.56,128942.35
2015,5,A4,SERTÃO DE INHAMUNS,equip,8013746.48,770511.9,5744223.23,128771.85
2015,6,A4,SERTÃO DE INHAMUNS,equip,8486376.21,7433327.64,472629.73,6662815.74
2015,1,A5,SERTÃO CENTRAL,equip,6106.0,0.0,6106.0,0.0
2015,2,A5,SERTÃO CENTRAL,equip,662239.62,36071.8,656133.62,36071.8
2015,3,A5,SERTÃO CENTRAL,equip,2140156.69,392832.74,1477917.07,356760.94
2015,4,A5,SERTÃO CENTRAL,equip,2286033.28,764649.22,145876.59,371816.48
2015,5,A5,SERTÃO CENTRAL,equip,27820020.59,1089620.82,25533987.31,324971.6
2015,6,A5,SERTÃO CENTRAL,equip,30173497.81,12294176.2,2353477.22,11204555.38
2015,1,A6,BATURITÉ,equip,0.0,0.0,0.0,0.0
2015,2,A6,BATURITÉ,equip,138202.8,7000.0,138202.8,7000.0
2015,3,A6,BATURITÉ,equip,1581523.12,111000.72,1443320.32,104000.72
2015,4,A6,BATURITÉ,equip,1648029.12,353612.28,66506.0,242611.56
