ano,bimestre,resultado_primario_prev_real_dez25,dcl_real_dez25,selic,ibcr_ce
2015,1,1656265199.0463219,10673816467.775936,0.1215,94.12
2015,2,-371035205.67281276,10212973498.383142,0.1268,95.36
2015,3,-377760570.15124804,10238574428.79983,0.1358,98.4
2015,4,-1481747011.1761558,12914027238.124989,0.14150000000000001,103.11
2015,5,1044094992.8990072,13889853397.141874,0.14150000000000001,101.02
2015,6,-1684352090.9430742,15438351761.852613,0.14150000000000001,97.41
2016,1,1955122770.0103455,15219581170.88602,0.14150000000000001,90.06
2016,2,-445614822.6900336,12368477282.173332,0.14150000000000001,92.11
2016,3,-31249419.683120105,11693650718.959633,0.14150000000000001,94.81
2016,4,-692907385.7330929,11914485626.446398,0.14150000000000001,99.59
2016,5,-329022439.08904225,12079309407.989666,0.1405,95.43
2016,6,303011062.0682028,12052836861.696245,0.1365,93.95
2017,1,1632287650.6479738,11175485528.698357,0.1282,87.35
2017,2,-391631724.0795398,10191213535.802752,0.1159,89.65
2017,3,330455717.72093153,10085695419.001467,0.1015,96.46
2017,4,-971229644.9186995,10537128321.208046,0.0915,102.07
2017,5,-107800658.0488768,10916178118.758492,0.0801,97.57
2017,6,-1183130794.9846103,12266461624.700174,0.07,96.17
2018,1,560605846.7861733,11654906535.981527,0.0672,87.53
2018,2,-976457815.5065805,13421595604.74108,0.064,91.71
2018,3,-315253505.3175212,13013131973.264788,0.064,96.22
2018,4,-1823666690.0934722,15062792174.914652,0.064,105.73
2018,5,-382845798.2465224,14144421829.786205,0.064,100.68
2018,6,-857520354.395786,15911381486.269066,0.064,96.82
2019,1,955455928.5257133,12936564744.328712,0.064,91.85
2019,2,97978921.31252825,13561231173.489462,0.064,93.56
2019,3,115920938.7615148,12046269097.630693,0.064,96.19
2019,4,-1925229221.4454527,13847906478.564356,0.059000000000000004,105.07
2019,5,-624876548.2734543,13394871620.326315,0.0538,102.75
2019,6,-925017243.67624,15300080395.200386,0.045899999999999996,99.52
2020,1,1134661452.45875,14257983432.788956,0.04190000000000001,91.81
2020,2,-1119368475.2934992,17255835852.183506,0.0365,76.38
2020,3,-204031038.24881628,17082880779.6762,0.0258,87.69
2020,4,-455861504.2392853,16641808981.861593,0.0194,103.94
2020,5,239703175.63354138,16621266042.172358,0.019,101.44
2020,6,-1342701291.8444157,15941492090.738325,0.019,100.53
2021,1,2307706755.993438,13948514232.764877,0.019,88.65
2021,2,188831991.04045618,13013823953.08116,0.0265,90.41
2021,3,-606768746.4662168,11949417523.555185,0.037599999999999995,97.08
2021,4,254006899.07068944,11558880320.005655,0.0501,105.25
2021,5,-9751844.76987735,12175883991.090002,0.063,101.79
2021,6,-514533861.9667017,13437492803.232065,0.0876,100.15
2022,1,2697801864.046115,8050406380.784653,0.10490000000000001,90.77
2022,2,-571320493.3516928,9094079760.849773,0.1165,95.56
2022,3,-1185300573.9807243,10097102962.640333,0.12890000000000001,101.32
2022,4,21249175.241478577,9912122814.309668,0.1358,110.51
2022,5,-498756331.3574986,10328727570.833174,0.1365,101.08
2022,6,-784056092.1556282,11683707987.71338,0.1365,99.99
2023,1,1546427469.1593218,9767239728.668697,0.1365,91.39
2023,2,-71203428.04419664,9192729949.383867,0.1365,95.25
2023,3,229864690.4910801,8439448886.545117,0.1365,101.2
2023,4,-908562832.051984,8995233639.099295,0.1319,108.57
2023,5,-477074781.6989264,9471250951.696014,0.1265,104.35
2023,6,-762286931.2239146,10237853952.243025,0.11869999999999999,102.73
2024,1,2047774931.1771677,7908175048.014161,0.1115,97.83
2024,2,107580491.2759146,7737069010.26235,0.1065,102.03
2024,3,-603151541.5254076,8793868097.494009,0.10400000000000001,106.17
2024,4,-575349978.106098,9295169688.834316,0.10400000000000001,117.3
2024,5,-886118306.0151546,10206928022.792093,0.1065,111.03
2024,6,-1176483320.6913893,12514556751.855507,0.1177,104.14
2025,1,1513415470.7870293,10159029702.617466,0.1315,100.63
2025,2,-531869324.3979445,10027208591.753448,0.14150000000000001,103.21
2025,3,-920010647.5983614,9737541154.073711,0.1474,107.74
2025,4,-585813612.963845,10039775378.453966,0.149,116.51
2025,5,-948423981.035553,10337054097.442242,0.149,113.32
2025,6,-1157625206.23,11968573704.41,0.149,107.51
