ano,mes,direto_ce,ne_rateado,nacional_rateado,ne_bruto,nacional_bruto,share_ne,share_br,total
2015,1,0.0,0.0,14390.383566999999,0.0,708885.89,0.1442,0.0203,14390.383566999999
2015,2,0.0,2423.296862,149879.146151,16805.11,7383209.17,0.1442,0.0203,152302.44301299998
2015,3,1124466.87,53932.978861999996,253339.82205699998,374015.11,12479794.19,0.1442,0.0203,1431739.670919
2015,4,2936407.91,2833247.8900039997,2751883.4994559996,19648043.619999997,135560763.51999998,0.1442,0.0203,8521539.29946
2015,5,3194551.5100000002,10704894.826807998,4953284.205212,74236441.24,244004148.04,0.1442,0.0203,18852730.542019997
2015,6,1162431.99,12494209.076425998,5179397.433209999,86645000.52999999,255142730.7,0.1442,0.0203,18836038.499636
2015,7,2978339.63,13828239.526863998,6955842.894398999,95896251.91999999,342652359.33,0.1442,0.0203,23762422.051262997
2015,8,6592818.5200000005,8944597.274102,4568677.507793,62029107.31,225058005.31,0.1442,0.0203,20106093.301895
2015,9,2686330.96,17116088.695818,10775576.167593999,118696870.29,530816559.98,0.1442,0.0203,30577995.823412
2015,10,5168400.95,9889845.722302,8683284.106259,68584228.31,427747985.53,0.1442,0.0203,23741530.778561
2015,11,5078142.3100000005,18972918.670257997,12654791.573235,131573638.49,623388747.45,0.1442,0.0203,36705852.55349299
2015,12,19049507.16,18943558.993646,12162649.174052998,131370034.63,599145279.51,0.1442,0.0203,50155715.327699
2016,1,111569.03,0.0,99995.40078,0.0,4545245.49,0.1453,0.022,211564.43078
2016,2,1168411.8,3583.3348390000006,131069.86464,24661.63,5957721.12,0.1453,0.022,1303064.999479
2016,3,1107235.97,1299084.013677,1278059.60392,8940702.09,58093618.36,0.1453,0.022,3684379.5875969995
2016,4,2857734.5,6371712.049413,3226921.5752399997,43852113.21,146678253.42,0.1453,0.022,12456368.124652999
2016,5,5750140.069999999,2147504.7816230003,3802191.9454199993,14779798.91,172826906.60999998,0.1453,0.022,11699836.797043
2016,6,3067775.58,9378861.063549,4515661.666999999,64548252.33,205257348.5,0.1453,0.022,16962298.310549
2016,7,11943193.42,8678141.994175,12981832.879399998,59725684.75,590083312.6999999,0.1453,0.022,33603168.293575
2016,8,8445100.58,12602142.627507001,6977763.49556,86731883.19,317171067.98,0.1453,0.022,28025006.703066997
2016,9,7051862.899999999,14561607.231052002,5571167.39234,100217530.84,253234881.47,0.1453,0.022,27184637.523392003
2016,10,9312668.49,14733864.734240001,5805072.5062,101403060.8,263866932.1,0.1453,0.022,29851605.730440002
2016,11,4611817.659999999,11786425.87168,6603209.60794,81117865.6,300145891.27,0.1453,0.022,23001453.13962
2016,12,28075892.9,20679458.065805,77525823.2232,142322491.85,3523901055.6,0.1453,0.022,126281174.18900499
2017,1,0.0,0.0,46578.792946,0.0,2294521.8200000003,0.1452,0.0203,46578.792946
2017,2,578794.01,1553421.656952,238668.806418,10698496.26,11757084.06,0.1452,0.0203,2370884.47337
2017,3,685496.56,3528821.5922520002,1723457.3141239998,24303179.01,84899375.08,0.1452,0.0203,5937775.466375999
2017,4,974509.7799999999,596346.333132,3733428.207068,4107068.41,183912719.56,0.1452,0.0203,5304284.3202
2017,5,2060306.5999999999,4621049.770128,10458549.458818998,31825411.64,515199480.72999996,0.1452,0.0203,17139905.828946996
2017,6,4328954.87,4274608.07466,9301502.204512,29439449.55,458202079.04,0.1452,0.0203,17905065.149172
2017,7,1305425.49,7457521.01952,8784475.052969,51360337.6,432732761.23,0.1452,0.0203,17547421.562489
2017,8,4539321.89,5906001.1660319995,8340491.532351999,40674939.16,410861651.84,0.1452,0.0203,18785814.588383995
2017,9,2633644.9899999998,10748521.333703998,13466477.493056,74025629.02,663373275.52,0.1452,0.0203,26848643.816759996
2017,10,5639497.5200000005,4207609.093512,10176908.979447,28978024.06,501325565.49,0.1452,0.0203,20024015.592959
2017,11,4407024.59,6427924.828248,13658542.572038,44269454.74,672834609.46,0.1452,0.0203,24493491.990286
2017,12,12477642.45,9597785.203512,63976868.77268399,66100449.06,3151569890.2799997,0.1452,0.0203,86052296.426196
2018,1,0.0,0.0,42072.887814999995,0.0,2072556.0499999998,0.1454,0.0203,42072.887814999995
2018,2,6779.4,1869988.3865620003,151004.359114,12860993.030000001,7438638.38,0.1454,0.0203,2027772.145676
2018,3,183787.76,5465322.210957999,1357360.726323,37588185.769999996,66865060.410000004,0.1454,0.0203,7006470.697280999
2018,4,17295.690000000002,2748028.7797120004,6506881.968671,18899785.28,320536057.57,0.1454,0.0203,9272206.438383
2018,5,3724694.06,7330477.25434,6080757.705364999,50415937.1,299544714.55,0.1454,0.0203,17135929.019705
2018,6,2645826.12,8174079.850872,8625881.390461998,56217880.68,424920265.53999996,0.1454,0.0203,19445787.361333996
2018,7,3474604.28,7311046.924538,7120040.193062999,50282303.47,350740896.21,0.1454,0.0203,17905691.397600997
2018,8,1457186.9100000001,7525779.761516,16241597.329453997,51759145.54,800078686.18,0.1454,0.0203,25224564.00097
2018,9,6607993.53,5330639.78745,9365847.048130998,36661896.75,461371775.77,0.1454,0.0203,21304480.365581
