cod_ibge,regiao_codigo,regiao_nome,ano,mes,valor
2300101,01,Cariri,2015,1,559162.605
2301604,01,Cariri,2015,1,290786.515
2301901,01,Cariri,2015,1,597276.905
2302503,01,Cariri,2015,1,352619.595
2303204,01,Cariri,2015,1,670819.87
2304202,01,Cariri,2015,1,474900.295
2307106,01,Cariri,2015,1,519109.005
2307205,01,Cariri,2015,1,26803.3
2307304,01,Cariri,2015,1,2393082.885
2308302,01,Cariri,2015,1,260749.525
2310605,01,Cariri,2015,1,101122.935
2311108,01,Cariri,2015,1,51145.3
2314003,01,Cariri,2015,1,473261.075
2300309,02,Centro Sul,2015,1,433509.72
2303600,02,Centro Sul,2015,1,429493.185
2303808,02,Centro Sul,2015,1,488636.255
2305407,02,Centro Sul,2015,1,562556.145
2305506,02,Centro Sul,2015,1,1678077.74
2311355,02,Centro Sul,2015,1,367581.915
2311900,02,Centro Sul,2015,1,2118.425
2301000,03,Grande Fortaleza,2015,1,1141625.815
2303501,03,Grande Fortaleza,2015,1,938983.19
2303709,03,Grande Fortaleza,2015,1,7746821.345
2303956,03,Grande Fortaleza,2015,1,317374.5
2304285,03,Grande Fortaleza,2015,1,640072.88
2304400,03,Grande Fortaleza,2015,1,13290275.28
2304954,03,Grande Fortaleza,2015,1,195350.34
2305233,03,Grande Fortaleza,2015,1,1616578.595
2306256,03,Grande Fortaleza,2015,1,884567.145
2307650,03,Grande Fortaleza,2015,1,3573170.3
2307700,03,Grande Fortaleza,2015,1,1435277.575
2309607,03,Grande Fortaleza,2015,1,532361.035
2310209,03,Grande Fortaleza,2015,1,35892.37
2310852,03,Grande Fortaleza,2015,1,176518.18
2312601,03,Grande Fortaleza,2015,1,52155.55
2313500,03,Grande Fortaleza,2015,1,838815.425
2301109,04,Litoral Leste,2015,1,329010.425
2302206,04,Litoral Leste,2015,1,406341.69
2304459,04,Litoral Leste,2015,1,103754.61
2305357,04,Litoral Leste,2015,1,99941.175
2306207,04,Litoral Leste,2015,1,74876.68
2307007,04,Litoral Leste,2015,1,463673.18
2300200,05,Litoral Norte,2015,1,201290.71
2302057,05,Litoral Norte,2015,1,203008.91
2302305,05,Litoral Norte,2015,1,1345100.065
2303907,05,Litoral Norte,2015,1,21060.61
2304251,05,Litoral Norte,2015,1,785080.205
2304707,05,Litoral Norte,2015,1,2237859.205
2306553,05,Litoral Norte,2015,1,582592.595
2307254,05,Litoral Norte,2015,1,510606.55
2307809,05,Litoral Norte,2015,1,477698.16
2307908,05,Litoral Norte,2015,1,446569.755
2308906,05,Litoral Norte,2015,1,333279.375
2300754,06,Litoral Oeste / Vale do Curu,2015,1,814414.3
2300903,06,Litoral Oeste / Vale do Curu,2015,1,230240.305
2306108,06,Litoral Oeste / Vale do Curu,2015,1,178541.24
2306306,06,Litoral Oeste / Vale do Curu,2015,1,11043.01
2306405,06,Litoral Oeste / Vale do Curu,2015,1,6278712.23
2308377,06,Litoral Oeste / Vale do Curu,2015,1,5250.0
2310704,06,Litoral Oeste / Vale do Curu,2015,1,1023341.74
2313351,06,Litoral Oeste / Vale do Curu,2015,1,407254.44
2313807,06,Litoral Oeste / Vale do Curu,2015,1,10460.34
2300150,07,Maciço do Baturité,2015,1,91052.36
2301208,07,Maciço do Baturité,2015,1,826579.08
2301406,07,Maciço do Baturité,2015,1,63349.425
2302909,07,Maciço do Baturité,2015,1,161760.145
2309102,07,Maciço do Baturité,2015,1,56165.04
2309458,07,Maciço do Baturité,2015,1,359935.86
2309805,07,Maciço do Baturité,2015,1,13797.785
2310100,07,Maciço do Baturité,2015,1,24782.69
2311603,07,Maciço do Baturité,2015,1,170619.4
2304236,08,Serra da Ibiapaba,2015,1,64252.98
2305001,08,Serra da Ibiapaba,2015,1,363846.705
2305308,08,Serra da Ibiapaba,2015,1,1377925.705
2313401,08,Serra da Ibiapaba,2015,1,757728.125
2313609,08,Serra da Ibiapaba,2015,1,2177620.335
2301851,09,Sertão Central,2015,1,967363.695
2303931,09,Sertão Central,2015,1,563967.57
2304269,09,Sertão Central,2015,1,332489.07
2305332,09,Sertão Central,2015,1,89275.58
2308351,09,Sertão Central,2015,1,374574.68
2308500,09,Sertão Central,2015,1,547524.59
2310902,09,Sertão Central,2015,1,496236.96
2311306,09,Sertão Central,2015,1,339886.715
2311405,09,Sertão Central,2015,1,3204105.325
2312700,09,Sertão Central,2015,1,52426.46
2313005,09,Sertão Central,2015,1,408830.6
2302800,10,Sertão de Canindé,2015,1,730758.86
2307635,10,Sertão de Canindé,2015,1,2499.5
2310407,10,Sertão de Canindé,2015,1,87250.0
2304004,11,Sertão de Sobral,2015,1,154254.315
2304509,11,Sertão de Sobral,2015,1,3141.5
2304905,11,Sertão de Sobral,2015,1,237278.585
2308005,11,Sertão de Sobral,2015,1,130093.585
2308807,11,Sertão de Sobral,2015,1,249091.185
2312007,11,Sertão de Sobral,2015,1,656753.86
2312908,11,Sertão de Sobral,2015,1,3003713.33
2304103,12,Sertão dos Crateús,2015,1,920114.63
2305902,12,Sertão dos Crateús,2015,1,350680.34
2309300,12,Sertão dos Crateús,2015,1,340430.655
2309409,12,Sertão dos Crateús,2015,1,733840.08
2312205,12,Sertão dos Crateús,2015,1,393900.61
2300408,13,Sertão dos Inhamuns,2015,1,127765.61
2300705,14,Vale do Jaguaribe,2015,1,1366564.83
2306009,14,Vale do Jaguaribe,2015,1,559877.43
2306801,14,Vale do Jaguaribe,2015,1,20830.0
2306900,14,Vale do Jaguaribe,2015,1,1114656.065
2307601,14,Vale do Jaguaribe,2015,1,230098.285
2308708,14,Vale do Jaguaribe,2015,1,125238.325
2311231,14,Vale do Jaguaribe,2015,1,368552.645
2311801,14,Vale do Jaguaribe,2015,1,1883776.09
2312502,14,Vale do Jaguaribe,2015,1,333574.47
2313104,14,Vale do Jaguaribe,2015,1,10239.635
2300101,01,Cariri,2015,2,559162.605
2301604,01,Cariri,2015,2,290786.515
2301901,01,Cariri,2015,2,597276.905
2302503,01,Cariri,2015,2,352619.595
2303204,01,Cariri,2015,2,670819.87
2304202,01,Cariri,2015,2,474900.295
2307106,01,Cariri,2015,2,519109.005
2307205,01,Cariri,2015,2,26803.3
2307304,01,Cariri,2015,2,2393082.885
2308302,01,Cariri,2015,2,260749.525
2310605,01,Cariri,2015,2,101122.935
2311108,01,Cariri,2015,2,51145.3
2314003,01,Cariri,2015,2,473261.075
2300309,02,Centro Sul,2015,2,433509.72
2303600,02,Centro Sul,2015,2,429493.185
2303808,02,Centro Sul,2015,2,488636.255
2305407,02,Centro Sul,2015,2,562556.145
2305506,02,Centro Sul,2015,2,1678077.74
2311355,02,Centro Sul,2015,2,367581.915
2311900,02,Centro Sul,2015,2,2118.425
2301000,03,Grande Fortaleza,2015,2,1141625.815
2303501,03,Grande Fortaleza,2015,2,938983.19
2303709,03,Grande Fortaleza,2015,2,7746821.345
2303956,03,Grande Fortaleza,2015,2,317374.5
2304285,03,Grande Fortaleza,2015,2,640072.88
2304400,03,Grande Fortaleza,2015,2,13290275.28
2304954,03,Grande Fortaleza,2015,2,195350.34
2305233,03,Grande Fortaleza,2015,2,1616578.595
2306256,03,Grande Fortaleza,2015,2,884567.145
2307650,03,Grande Fortaleza,2015,2,3573170.3
2307700,03,Grande Fortaleza,2015,2,1435277.575
2309607,03,Grande Fortaleza,2015,2,532361.035
2310209,03,Grande Fortaleza,2015,2,35892.37
2310852,03,Grande Fortaleza,2015,2,176518.18
2312601,03,Grande Fortaleza,2015,2,52155.55
2313500,03,Grande Fortaleza,2015,2,838815.425
2301109,04,Litoral Leste,2015,2,329010.425
2302206,04,Litoral Leste,2015,2,406341.69
2304459,04,Litoral Leste,2015,2,103754.61
2305357,04,Litoral Leste,2015,2,99941.175
2306207,04,Litoral Leste,2015,2,74876.68
2307007,04,Litoral Leste,2015,2,463673.18
2300200,05,Litoral Norte,2015,2,201290.71
2302057,05,Litoral Norte,2015,2,203008.91
2302305,05,Litoral Norte,2015,2,1345100.065
2303907,05,Litoral Norte,2015,2,21060.61
2304251,05,Litoral Norte,2015,2,785080.205
2304707,05,Litoral Norte,2015,2,2237859.205
2306553,05,Litoral Norte,2015,2,582592.595
2307254,05,Litoral Norte,2015,2,510606.55
2307809,05,Litoral Norte,2015,2,477698.16
2307908,05,Litoral Norte,2015,2,446569.755
2308906,05,Litoral Norte,2015,2,333279.375
2300754,06,Litoral Oeste / Vale do Curu,2015,2,814414.3
2300903,06,Litoral Oeste / Vale do Curu,2015,2,230240.305
2306108,06,Litoral Oeste / Vale do Curu,2015,2,178541.24
2306306,06,Litoral Oeste / Vale do Curu,2015,2,11043.01
2306405,06,Litoral Oeste / Vale do Curu,2015,2,6278712.23
2308377,06,Litoral Oeste / Vale do Curu,2015,2,5250.0
2310704,06,Litoral Oeste / Vale do Curu,2015,2,1023341.74
2313351,06,Litoral Oeste / Vale do Curu,2015,2,407254.44
2313807,06,Litoral Oeste / Vale do Curu,2015,2,10460.34
2300150,07,Maciço do Baturité,2015,2,91052.36
2301208,07,Maciço do Baturité,2015,2,826579.08
2301406,07,Maciço do Baturité,2015,2,63349.425
2302909,07,Maciço do Baturité,2015,2,161760.145
2309102,07,Maciço do Baturité,2015,2,56165.04
2309458,07,Maciço do Baturité,2015,2,359935.86
2309805,07,Maciço do Baturité,2015,2,13797.785
2310100,07,Maciço do Baturité,2015,2,24782.69
2311603,07,Maciço do Baturité,2015,2,170619.4
2304236,08,Serra da Ibiapaba,2015,2,64252.98
2305001,08,Serra da Ibiapaba,2015,2,363846.705
2305308,08,Serra da Ibiapaba,2015,2,1377925.705
2313401,08,Serra da Ibiapaba,2015,2,757728.125
2313609,08,Serra da Ibiapaba,2015,2,2177620.335
2301851,09,Sertão Central,2015,2,967363.695
2303931,09,Sertão Central,2015,2,563967.57
2304269,09,Sertão Central,2015,2,332489.07
2305332,09,Sertão Central,2015,2,89275.58
2308351,09,Sertão Central,2015,2,374574.68
2308500,09,Sertão Central,2015,2,547524.59
2310902,09,Sertão Central,2015,2,496236.96
2311306,09,Sertão Central,2015,2,339886.715
2311405,09,Sertão Central,2015,2,3204105.325
2312700,09,Sertão Central,2015,2,52426.46
2313005,09,Sertão Central,2015,2,408830.6
2302800,10,Sertão de Canindé,2015,2,730758.86
2307635,10,Sertão de Canindé,2015,2,2499.5
2310407,10,Sertão de Canindé,2015,2,87250.0
2304004,11,Sertão de Sobral,2015,2,154254.315
2304509,11,Sertão de Sobral,2015,2,3141.5
2304905,11,Sertão de Sobral,2015,2,237278.585
2308005,11,Sertão de Sobral,2015,2,130093.585
2308807,11,Sertão de Sobral,2015,2,249091.185
2312007,11,Sertão de Sobral,2015,2,656753.86
2312908,11,Sertão de Sobral,2015,2,3003713.33
2304103,12,Sertão dos Crateús,2015,2,920114.63
2305902,12,Sertão dos Crateús,2015,2,350680.34
2309300,12,Sertão dos Crateús,2015,2,340430.655
2309409,12,Sertão dos Crateús,2015,2,733840.08
2312205,12,Sertão dos Crateús,2015,2,393900.61
2300408,13,Sertão dos Inhamuns,2015,2,127765.61
2300705,14,Vale do Jaguaribe,2015,2,1366564.83
2306009,14,Vale do Jaguaribe,2015,2,559877.43
2306801,14,Vale do Jaguaribe,2015,2,20830.0
2306900,14,Vale do Jaguaribe,2015,2,1114656.065
2307601,14,Vale do Jaguaribe,2015,2,230098.285
2308708,14,Vale do Jaguaribe,2015,2,125238.325
2311231,14,Vale do Jaguaribe,2015,2,368552.645
2311801,14,Vale do Jaguaribe,2015,2,1883776.09
2312502,14,Vale do Jaguaribe,2015,2,333574.47
2313104,14,Vale do Jaguaribe,2015,2,10239.635
2300101,01,Cariri,2015,3,6372.0
2301604,01,Cariri,2015,3,331843.87
2301901,01,Cariri,2015,3,749861.185
2302503,01,Cariri,2015,3,128727.25
2303204,01,Cariri,2015,3,140409.21499999997
2304202,01,Cariri,2015,3,1573034.58
2307106,01,Cariri,2015,3,267830.135
2307205,01,Cariri,2015,3,180620.6
2307304,01,Cariri,2015,3,2010706.2000000002
2307502,01,Cariri,2015,3,293791.17
2308302,01,Cariri,2015,3,70000.55500000002
2310605,01,Cariri,2015,3,11555.01000000001
2311108,01,Cariri,2015,3,58635.89
2314003,01,Cariri,2015,3,315867.37499999994
2300309,02,Centro Sul,2015,3,414606.93000000005
2303600,02,Centro Sul,2015,3,90912.95500000002
2303808,02,Centro Sul,2015,3,269951.42000000004
2305407,02,Centro Sul,2015,3,290348.87
2305506,02,Centro Sul,2015,3,569515.345
2311355,02,Centro Sul,2015,3,481947.47500000003
2311900,02,Centro Sul,2015,3,36760.34
2301000,03,Grande Fortaleza,2015,3,582584.2950000002
2303501,03,Grande Fortaleza,2015,3,800120.6100000001
2303709,03,Grande Fortaleza,2015,3,8427514.035
2303956,03,Grande Fortaleza,2015,3,260852.92500000005
2304285,03,Grande Fortaleza,2015,3,1401260.6549999998
2304400,03,Grande Fortaleza,2015,3,69445926.565
2304954,03,Grande Fortaleza,2015,3,203518.05500000002
2305233,03,Grande Fortaleza,2015,3,2270348.5
2306256,03,Grande Fortaleza,2015,3,550305.435
2307650,03,Grande Fortaleza,2015,3,3170381.3100000005
2307700,03,Grande Fortaleza,2015,3,1693155.615
2309607,03,Grande Fortaleza,2015,3,369646.48
2310209,03,Grande Fortaleza,2015,3,78039.60999999999
