ano_bim,bimestre,uf,dcl_nominal,dcl_real
2015,1,AL,9384443731.93,16699510091.99423
2015,1,BA,10536948573.97,18750379252.755985
2015,1,CE,5856319821.07,10421254018.621655
2015,1,MA,4558107464.64,8111100005.5509405
2015,1,PB,2574362994.1,4581049450.395927
2015,1,PE,10278898807.96,18291182650.930923
2015,1,PI,3732678443.13,6642258519.717203
2015,1,RN,305531939.4,543690585.3116076
2015,1,SE,3270330619.32,5819515864.928141
2015,2,AL,9384443731.93,16365751537.547903
2015,2,BA,10536948573.97,18375631763.743095
2015,2,CE,5856319821.07,10212973496.76128
2015,2,MA,4558107464.64,7948990518.631317
2015,2,PB,2574362994.1,4489492007.453677
2015,2,PE,10278898807.96,17925612724.205044
2015,2,PI,3732678443.13,6509505487.467329
2015,2,RN,305531939.4,532824315.4138654
2015,2,SE,3270330619.32,5703206273.092448
2015,3,AL,9677269002.27,16621141261.53176
2015,3,BA,13387754681.93,22994065959.19729
2015,3,CE,7582150182.0,13022681214.256754
2015,3,MA,4846400610.15,8323909269.483112
2015,3,PB,3263430865.44,5605088108.948664
2015,3,PE,11250858264.63,19323851025.121048
2015,3,PI,2902272114.52,4984781841.191553
2015,3,RN,574603482.81,986907117.587913
2015,3,SE,3396670367.95,5833932898.973147
2015,4,AL,9677269002.27,16482463745.266037
2015,4,BA,13387754681.93,22802216319.879692
2015,4,CE,7582150182.0,12914027238.124975
2015,4,MA,4846400610.15,8254459221.201244
2015,4,PB,3263430865.44,5558322385.394017
2015,4,PE,11250858264.63,19162623608.622593
2015,4,PI,2902272114.52,4943191606.562911
2015,4,RN,574603482.81,978672915.9949809
2015,4,SE,3396670367.95,5785257822.3487215
2015,5,AL,10555304801.52,17735952642.727467
2015,5,BA,16136539853.17,27114035268.038322
2015,5,CE,9369812567.0,15743984194.147932
2015,5,MA,6443795620.52,10827432851.441643
2015,5,PB,3297120097.39,5540111536.7386675
2015,5,PE,12215360981.53,20525325223.298004
2015,5,PI,3762714199.03,6322443747.195644
2015,5,RN,722653819.71,1214266585.8040392
2015,5,SE,4385703603.8,7369245406.426798
2015,6,AL,10555304801.52,17391650826.971935
2015,6,BA,16136539853.17,26587680029.991776
2015,6,CE,9369812567.0,15438351761.852608
2015,6,MA,6443795620.52,10617243702.551971
2015,6,PB,3297120097.39,5432563298.422333
2015,6,PE,12215360981.53,20126874297.8975
2015,6,PI,3762714199.03,6199708368.610596
2015,6,RN,722653819.71,1190694455.3002386
2015,6,SE,4385703603.8,7226188835.1057625
2016,1,AL,10434843520.81,16826120443.381466
2016,1,BA,14853964594.4,23951925759.946354
2016,1,CE,7750376405.06,12497433872.679531
2016,1,MA,5097073267.23,8218999023.0437565
2016,1,PB,2788921904.16,4497119269.014038
2016,1,PE,11370281879.9,18334508994.299156
2016,1,PI,3071413759.3,4952635632.951899
2016,1,RN,605931778.52,977061233.8859916
2016,1,SE,4071691937.88,6565577990.554865
2016,2,AL,10434843520.81,16652497672.572763
2016,2,BA,14853964594.4,23704774330.676632
2016,2,CE,7750376405.06,12368477283.769182
2016,2,MA,5097073267.23,8134190086.33986
2016,2,PB,2788921904.16,4450715089.823074
2016,2,PE,11370281879.9,18145321696.863674
2016,2,PI,3071413759.3,4901531141.914142
2016,2,RN,605931778.52,966979285.4506478
2016,2,SE,4071691937.88,6497830119.230839
2016,3,AL,7797749953.78,12304699576.957775
2016,3,BA,14443901287.96,22792198662.567623
2016,3,CE,7623120270.04,12029137291.8914
2016,3,MA,4455144253.72,7030132017.436703
2016,3,PB,2685315436.23,4237376154.407232
2016,3,PE,11088195621.88,17496959608.410294
2016,3,PI,3039999914.75,4797061445.506227
2016,3,RN,386047127.72,609174948.837564
2016,3,SE,4184691111.83,6603362156.8581915
2016,4,AL,7797749953.78,12187421482.522043
2016,4,BA,14443901287.96,22574962507.35485
2016,4,CE,7623120270.04,11914485626.44638
2016,4,MA,4455144253.72,6963126684.922893
2016,4,PB,2685315436.23,4196989032.5853467
2016,4,PE,11088195621.88,17330193238.4994
2016,4,PI,3039999914.75,4751339872.078005
2016,4,RN,386047127.72,603368803.2481633
2016,4,SE,4184691111.83,6540424437.348519
2016,5,AL,7863514895.18,12248537686.974411
2016,5,BA,16015640903.8,24946628041.804302
2016,5,CE,7775059293.02,12110755563.951426
2016,5,MA,5454289371.28,8495827859.464848
2016,5,PB,2675553492.37,4167553342.4496408
2016,5,PE,12654082892.84,19710525543.997337
2016,5,PI,3423691346.48,5332883964.095108
2016,5,RN,1068411173.34,1664201657.437057
2016,5,SE,4101940899.04,6389353661.990241
2016,6,AL,7863514895.18,12189960052.936035
2016,6,BA,16015640903.8,24827322824.702484
2016,6,CE,7775059293.02,12052836861.696234
2016,6,MA,5454289371.28,8455197254.577702
2016,6,PB,2675553492.37,4147622357.9706497
2016,6,PE,12654082892.84,19616261560.693584
2016,6,PI,3423691346.48,5307379880.815837
2016,6,RN,1068411173.34,1656242748.5332556
2016,6,SE,4101940899.04,6358797098.413526
2017,1,AL,7487906612.27,11525717864.616163
