uf,ano,investimento_publico_nominal,investimento_publico_real,ano_bim,bimestre
AL,2015,462422557.82,761919415.0568312,2015,1
BA,2015,2231841436.93,3677336439.0826793,2015,1
CE,2015,2254572108.43,3714789066.8584,2015,1
MA,2015,727859999.87,1199272518.1025548,2015,1
PB,2015,732527751.37,1206963428.574736,2015,1
PE,2015,1066479955.64,1757206196.4316223,2015,1
PI,2015,479273295.19,789683856.3521546,2015,1
RN,2015,322646347.98,531614456.44447786,2015,1
SE,2015,337967651.29,556858896.3154399,2015,1
AL,2015,462422557.82,761919415.0568312,2015,2
BA,2015,2231841436.93,3677336439.0826793,2015,2
CE,2015,2254572108.43,3714789066.8584,2015,2
MA,2015,727859999.87,1199272518.1025548,2015,2
PB,2015,732527751.37,1206963428.574736,2015,2
PE,2015,1066479955.64,1757206196.4316223,2015,2
PI,2015,479273295.19,789683856.3521546,2015,2
RN,2015,322646347.98,531614456.44447786,2015,2
SE,2015,337967651.29,556858896.3154399,2015,2
AL,2015,462422557.82,761919415.0568312,2015,3
BA,2015,2231841436.93,3677336439.0826793,2015,3
CE,2015,2254572108.43,3714789066.8584,2015,3
MA,2015,727859999.87,1199272518.1025548,2015,3
PB,2015,732527751.37,1206963428.574736,2015,3
PE,2015,1066479955.64,1757206196.4316223,2015,3
PI,2015,479273295.19,789683856.3521546,2015,3
RN,2015,322646347.98,531614456.44447786,2015,3
SE,2015,337967651.29,556858896.3154399,2015,3
AL,2015,462422557.82,761919415.0568312,2015,4
BA,2015,2231841436.93,3677336439.0826793,2015,4
CE,2015,2254572108.43,3714789066.8584,2015,4
MA,2015,727859999.87,1199272518.1025548,2015,4
PB,2015,732527751.37,1206963428.574736,2015,4
PE,2015,1066479955.64,1757206196.4316223,2015,4
PI,2015,479273295.19,789683856.3521546,2015,4
RN,2015,322646347.98,531614456.44447786,2015,4
SE,2015,337967651.29,556858896.3154399,2015,4
AL,2015,462422557.82,761919415.0568312,2015,5
BA,2015,2231841436.93,3677336439.0826793,2015,5
CE,2015,2254572108.43,3714789066.8584,2015,5
MA,2015,727859999.87,1199272518.1025548,2015,5
PB,2015,732527751.37,1206963428.574736,2015,5
PE,2015,1066479955.64,1757206196.4316223,2015,5
PI,2015,479273295.19,789683856.3521546,2015,5
RN,2015,322646347.98,531614456.44447786,2015,5
SE,2015,337967651.29,556858896.3154399,2015,5
AL,2015,462422557.82,761919415.0568312,2015,6
BA,2015,2231841436.93,3677336439.0826793,2015,6
CE,2015,2254572108.43,3714789066.8584,2015,6
MA,2015,727859999.87,1199272518.1025548,2015,6
PB,2015,732527751.37,1206963428.574736,2015,6
PE,2015,1066479955.64,1757206196.4316223,2015,6
PI,2015,479273295.19,789683856.3521546,2015,6
RN,2015,322646347.98,531614456.44447786,2015,6
SE,2015,337967651.29,556858896.3154399,2015,6
AL,2016,529714100.51,821158707.1135108,2016,1
BA,2016,3170929225.2,4915549992.735229,2016,1
CE,2016,1977965814.72,3066227328.2255874,2016,1
MA,2016,886959090.34,1374957130.9975362,2016,1
PB,2016,627744997.55,973125446.516976,2016,1
PE,2016,1136616873.43,1761974697.9938288,2016,1
PI,2016,813402837.95,1260930796.6890213,2016,1
RN,2016,396351810.91,614421515.8622347,2016,1
SE,2016,369675557.23,573068193.4541458,2016,1
AL,2016,529714100.51,821158707.1135108,2016,2
BA,2016,3170929225.2,4915549992.735229,2016,2
CE,2016,1977965814.72,3066227328.2255874,2016,2
MA,2016,886959090.34,1374957130.9975362,2016,2
PB,2016,627744997.55,973125446.516976,2016,2
PE,2016,1136616873.43,1761974697.9938288,2016,2
PI,2016,813402837.95,1260930796.6890213,2016,2
RN,2016,396351810.91,614421515.8622347,2016,2
SE,2016,369675557.23,573068193.4541458,2016,2
AL,2016,529714100.51,821158707.1135108,2016,3
BA,2016,3170929225.2,4915549992.735229,2016,3
CE,2016,1977965814.72,3066227328.2255874,2016,3
MA,2016,886959090.34,1374957130.9975362,2016,3
PB,2016,627744997.55,973125446.516976,2016,3
PE,2016,1136616873.43,1761974697.9938288,2016,3
PI,2016,813402837.95,1260930796.6890213,2016,3
RN,2016,396351810.91,614421515.8622347,2016,3
SE,2016,369675557.23,573068193.4541458,2016,3
AL,2016,529714100.51,821158707.1135108,2016,4
BA,2016,3170929225.2,4915549992.735229,2016,4
CE,2016,1977965814.72,3066227328.2255874,2016,4
MA,2016,886959090.34,1374957130.9975362,2016,4
PB,2016,627744997.55,973125446.516976,2016,4
PE,2016,1136616873.43,1761974697.9938288,2016,4
PI,2016,813402837.95,1260930796.6890213,2016,4
RN,2016,396351810.91,614421515.8622347,2016,4
SE,2016,369675557.23,573068193.4541458,2016,4
AL,2016,529714100.51,821158707.1135108,2016,5
BA,2016,3170929225.2,4915549992.735229,2016,5
CE,2016,1977965814.72,3066227328.2255874,2016,5
MA,2016,886959090.34,1374957130.9975362,2016,5
PB,2016,627744997.55,973125446.516976,2016,5
PE,2016,1136616873.43,1761974697.9938288,2016,5
PI,2016,813402837.95,1260930796.6890213,2016,5
RN,2016,396351810.91,614421515.8622347,2016,5
SE,2016,369675557.23,573068193.4541458,2016,5
AL,2016,529714100.51,821158707.1135108,2016,6
BA,2016,3170929225.2,4915549992.735229,2016,6
CE,2016,1977965814.72,3066227328.2255874,2016,6
MA,2016,886959090.34,1374957130.9975362,2016,6
PB,2016,627744997.55,973125446.516976,2016,6
PE,2016,1136616873.43,1761974697.9938288,2016,6
PI,2016,813402837.95,1260930796.6890213,2016,6
RN,2016,396351810.91,614421515.8622347,2016,6
SE,2016,369675557.23,573068193.4541458,2016,6
AL,2017,659204688.67,992637515.785697,2017,1
BA,2017,2483192163.48,3739217488.4988413,2017,1
CE,2017,2126730371.76,3202453485.622351,2017,1
MA,2017,1239249378.17,1866075052.754128,2017,1
PB,2017,563581792.29,848647529.1453061,2017,1
PE,2017,1143845958.48,1722415556.4759552,2017,1
PI,2017,671052851.39,1010478606.7414277,2017,1
RN,2017,380734547.6,573314179.9491189,2017,1
SE,2017,311832488.63,469560717.90003586,2017,1
