regiao_codigo,regiao_nome,ano,mes,admissoes,desligamentos,saldo,total_movimentacoes,salario_medio,bf_valor_total,bf_beneficiarios,bpc_valor_total,bpc_beneficiarios,transf_fed_fpm_dest,transf_fed_fundeb_dest,transf_fed_itr_dest,transf_fed_outros_dest,transf_fed_royalties_dest,transf_fed_total,transf_est_icms,transf_est_ipva,transf_est_total,invest_mun_valor,bnb_bnb_operacoes_credito_total,bnb_bnb_emprestimos_titulos_descontados,bnb_bnb_financiamentos,bnb_bnb_financiamentos_rurais_agricultura,bnb_bnb_financiamentos_agroindustriais,bnb_bnb_financiamentos_imobiliarios,bnb_credito_bnb_total,pop,siof_anual_empenhado,siof_anual_pago,siof_obras_pago_anual,siof_equip_pago_anual,siof_anual_dotacao,siof_anual_n_acoes,invest_fed_direto_ce,invest_fed_ne_rateado,invest_fed_nacional_rateado,invest_fed_total,ibcr_ce,invest_total_ce_r_2010_mi,share_pib_ce_br
01,Cariri,2015,1,2841.0,3144.0,-303.0,5985.0,983.2325814536341,24942235.0,145321.0,,,41451074.66,52096467.56,5531.93,2576.2999999999997,584831.23,94140481.67999999,3878669.75,591687.96,4470357.71,6770839.81,188421363.0,138815265.0,23829310.0,4019739.0,0.0,0.0,188421363.0,1004530.0,,,,,,,0.0,0.0,14390.383567,14390.383567,100.13,1366.787412822838,0.0203
02,Centro Sul,2015,1,496.0,542.0,-46.0,1038.0,982.961464354528,10666731.0,61401.0,,,17630297.48,20239366.68,2197.81,1049.99,245852.66,38118764.62,3181101.5100000002,906665.41,4087766.92,3961973.385,55012382.0,42048717.0,5645784.0,737332.0,0.0,0.0,55012382.0,388364.0,,,,,,,0.0,0.0,14390.383567,14390.383567,100.13,1366.787412822838,0.0203
03,Grande Fortaleza,2015,1,32322.0,38108.0,-5786.0,70430.0,1107.1390174641488,51974650.0,345529.0,,,98669653.63,127639472.30000001,17632.2,7060.67,3762129.2800000003,230095948.08,111842174.53,20558803.119999997,132400977.64999999,33415839.525,4327358237.0,714309338.0,861062870.0,13701514.0,265043.0,580937253.0,4327358237.0,3985295.0,,,,,,,0.0,0.0,14390.383567,14390.383567,100.13,1366.787412822838,0.0203
04,Litoral Leste,2015,1,663.0,764.0,-101.0,1427.0,1012.4512964260687,4939665.0,30008.0,,,9011040.899999999,11033817.33,8948.96,538.36,698918.1799999999,20753263.73,4316543.9,439038.74,4755582.640000001,1477597.76,38260072.0,24636174.0,3054097.0,1461306.0,609.0,0.0,38260072.0,201531.0,,,,,,,0.0,0.0,14390.383567,14390.383567,100.13,1366.787412822838,0.0203
05,Litoral Norte,2015,1,461.0,382.0,79.0,843.0,935.2787663107948,11972139.0,63755.0,,,18217974.12,24935651.92,836.5600000000001,1072.04,410232.13,43565766.769999996,4049083.86,524132.57,4573216.43,7144146.14,35681661.0,29415810.0,5849811.0,213584.0,0.0,0.0,35681661.0,393246.0,,,,,,,0.0,0.0,14390.383567,14390.383567,100.13,1366.787412822838,0.0203
06,Litoral Oeste / Vale do Curu,2015,1,491.0,388.0,103.0,879.0,889.7519908987485,11251292.0,61446.0,,,16650836.45,23832688.39,3000.2099999999996,1010.87,739832.61,41227368.53,3815974.4,507079.7,4323054.1,8959257.605,65179553.0,53199722.0,7424946.0,1084086.0,0.0,0.0,65179553.0,388064.0,,,,,,,0.0,0.0,14390.383567,14390.383567,100.13,1366.787412822838,0.0203
07,Maciço do Baturité,2015,1,187.0,247.0,-60.0,434.0,933.7465437788019,6744826.0,39260.0,,,13908345.83,14910601.16,396.59999999999997,751.0,186318.8,29006413.39,2304757.15,344178.32999999996,2648935.48,1768041.785,23311258.0,17476148.0,1386441.0,2868962.0,195459.0,0.0,23311258.0,240159.0,,,,,,,0.0,0.0,14390.383567,14390.383567,100.13,1366.787412822838,0.0203
08,Serra da Ibiapaba,2015,1,573.0,381.0,192.0,954.0,946.0859538784067,10659346.0,56467.0,,,15475483.239999998,22258370.990000002,520.29,932.49,230350.78,37965657.79,1882279.73,699651.0599999999,2581930.79,4741373.85,47711293.0,36733906.0,6793006.0,2947805.0,0.0,0.0,47711293.0,352735.0,,,,,,,0.0,0.0,14390.383567,14390.383567,100.13,1366.787412822838,0.0203
09,Sertão Central,2015,1,351.0,401.0,-50.0,752.0,942.1396276595744,10593602.0,61715.0,,,17238513.13,21814598.51,2630.98,1035.76,225008.82,39281787.199999996,4386381.03,749040.43,5135421.46,7376681.245,47260091.0,34030192.0,4440158.0,1303365.0,487824.0,0.0,47260091.0,389124.0,,,,,,,0.0,0.0,14390.383567,14390.383567,100.13,1366.787412822838,0.0203
10,Sertão de Canindé,2015,1,184.0,159.0,25.0,343.0,868.7696793002915,6807230.0,34964.0,,,9011040.85,12348281.01,937.66,541.85,126927.15,21487728.52,1159782.02,243424.25,1403206.27,820508.36,39960710.0,31788703.0,3559717.0,184222.0,0.0,0.0,39960710.0,203895.0,,,,,,,0.0,0.0,14390.383567,14390.383567,100.13,1366.787412822838,0.0203
11,Sertão de Sobral,2015,1,1109.0,1316.0,-207.0,2425.0,966.6160824742268,9880377.0,60218.0,,,23233100.62,28168386.79,1095.81,1356.54,374774.2,51778713.96,9235399.73,1137192.92,10372592.649999999,4434326.36,74643860.0,56538318.0,11510790.0,226206.0,0.0,0.0,74643860.0,485904.0,,,,,,,0.0,0.0,14390.383567,14390.383567,100.13,1366.787412822838,0.0203
12,Sertão dos Crateús,2015,1,208.0,178.0,30.0,386.0,930.9507772020726,9810998.0,56419.0,,,17238513.09,20985414.2,2760.88,993.3,255701.65,38483383.12,1756078.45,435179.66000000003,2191258.11,2738966.315,63095598.0,49458873.0,5806769.0,429175.0,0.0,0.0,63095598.0,349155.0,,,,,,,0.0,0.0,14390.383567,14390.383567,100.13,1366.787412822838,0.0203
13,Sertão dos Inhamuns,2015,1,100.0,107.0,-7.0,207.0,1224.6328502415458,3194321.0,20589.0,,,6464442.399999999,8811579.81,837.71,376.06,86666.35,15363902.330000002,324504.15,25701.92,350206.07,127765.61,17037867.0,14170784.0,1541955.0,1704.0,40647.0,0.0,17037867.0,134452.0,,,,,,,0.0,0.0,14390.383567,14390.383567,100.13,1366.787412822838,0.0203
14,Vale do Jaguaribe,2015,1,894.0,1343.0,-449.0,2237.0,906.2275368797497,8646236.0,56053.0,,,18413866.34,21117861.64,2351.33,1075.91,247506.91,39782662.129999995,4885596.2700000005,952277.5,5837873.7700000005,6013407.775,53976332.0,37562140.0,8693341.0,3598889.0,506251.0,0.0,53976332.0,388005.0,,,,,,,0.0,0.0,14390.383567,14390.383567,100.13,1366.787412822838,0.0203
01,Cariri,2015,2,2453.0,2880.0,-427.0,5333.0,951.9739358709919,24917329.0,145057.0,,,42313516.13,70563962.91,3737.65,6414.1,543215.63,113430846.42,3551850.1,1610644.21,5162494.3100000005,6770839.81,186066869.0,136041311.0,24142154.0,4036296.0,0.0,0.0,186066869.0,1004530.0,,,,,,,0.0,2423.296862,149879.146151,152302.44301299998,98.83,1284.9190021870934,0.0203
02,Centro Sul,2015,2,563.0,508.0,55.0,1071.0,907.9505135387489,10676494.0,61411.0,,,17997117.84,27262402.1,1746.45,2614.2,211452.38999999998,45475332.98,2954855.75,2419288.24,5374143.99,3961973.385,54488659.0,41606772.0,5559982.0,740501.0,0.0,0.0,54488659.0,388364.0,,,,,,,0.0,2423.296862,149879.146151,152302.44301299998,98.83,1284.9190021870934,0.0203
03,Grande Fortaleza,2015,2,31309.0,31721.0,-412.0,63030.0,1106.6984927812152,52030351.0,345205.0,,,100722599.95,173263378.92000002,8256.45,17578.86,2302365.3,276314179.48,105185647.45,76956109.42999999,182141756.88,33415839.525,4544035070.0,703813483.0,896942370.0,13697586.0,176486.0,674927401.0,4544035070.0,3985295.0,,,,,,,0.0,2423.296862,149879.146151,152302.44301299998,98.83,1284.9190021870934,0.0203
04,Litoral Leste,2015,2,544.0,999.0,-455.0,1543.0,936.2132209980557,4940774.0,29986.0,,,9198526.89,14918168.0,629.36,1340.32,633698.05,24752362.62,4038631.77,1403618.8900000001,5442250.66,1477597.76,38587135.0,24989339.0,2948505.0,1472173.0,521.0,0.0,38587135.0,201531.0,,,,,,,0.0,2423.296862,149879.146151,152302.44301299998,98.83,1284.9190021870934,0.0203
05,Litoral Norte,2015,2,412.0,296.0,116.0,708.0,946.6836158192091,11993636.0,63924.0,,,18597021.91,33942869.27,802.73,2669.29,357071.38,52900434.58,3795521.98,1534521.92,5330043.9,7144146.14,37318943.0,29794654.0,7051211.0,214987.0,0.0,0.0,37318943.0,393246.0,,,,,,,0.0,2423.296862,149879.146151,152302.44301299998,98.83,1284.9190021870934,0.0203
06,Litoral Oeste / Vale do Curu,2015,2,685.0,551.0,134.0,1236.0,924.668284789644,11289571.0,61568.0,,,16997277.94,32522945.98,1906.78,2516.76,771668.76,50296316.22,3730773.5999999996,1332447.9000000001,5063221.5,8959257.605,65198607.0,52893108.0,7717416.0,1107875.0,0.0,0.0,65198607.0,388064.0,,,,,,,0.0,2423.296862,149879.146151,152302.44301299998,98.83,1284.9190021870934,0.0203
07,Maciço do Baturité,2015,2,246.0,199.0,47.0,445.0,935.7955056179775,6760062.0,39278.0,,,14197726.36,19986000.17,2989.6200000000003,1869.78,170117.47,34358703.4,2147643.8,843172.25,2990816.05,1768041.785,22539846.0,16718374.0,1356513.0,2878191.0,197242.0,0.0,22539846.0,240159.0,,,,,,,0.0,2423.296862,149879.146151,152302.44301299998,98.83,1284.9190021870934,0.0203
08,Serra da Ibiapaba,2015,2,447.0,371.0,76.0,818.0,904.2640586797066,10641895.0,56467.0,,,15797470.07,30387651.77,1042.01,2321.59,210513.39,46398998.83,1729653.1,1415219.91,3144873.01,4741373.85,47447103.0,36359796.0,6892546.0,2962931.0,0.0,0.0,47447103.0,352735.0,,,,,,,0.0,2423.296862,149879.146151,152302.44301299998,98.83,1284.9190021870934,0.0203
09,Sertão Central,2015,2,404.0,349.0,55.0,753.0,986.5590969455511,10595261.0,61723.0,,,17597181.89,29562803.02,1099.18,2578.74,203688.96000000002,47367351.79,4116632.24,1921275.8199999998,6037908.06,7376681.245,46653917.0,32799893.0,5151613.0,1227066.0,469696.0,0.0,46653917.0,389124.0,,,,,,,0.0,2423.296862,149879.146151,152302.44301299998,98.83,1284.9190021870934,0.0203
10,Sertão de Canindé,2015,2,253.0,200.0,53.0,453.0,867.9779249448123,6821435.0,34970.0,,,9198526.85,16805025.47,447.73,1349.04,115453.16,26120802.25,1086077.3,724613.39,1810690.69,820508.36,40962665.0,32809564.0,3512721.0,184976.0,0.0,0.0,40962665.0,203895.0,,,,,,,0.0,2423.296862,149879.146151,152302.44301299998,98.83,1284.9190021870934,0.0203
11,Sertão de Sobral,2015,2,1409.0,2006.0,-597.0,3415.0,690.9370424597364,9913931.0,60306.0,,,23716494.32,38076002.6,2907.2599999999998,3377.38,353027.7,62151809.260000005,8778731.6,3590859.81,12369591.41,4434326.36,75158166.0,55969768.0,11687787.0,228103.0,0.0,0.0,75158166.0,485904.0,,,,,,,0.0,2423.296862,149879.146151,152302.44301299998,98.83,1284.9190021870934,0.0203
12,Sertão dos Crateús,2015,2,133.0,131.0,2.0,264.0,977.3598484848485,9809244.0,56387.0,,,17597181.91,28370483.74,1003.0899999999999,2472.99,230291.35,46201433.08,1684953.09,1139110.76,2824063.8499999996,2738966.315,62385162.0,48220485.0,6276427.0,431336.0,0.0,0.0,62385162.0,349155.0,,,,,,,0.0,2423.296862,149879.146151,152302.44301299998,98.83,1284.9190021870934,0.0203
13,Sertão dos Inhamuns,2015,2,60.0,182.0,-122.0,242.0,1052.1446280991736,3191080.0,20525.0,,,6598943.22,11991511.66,767.1,936.24,78336.42,18670494.64,338522.85,43779.09,382301.93999999994,127765.61,16829327.0,14003500.0,1482084.0,1704.0,41396.0,0.0,16829327.0,134452.0,,,,,,,0.0,2423.296862,149879.146151,152302.44301299998,98.83,1284.9190021870934,0.0203
14,Vale do Jaguaribe,2015,2,1135.0,1687.0,-552.0,2822.0,893.3245924875974,8666208.0,56129.0,,,18796989.8,28434355.79,1212.2199999999998,2678.59,225774.65000000002,47461011.05,4546735.65,2491765.7,7038501.35,6013407.775,52365494.0,35948018.0,8674923.0,3604356.0,505552.0,0.0,52365494.0,388005.0,,,,,,,0.0,2423.296862,149879.146151,152302.44301299998,98.83,1284.9190021870934,0.0203
01,Cariri,2015,3,2468.0,2673.0,-205.0,5141.0,1040.0015561174869,24830348.0,144516.0,,,30819181.72,45514804.88,2725.17,0.0,408685.88,76745397.65,3693567.5700000003,650867.6,4344435.17,6139255.035,184933766.0,134799247.0,23776905.0,4067956.0,0.0,0.0,184933766.0,1004530.0,,,,,,,1124466.87,53932.978862,253339.822057,1431739.670919,98.12,1432.1336631203985,0.0203
