uf,uf_nome,ano_bim,bimestre,admissoes,desligamentos,saldo,total_movimentacoes,salario_medio,rais_vinculos_ativos,credito_PF_nordeste_real,credito_PJ_nordeste_real,credito_total_nordeste_real,IBCR_NE_ajuste_sazonal,ibc_br,selic_mensal,ipca_mensal,inadimplencia_PF,inadimplencia_PJ,resultado_primario_real,dcl_real,investimento_publico_real,transferencias_federais_real,rais_remuneracao_media_real,credito_PF_brasil,credito_PF_brasil_real,credito_PF_nordeste,credito_PJ_brasil,credito_PJ_brasil_real,credito_PJ_nordeste,credito_total_nordeste,pib_trimestral_indice,resultado_primario_nominal,dcl_nominal,ano,investimento_publico_nominal,transferencias_federais_nominal
AL,Alagoas,2015,1,8848,9355,-507,18203,1045.2383123660934,694802.0,383549.180807768,305374.4696786171,248711.9955311034,102.8,101.08609,11.985,1.23,3.78,4.415,,16699510091.99423,761919415.0568312,8038855769.139284,,3033503.0,5398083.829970012,215539.0,1433769.0,2551375.507066344,171608.0,139766.0,173.86,,9384443731.93,2015.0,462422557.82,4517509149.610001
AL,Alagoas,2015,2,8504,21773,-13269,30277,1055.627175743964,694802.0,381879.12643604295,297192.4595310224,245223.54056787063,102.34,99.65606,12.63,1.015,3.71,4.475,,16365751537.547903,761919415.0568312,6313579108.110358,,3070707.0,5355077.961160497,218977.0,1453221.0,2534306.187401018,170416.0,140616.0,169.75,,9384443731.93,2015.0,462422557.82,3620330404.7
AL,Alagoas,2015,3,16600,27873,-11273,44473,1021.9351250321712,694802.0,382916.26661837305,290586.2207566146,242457.18555862745,101.87,97.92509,13.365,0.765,3.76,4.635,,16621141261.53176,761919415.0568312,6729072218.650282,,3109967.0,5341507.07328451,222944.0,1469882.0,2524587.9135995917,169187.0,141165.0,,,9677269002.27,2015.0,462422557.82,3917844206.419999
AL,Alagoas,2015,4,11215,8710,2505,19925,1012.2481806775407,694802.0,386035.2429442638,290178.33751299203,240468.32255355536,100.74,97.38494,13.92,0.42,3.835,4.84,,16482463745.266035,761919415.0568312,5480774505.382889,,3143987.0,5354883.875908807,226651.0,1486592.0,2531984.874891348,170371.0,141185.0,166.95,,9677269002.27,2015.0,462422557.82,3217900554.74
AL,Alagoas,2015,5,34940,17277,17663,52217,966.78538319826,694802.0,383584.5601030859,282952.1081041643,237974.15727586017,99.79,97.2129,14.15,0.6799999999999999,4.015000000000001,4.97,,17735952642.727467,761919415.0568312,5322613606.380732,,3166774.0,5321092.545440522,228285.0,1496614.0,2514742.6367659713,168395.0,141627.0,165.67,,10555304801.52,2015.0,462422557.82,3167679238.2000003
AL,Alagoas,2015,6,7679,8895,-1216,16574,1063.4260287196814,694802.0,383275.8709000191,283722.048971054,238435.86046511072,98.87,95.70125,14.15,0.985,4.215,5.25,,17391650826.971935,761919415.0568312,6841269582.68261,,3229576.0,5321272.968174295,232617.0,1518662.0,2502252.6326655606,172196.0,144711.0,,,10555304801.52,2015.0,462422557.82,4152089206.08
AL,Alagoas,2016,1,14672,26699,-12027,41371,1084.398031322039,663297.0,376267.36491359206,272079.3032488385,230986.51134218535,96.58,95.22152,14.15,1.085,4.3,5.455,,16826120443.381466,821158707.1135108,7188581057.825661,,3192287.0,5147542.983727597,233345.0,1522813.0,2455526.515529203,168732.0,143248.0,163.3,,10434843520.81,2016.0,529714100.51,4458051915.62
AL,Alagoas,2016,2,7220,14322,-7102,21542,1204.6664190882927,663297.0,373572.11154157226,263932.082410598,230762.2353080362,95.74,94.43174,14.15,0.52,4.275,5.58,,16652497672.572763,821158707.1135108,5866378516.918651,,3150823.0,5028256.779275196,234089.0,1526375.0,2435873.2437417707,165386.0,144601.0,163.75,,10434843520.81,2016.0,529714100.51,3676009633.0
AL,Alagoas,2016,3,6672,7576,-904,14248,1174.7949887703537,663297.0,373626.3998721669,256636.4826084246,226725.8568684735,96.01,94.35527,14.15,0.565,4.1850000000000005,5.705,,12304699576.957775,821158707.1135108,6817991745.376738,,3140231.0,4955224.17188037,236775.0,1536798.0,2425037.7112057707,162636.0,143681.0,,,7797749953.78,2016.0,529714100.51,4320706449.18
AL,Alagoas,2016,4,18156,15605,2551,33761,1157.9154409656317,663297.0,373425.62854301714,250092.40776679857,225157.25038362268,95.38,93.79533,14.15,0.48,4.109999999999999,5.73,,12187421482.522043,821158707.1135108,5238551629.986397,,3125535.0,4885026.145895989,238925.0,1546795.0,2417549.0011601807,160014.0,144060.0,162.86,,7797749953.78,2016.0,529714100.51,3351727499.47
