uf,ano,rais_vinculos_ativos,remuneracao_media,rais_remuneracao_media_real,ano_bim,bimestre
AL,2015,694802,,,2015,1
MA,2015,998534,,,2015,1
RN,2015,853661,,,2015,1
SE,2015,554872,,,2015,1
AL,2015,694802,,,2015,2
MA,2015,998534,,,2015,2
RN,2015,853661,,,2015,2
SE,2015,554872,,,2015,2
AL,2015,694802,,,2015,3
MA,2015,998534,,,2015,3
RN,2015,853661,,,2015,3
SE,2015,554872,,,2015,3
AL,2015,694802,,,2015,4
MA,2015,998534,,,2015,4
RN,2015,853661,,,2015,4
SE,2015,554872,,,2015,4
AL,2015,694802,,,2015,5
MA,2015,998534,,,2015,5
RN,2015,853661,,,2015,5
SE,2015,554872,,,2015,5
AL,2015,694802,,,2015,6
MA,2015,998534,,,2015,6
RN,2015,853661,,,2015,6
SE,2015,554872,,,2015,6
AL,2016,663297,,,2016,1
BA,2016,3100695,,,2016,1
CE,2016,2099010,,,2016,1
MA,2016,945011,,,2016,1
PB,2016,831623,,,2016,1
PI,2016,586489,,,2016,1
RN,2016,815252,,,2016,1
SE,2016,523722,,,2016,1
AL,2016,663297,,,2016,2
BA,2016,3100695,,,2016,2
CE,2016,2099010,,,2016,2
MA,2016,945011,,,2016,2
PB,2016,831623,,,2016,2
PI,2016,586489,,,2016,2
RN,2016,815252,,,2016,2
SE,2016,523722,,,2016,2
AL,2016,663297,,,2016,3
BA,2016,3100695,,,2016,3
CE,2016,2099010,,,2016,3
MA,2016,945011,,,2016,3
PB,2016,831623,,,2016,3
PI,2016,586489,,,2016,3
RN,2016,815252,,,2016,3
SE,2016,523722,,,2016,3
AL,2016,663297,,,2016,4
BA,2016,3100695,,,2016,4
CE,2016,2099010,,,2016,4
MA,2016,945011,,,2016,4
PB,2016,831623,,,2016,4
PI,2016,586489,,,2016,4
RN,2016,815252,,,2016,4
SE,2016,523722,,,2016,4
AL,2016,663297,,,2016,5
BA,2016,3100695,,,2016,5
CE,2016,2099010,,,2016,5
MA,2016,945011,,,2016,5
PB,2016,831623,,,2016,5
PI,2016,586489,,,2016,5
RN,2016,815252,,,2016,5
SE,2016,523722,,,2016,5
AL,2016,663297,,,2016,6
BA,2016,3100695,,,2016,6
CE,2016,2099010,,,2016,6
MA,2016,945011,,,2016,6
PB,2016,831623,,,2016,6
PI,2016,586489,,,2016,6
RN,2016,815252,,,2016,6
SE,2016,523722,,,2016,6
AL,2017,650052,,,2017,1
CE,2017,2045503,,,2017,1
MA,2017,929404,,,2017,1
PB,2017,822624,,,2017,1
PE,2017,2161116,,,2017,1
PI,2017,580445,,,2017,1
RN,2017,796016,,,2017,1
SE,2017,512116,,,2017,1
AL,2017,650052,,,2017,2
CE,2017,2045503,,,2017,2
MA,2017,929404,,,2017,2
PB,2017,822624,,,2017,2
PE,2017,2161116,,,2017,2
PI,2017,580445,,,2017,2
RN,2017,796016,,,2017,2
SE,2017,512116,,,2017,2
AL,2017,650052,,,2017,3
CE,2017,2045503,,,2017,3
MA,2017,929404,,,2017,3
PB,2017,822624,,,2017,3
PE,2017,2161116,,,2017,3
PI,2017,580445,,,2017,3
RN,2017,796016,,,2017,3
SE,2017,512116,,,2017,3
AL,2017,650052,,,2017,4
CE,2017,2045503,,,2017,4
MA,2017,929404,,,2017,4
PB,2017,822624,,,2017,4
PE,2017,2161116,,,2017,4
PI,2017,580445,,,2017,4
RN,2017,796016,,,2017,4
SE,2017,512116,,,2017,4
AL,2017,650052,,,2017,5
CE,2017,2045503,,,2017,5
MA,2017,929404,,,2017,5
PB,2017,822624,,,2017,5
PE,2017,2161116,,,2017,5
PI,2017,580445,,,2017,5
RN,2017,796016,,,2017,5
SE,2017,512116,,,2017,5
AL,2017,650052,,,2017,6
CE,2017,2045503,,,2017,6
MA,2017,929404,,,2017,6
PB,2017,822624,,,2017,6
PE,2017,2161116,,,2017,6
PI,2017,580445,,,2017,6
RN,2017,796016,,,2017,6
SE,2017,512116,,,2017,6
AL,2018,651772,,,2018,1
BA,2018,3076344,,,2018,1
CE,2018,2030898,,,2018,1
MA,2018,963863,,,2018,1
PB,2018,818996,,,2018,1
PE,2018,2148616,,,2018,1
PI,2018,580914,,,2018,1
RN,2018,794769,,,2018,1
SE,2018,511741,,,2018,1
AL,2018,651772,,,2018,2
BA,2018,3076344,,,2018,2
CE,2018,2030898,,,2018,2
MA,2018,963863,,,2018,2
PB,2018,818996,,,2018,2
PE,2018,2148616,,,2018,2
PI,2018,580914,,,2018,2
RN,2018,794769,,,2018,2
SE,2018,511741,,,2018,2
AL,2018,651772,,,2018,3
BA,2018,3076344,,,2018,3
CE,2018,2030898,,,2018,3
MA,2018,963863,,,2018,3
PB,2018,818996,,,2018,3
PE,2018,2148616,,,2018,3
PI,2018,580914,,,2018,3
RN,2018,794769,,,2018,3
SE,2018,511741,,,2018,3
AL,2018,651772,,,2018,4
BA,2018,3076344,,,2018,4
CE,2018,2030898,,,2018,4
MA,2018,963863,,,2018,4
PB,2018,818996,,,2018,4
PE,2018,2148616,,,2018,4
PI,2018,580914,,,2018,4
RN,2018,794769,,,2018,4
SE,2018,511741,,,2018,4
AL,2018,651772,,,2018,5
BA,2018,3076344,,,2018,5
CE,2018,2030898,,,2018,5
MA,2018,963863,,,2018,5
PB,2018,818996,,,2018,5
PE,2018,2148616,,,2018,5
