ano_bim,bimestre,uf,resultado_primario_nominal,resultado_primario_real
2023,1,AL,683382404.87,770870724.1745437
2023,1,BA,1766099691.48,1992200177.2852376
2023,1,CE,1466141416.87,1653840496.4931278
2023,1,MA,1360053956.34,1534171454.7650833
2023,1,PB,941995087.77,1062591647.5216533
2023,1,PE,2502621448.99,2823013286.51366
2023,1,PI,1279604388.99,1443422533.223241
2023,1,RN,102001407.02,115059881.46020174
2023,1,SE,510192694.1,575508834.8290803
2023,2,AL,610245079.44,679373028.3740426
2023,2,BA,792387062.19,882147871.7672479
2023,2,CE,1562120313.15,1739075731.3491256
2023,2,MA,1308952952.43,1457229826.592886
2023,2,PB,879959243.77,979640142.0136901
2023,2,PE,2850365616.47,3173252167.164526
2023,2,PI,945310601.0,1052394435.2731154
2023,2,RN,14576898.64,16228155.059350956
2023,2,SE,648563166.56,722031749.8701726
2023,3,AL,734363155.53,816328085.2257167
2023,3,BA,125710107.45,139741067.52961326
2023,3,CE,1867456065.87,2075889596.3327372
2023,3,MA,1025622281.84,1140095696.7878199
2023,3,PB,868789283.69,965758000.0829808
2023,3,PE,4329544633.73,4812780780.377405
2023,3,PI,1363733478.93,1515944708.323066
2023,3,RN,165490514.4,183961509.67796212
2023,3,SE,817444455.23,908682389.4843735
2023,4,AL,852254675.47,944071050.0838517
2023,4,BA,2504696996.97,2774536757.7682166
2023,4,CE,1174073801.1,1300560874.7985485
2023,4,MA,1156303907.78,1280876568.769674
2023,4,PB,768947273.12,851788650.1393167
2023,4,PE,4189619326.94,4640981658.744886
2023,4,PI,1454560948.55,1611265882.8785737
2023,4,RN,429878168.77,476190446.21258026
2023,4,SE,932408763.27,1032860417.881838
2023,5,AL,804448800.02,886675967.9040068
2023,5,BA,412757568.9,454947806.37998754
2023,5,CE,970986518.91,1070236429.5339389
2023,5,MA,2139679119.92,2358387574.9605093
2023,5,PB,681120068.52,750741123.6101037
2023,5,PE,2946979585.56,3248206693.023593
2023,5,PI,1009418523.41,1112596782.0979323
2023,5,RN,761008568.1,838795469.2536478
2023,5,SE,1011075113.25,1114422701.1617255
2023,6,AL,-173995670.22,-190180235.47268167
2023,6,BA,-1107853563.9,-1210902842.498052
2023,6,CE,451254747.98,493229136.7968618
2023,6,MA,1182751651.53,1292767729.8479304
2023,6,PB,284516310.88,310981180.9142219
2023,6,PE,1470780318.25,1607587975.607102
2023,6,PI,-78795008.98,-86124288.8569648
2023,6,RN,710502659.91,776591526.6443144
2023,6,SE,1053386469.11,1151369378.8229055
2024,1,AL,792020375.61,854974791.0789655
2024,1,BA,1759430952.98,1899280823.7835793
2024,1,CE,2147576301.09,2318278236.133017
2024,1,MA,1839910318.85,1986157160.7311943
2024,1,PB,874612979.26,944132338.31497
2024,1,PE,2436036577.93,2629667024.250889
2024,1,PI,793792460.54,856887731.6919315
2024,1,RN,341541025.81,368688705.7190924
2024,1,SE,719951776.55,777177757.9190282
2024,2,AL,1029028779.39,1104849107.4346921
2024,2,BA,4690958414.49,5036595011.788551
2024,2,CE,2448002143.25,2628374480.0327983
2024,2,MA,4083287345.41,4384149859.880444
2024,2,PB,1043566180.3,1120457645.059223
2024,2,PE,4613938379.47,4953900029.246975
2024,2,PI,555088837.8,595988585.8137453
