ano_bim,bimestre,uf,transferencias_federais_nominal,transferencias_federais_real
2015,1,AL,4517509149.610001,8038855769.139284
2015,1,BA,14142112256.66,25165726717.361767
2015,1,CE,7945643789.74,14139182080.946398
2015,1,MA,7827507460.42,13928959836.552935
2015,1,PB,4960367671.440001,8826917434.367552
2015,1,PE,9862304446.08,17549857757.393288
2015,1,PI,4395882430.87,7822422416.766562
2015,1,RN,4301565078.28,7654585768.541174
2015,1,SE,4157569208.0699997,7398346767.438139
2015,2,AL,3620330404.7000003,6313579108.110358
2015,2,BA,9280758072.49,16184931684.0889
2015,2,CE,6590708646.94,11493691395.388199
2015,2,MA,6196583871.78,10806367955.735165
2015,2,PB,4050062740.0099993,7062999407.089261
2015,2,PE,8202561181.930001,14304638837.383036
2015,2,PI,3528436893.28,6153323858.169908
2015,2,RN,3742705537.75,6526991972.962048
2015,2,SE,3108676844.8199997,5421294464.130095
2015,3,AL,3917844206.419999,6729072218.650282
2015,3,BA,11836297098.02,20329368340.74791
2015,3,CE,7206040040.239999,12376695265.677528
2015,3,MA,6724542006.590001,11549700910.909763
2015,3,PB,4480309865.450001,7695132082.368575
2015,3,PE,8984585670.15,15431426734.636372
2015,3,PI,1337862138.5199997,2297837911.458263
2015,3,RN,4217355607.46,7243496412.599774
2015,3,SE,4056787966.6099997,6967714325.734902
2015,4,AL,3217900554.7400002,5480774505.382889
2015,4,BA,10148635413.48,17285301796.13375
2015,4,CE,6010802906.16,10237685958.454021
2015,4,MA,5376207291.15,9156833580.07603
2015,4,PB,3652545753.8599997,6221068459.686408
2015,4,PE,7427678827.129999,12650929404.869572
2015,4,PI,5731614986.21,9762169077.853441
2015,4,RN,3523091768.7,6000580570.326363
2015,4,SE,2865243756.8999996,4880124375.314587
2015,5,AL,3167679238.2000003,5322613606.380732
2015,5,BA,9302059382.720001,15630139327.478521
2015,5,CE,6204288313.119999,10424991582.19266
2015,5,MA,5142316127.7699995,8640572397.580477
2015,5,PB,3515545130.370001,5907128511.971975
2015,5,PE,7221368890.120001,12133979933.236042
2015,5,PI,2990527871.4999995,5024948279.849071
2015,5,RN,3421406253.9200006,5748948081.756797
2015,5,SE,2908993113.8300004,4887946399.944748
2015,6,AL,4152089206.08,6841269582.68261
2015,6,BA,11653542461.779997,19201183215.797127
2015,6,CE,6909716667.630003,11384927470.727707
2015,6,MA,6172172151.580001,10169698073.4068
2015,6,PB,4239006286.9100003,6984480181.4402485
2015,6,PE,22817818839.809998,37596217765.111916
2015,6,PI,3772152859.350001,6215260158.695919
2015,6,RN,9169104822.759998,15107651789.494762
2015,6,SE,3640826699.800001,5998878087.852081
2016,1,AL,4458051915.62,7188581057.825661
2016,1,BA,13224261612.42,21324039811.580467
2016,1,CE,8688434778.64,14010047180.708742
2016,1,MA,7923573144.51,12776712540.593895
2016,1,PB,4864422164.679999,7843850563.463605
2016,1,PE,13236347354.94,21343527996.418472
2016,1,PI,4390433159.889999,7079546233.692883
2016,1,RN,4696037886.62,7572331959.685879
2016,1,SE,4042629455.03,6518714917.252176
2016,2,AL,3676009633.0,5866378516.918651
2016,2,BA,11495183961.19,18344647313.374672
2016,2,CE,7057228730.440001,11262314070.555729
2016,2,MA,6346158414.4800005,10127548919.746805
2016,2,PB,3944911148.5099998,6295506356.952994
2016,2,PE,8095310988.430001,12918942878.706339
2016,2,PI,3556567184.76,5675765683.352308
2016,2,RN,2760358369.75,4405131829.342513
2016,2,SE,3164820399.25,5050594599.4799595
2016,3,AL,4320706449.18,6817991745.376738
2016,3,BA,12583710156.42,19856852804.46849
2016,3,CE,8017240700.84,12651051757.843765
2016,3,MA,7388166252.469999,11658384367.299776
2016,3,PB,4797889519.389999,7570977460.095392
2016,3,PE,9198325957.079998,14514781595.162088
2016,3,PI,4257754852.62,6718655335.751912
2016,3,RN,4424665999.09,6982037917.334099
2016,3,SE,3916749860.45,6180556011.233219
2016,4,AL,3351727499.47,5238551629.986397
2016,4,BA,10797018052.21,16875099937.372906
2016,4,CE,6760408229.46,10566117787.144444
2016,4,MA,6142891028.340001,9600974964.23198
2016,4,PB,3759154645.8400006,5875336136.499761
2016,4,PE,7425231824.5,11605197702.800152
2016,4,PI,3319097405.5500007,5187552725.177383
2016,4,RN,3443668449.1899996,5382249890.687591
2016,4,SE,2930129888.4700017,4579619526.272223
2016,5,AL,3428866540.2800007,5340945061.090748
2016,5,BA,10479466803.65,16323253124.704117
2016,5,CE,6469872120.42,10077741767.290876
2016,5,MA,5679573657.949998,8846740029.447767
2016,5,PB,3610479144.410001,5623832402.917924
2016,5,PE,7217257862.400001,11241900867.817362
2016,5,PI,3173792449.1899986,4943631053.381334
2016,5,RN,3366689361.3900003,5244095302.546927
2016,5,SE,2945150953.199999,4587489554.602421
2016,6,AL,9262651598.54,14358890963.59143
2016,6,BA,32312348018.61,50090352318.765015
2016,6,CE,10880291776.38,16866544272.670914
2016,6,MA,10036110378.55,15557900790.188663
2016,6,PB,6508653833.8,10089664900.4942
2016,6,PE,11400717376.909998,17673304018.859543
2016,6,PI,6005004451.1100025,9308911517.622097
2016,6,RN,5995602528.219999,9294336729.378206
2016,6,SE,5171480630.87,8016789329.601025
2017,1,AL,4361611747.95,6713586192.366681
2017,1,BA,13105560155.57,20172659280.14332
2017,1,CE,8613709424.94,13258603470.956825
2017,1,MA,8195111202.5199995,12614278526.741186
2017,1,PB,5167481407.12,7954016503.293332
2017,1,PE,9724303072.67,14968078456.261211
2017,1,PI,4704946662.6,7242062516.155705
2017,1,RN,4424205610.45,6809933440.88196
2017,1,SE,4197020066.29,6460239378.109234
2017,2,AL,3450129525.609999,5289943048.752382
2017,2,BA,10925022832.41,16750892440.63969
2017,2,CE,6866731215.4800005,10528479232.836065
2017,2,MA,6158346023.42,9442341076.352106
2017,2,PB,4041177388.85,6196172659.09537
2017,2,PE,8180386132.830001,12542652801.367924
2017,2,PI,3952299437.6400003,6059899717.2534075
2017,2,RN,3798516805.1399994,5824111071.7044
2017,2,SE,3534243964.859999,5418912291.764083
2017,3,AL,4104115648.4800005,6287688009.388066
2017,3,BA,12277124378.37,18809101486.268497
2017,3,CE,7971448906.439999,12212614847.9845
2017,3,MA,7286026933.659999,11162517850.543392
2017,3,PB,4893773571.9,7497479126.8594
2017,3,PE,9343587744.799997,14314792676.323023
2017,3,PI,4628525640.2,7091107478.857045
2017,3,RN,4420808933.34,6772876230.291496
2017,3,SE,4134772492.7100005,6334655660.492644
2017,4,AL,3352443557.089999,5114079018.851577
2017,4,BA,10183478566.49,15534672900.210482
2017,4,CE,6394933293.940001,9755330292.23674
2017,4,MA,5887922167.400001,8981895953.848293
2017,4,PB,3860532943.7200007,5889158219.326212
2017,4,PE,7916955337.12,12077141491.949501
2017,4,PI,3694125919.0400004,5635307957.86373
2017,4,RN,4199333249.8900003,6405990645.542648
2017,4,SE,3198164503.0400004,4878729710.226606
2017,5,AL,6825838067.510001,10352551691.683558
2017,5,BA,28692170403.86,43516587166.98944
2017,5,CE,16426634036.98,24913801983.91365
2017,5,MA,11339303785.97,17197994946.68945
2017,5,PB,3836776224.2699995,5819127819.665264
2017,5,PE,21959811138.48,33305812077.908546
2017,5,PI,3592293297.52,5448327617.275355
2017,5,RN,3530235345.9199996,5354206112.27262
2017,5,SE,3123282690.099999,4736992758.575039
2017,6,AL,6318584351.34,9514592328.599674
2017,6,BA,18765527786.819996,28257333730.891273
2017,6,CE,12179888865.720001,18340607756.60923
2017,6,MA,9803804948.230001,14762675017.820202
2017,6,PB,5869698337.78,8838654937.635206
2017,6,PE,19313339019.96,29082233782.316437
2017,6,PI,5438111418.979999,8188766709.765366
2017,6,RN,6082490418.880001,9159079543.819574
2017,6,SE,4668701338.18,7030180728.275
2018,1,AL,1588485918.07,2377434778.922294
2018,1,BA,8383562473.929999,12547403014.44126
2018,1,CE,3046858975.1400003,4560133905.858249
2018,1,MA,2984217189.5,4466379999.6383705
2018,1,PB,1716540204.7,2569089430.160336
2018,1,PE,3037366484.7999997,4545926806.874128
2018,1,PI,1843379172.85,2758925154.0859275
2018,1,RN,1869386781.02,2797849888.3102427
2018,1,SE,1502695251.19,2249034701.32182
2018,2,AL,1141103327.86,1702570588.2262595
2018,2,BA,4075740231.370001,6081163093.437596
2018,2,CE,2576085764.74,3843620247.8000154
2018,2,MA,2183024737.8900003,3257157893.906218
2018,2,PB,1306559529.69,1949437682.5530121
2018,2,PE,2585814987.5299997,3858136626.9605417
2018,2,PI,1114061262.89,1662222774.5456443
2018,2,RN,1206803309.87,1800597519.0801008
2018,2,SE,1149310055.9099998,1714815345.9641106
2018,3,AL,3033881021.3200006,4452532151.218589
2018,3,BA,4665278672.29,6846775841.502131
2018,3,CE,2997194473.4900002,4398690872.479443
2018,3,MA,2507621376.2299995,3680192045.200646
2018,3,PB,1646175264.0300002,2415931355.951887
2018,3,PE,15902167431.109999,23338064763.75007
2018,3,PI,1549111908.5000002,2273480907.774967
2018,3,RN,1487211397.7300003,2182635547.510852
2018,3,SE,1388952206.27,2038430087.2261755
2018,4,AL,1061570381.6700001,1554238063.5946467
2018,4,BA,3701932561.59,5419974591.823346
2018,4,CE,2411180563.4099994,3530193263.2634153
2018,4,MA,2149626106.43,3147253140.064392
2018,4,PB,1224296889.3799994,1792484850.247489
2018,4,PE,2419341151.0800004,3542141124.843788
2018,4,PI,1190549752.4899998,1743075893.8584988
2018,4,RN,1124599711.4800003,1646518881.9040782
2018,4,SE,1096549563.3700001,1605450848.51241
2018,5,AL,993382295.8299994,1440972178.9774702
2018,5,BA,3784100237.079998,5489108460.039917
2018,5,CE,2243495834.85,3254351416.611037
2018,5,MA,2064378819.3000007,2994529354.8806415
2018,5,PB,1155589180.97,1676264885.2261174
2018,5,PE,2249527909.81,3263101373.435669
2018,5,PI,1096185724.2900002,1590095916.068626
2018,5,RN,1165196086.7499998,1690200390.2307348
2018,5,SE,983139980.4799998,1426114966.8753238
2018,6,AL,2200008133.1600003,3193195365.943538
2018,6,BA,4720013228.1900015,6850849385.633782
2018,6,CE,16386258975.48,23783787631.04692
2018,6,MA,2751359249.7299995,3993452330.4077125
2018,6,PB,1779186711.7600005,2582395345.502648
2018,6,PE,7804687747.490003,11328091188.51966
2018,6,PI,1612303657.1600003,2340173424.332838
2018,6,RN,1555109581.5399995,2257159250.6684494
2018,6,SE,1527526803.85,2217124308.7189183
2019,1,AL,1572222044.65,2264978579.7120123
2019,1,BA,4610604256.75,6642140603.869043
2019,1,CE,3099132399.63,4464680116.106676
2019,1,MA,2344127079.2,3377002402.7953596
2019,1,PB,1824821974.96,2628879743.2504373
2019,1,PE,3430433979.81,4941960653.601932
2019,1,PI,1774629336.48,2556571094.8611846
2019,1,RN,1680664647.4299998,2421203442.0084805
2019,1,SE,1577849803.78,2273086056.594558
2019,2,AL,1361627217.71,1935953567.4955084
2019,2,BA,3818571791.9100003,5429222908.542326
2019,2,CE,2513577489.52,3573789686.8693814
2019,2,MA,2707118442.4800005,3848965075.159243
2019,2,PB,1463461306.63,2080740676.0176864
2019,2,PE,2829727416.2000003,4023289792.6684895
2019,2,PI,1449846782.42,2061383625.5920706
2019,2,RN,1345907095.4200003,1913602790.1072788
2019,2,SE,1264026041.24,1797184788.991921
2019,3,AL,1395523117.7800002,1981372379.8904278
2019,3,BA,4004281858.72,5685304223.971212
2019,3,CE,12928661421.28,18356193690.169647
2019,3,MA,2711050939.77,3849166942.5594435
2019,3,PB,1606212357.9799995,2280510270.158032
2019,3,PE,10079610300.31,14311093234.244602
2019,3,PI,1530148494.7,2172514325.2033515
2019,3,RN,1518749820.2,2156330416.4354415
2019,3,SE,1425800764.03,2024360769.8665657
2019,4,AL,1176755299.8699996,1665763702.3208036
2019,4,BA,3597101683.989999,5091900941.010868
2019,4,CE,2337599862.9500003,3309004856.5597005
2019,4,MA,2168776219.12,3070025437.459895
2019,4,PB,1319242759.9900002,1867462763.400028
2019,4,PE,2523350307.0699997,3571945119.1098213
2019,4,PI,1364896480.4399996,1932088187.5726757
2019,4,RN,1366177713.0400002,1933901844.8041723
2019,4,SE,1242058382.1599998,1758203909.847694
2019,5,AL,1134264963.9500003,1604654077.3352194
2019,5,BA,3469839953.7100015,4908811438.582742
2019,5,CE,2337112434.7399993,3306332397.4465084
2019,5,MA,1960149298.2400007,2773039513.318898
2019,5,PB,1259884957.28,1782369726.586899
2019,5,PE,2468640800.54,3492406670.3670225
2019,5,PI,1250996480.9500003,1769795125.2040246
2019,5,RN,1217488897.9799998,1722391668.9188054
2019,5,SE,1130392036.8299997,1599175015.1303103
2019,6,AL,2053612429.6200004,2857657860.428662
2019,6,BA,5456932045.62,7593470184.087543
2019,6,CE,7763645940.109998,10803325654.999887
2019,6,MA,3435401422.359999,4780455034.619862
2019,6,PB,2172326175.5699997,3022851284.6414866
2019,6,PE,15886202259.869999,22106084919.18671
2019,6,PI,2251194145.7,3132598222.0515566
2019,6,RN,1961680952.7199998,2729732696.0719604
2019,6,SE,1941974047.0500007,2702309997.8644805
2020,1,AL,1801625904.44,2495519229.0865426
2020,1,BA,4744468789.41,6571793326.56954
2020,1,CE,3239661759.37,4487412284.825647
2020,1,MA,3326876740.77,4608217976.2912
2020,1,PB,1976634831.58,2737932563.5436907
2020,1,PE,22579726640.149998,31276272104.628014
2020,1,PI,1905413123.01,2639279928.2619624
2020,1,RN,1824511946.16,2527219793.0322466
2020,1,SE,1675701670.99,2321095479.2903075
2020,2,AL,1289125146.08,1789929341.0116553
