cod_ibge,regiao_codigo,regiao_nome,ano,populacao
2300101,01,Cariri,2015,11357
2300606,01,Cariri,2015,7344
2300804,01,Cariri,2015,7227
2301307,01,Cariri,2015,21289
2301604,01,Cariri,2015,23126
2301703,01,Cariri,2015,24602
2301901,01,Cariri,2015,58855
2302008,01,Cariri,2015,22279
2302503,01,Cariri,2015,48056
2302701,01,Cariri,2015,27123
2303204,01,Cariri,2015,26858
2304202,01,Cariri,2015,128680
2304301,01,Cariri,2015,18861
2304806,01,Cariri,2015,4494
2307106,01,Cariri,2015,27072
2307205,01,Cariri,2015,7807
2307304,01,Cariri,2015,266022
2307502,01,Cariri,2015,31383
2308104,01,Cariri,2015,46113
2308302,01,Cariri,2015,28354
2308401,01,Cariri,2015,35240
2309201,01,Cariri,2015,15181
2310605,01,Cariri,2015,8817
2311108,01,Cariri,2015,15010
2311207,01,Cariri,2015,10790
2311959,01,Cariri,2015,16161
2312106,01,Cariri,2015,17468
2313252,01,Cariri,2015,8899
2314003,01,Cariri,2015,40062
2300309,02,Centro Sul,2015,53135
2301802,02,Centro Sul,2015,6198
2303303,02,Centro Sul,2015,18810
2303600,02,Centro Sul,2015,20079
2303808,02,Centro Sul,2015,25013
2305407,02,Centro Sul,2015,67198
2305506,02,Centro Sul,2015,101386
2305704,02,Centro Sul,2015,12305
2307403,02,Centro Sul,2015,24479
2309508,02,Centro Sul,2015,21394
2311355,02,Centro Sul,2015,14949
2311900,02,Centro Sul,2015,15753
2313708,02,Centro Sul,2015,7665
2301000,03,Grande Fortaleza,2015,77717
2303501,03,Grande Fortaleza,2015,70047
2303709,03,Grande Fortaleza,2015,353932
2303956,03,Grande Fortaleza,2015,19192
2304285,03,Grande Fortaleza,2015,51127
2304400,03,Grande Fortaleza,2015,2591188
2304954,03,Grande Fortaleza,2015,25841
2305233,03,Grande Fortaleza,2015,63365
2306256,03,Grande Fortaleza,2015,38540
2307650,03,Grande Fortaleza,2015,221504
2307700,03,Grande Fortaleza,2015,123570
2309607,03,Grande Fortaleza,2015,68800
2309706,03,Grande Fortaleza,2015,80378
2310209,03,Grande Fortaleza,2015,33426
2310258,03,Grande Fortaleza,2015,31986
2310852,03,Grande Fortaleza,2015,20207
2312403,03,Grande Fortaleza,2015,47297
2312601,03,Grande Fortaleza,2015,12760
2313500,03,Grande Fortaleza,2015,54418
2301109,04,Litoral Leste,2015,72727
2302206,04,Litoral Leste,2015,52310
2304459,04,Litoral Leste,2015,15951
2305357,04,Litoral Leste,2015,19418
2306207,04,Litoral Leste,2015,7656
2307007,04,Litoral Leste,2015,33469
2300200,05,Litoral Norte,2015,61210
2302057,05,Litoral Norte,2015,14828
2302305,05,Litoral Norte,2015,32103
2302602,05,Litoral Norte,2015,62473
2303907,05,Litoral Norte,2015,12910
2304251,05,Litoral Norte,2015,23677
2304707,05,Litoral Norte,2015,53918
2306553,05,Litoral Norte,2015,40398
2307254,05,Litoral Norte,2015,18926
2307809,05,Litoral Norte,2015,26484
2307908,05,Litoral Norte,2015,10895
2308906,05,Litoral Norte,2015,21905
2313906,05,Litoral Norte,2015,13519
2300754,06,Litoral Oeste / Vale do Curu,2015,42098
2300903,06,Litoral Oeste / Vale do Curu,2015,14565
2304608,06,Litoral Oeste / Vale do Curu,2015,6763
2306108,06,Litoral Oeste / Vale do Curu,2015,23543
2306306,06,Litoral Oeste / Vale do Curu,2015,51113
2306405,06,Litoral Oeste / Vale do Curu,2015,124950
2308377,06,Litoral Oeste / Vale do Curu,2015,13428
2310704,06,Litoral Oeste / Vale do Curu,2015,36773
2313351,06,Litoral Oeste / Vale do Curu,2015,18510
2313559,06,Litoral Oeste / Vale do Curu,2015,15594
2313757,06,Litoral Oeste / Vale do Curu,2015,19521
2313807,06,Litoral Oeste / Vale do Curu,2015,21206
2300150,07,Maciço do Baturité,2015,16288
2301208,07,Maciço do Baturité,2015,26134
2301406,07,Maciço do Baturité,2015,11358
2301950,07,Maciço do Baturité,2015,20687
2302107,07,Maciço do Baturité,2015,34949
2302909,07,Maciço do Baturité,2015,17573
2305100,07,Maciço do Baturité,2015,3720
2306504,07,Maciço do Baturité,2015,19724
2309102,07,Maciço do Baturité,2015,12526
2309458,07,Maciço do Baturité,2015,25123
2309805,07,Maciço do Baturité,2015,11910
2310100,07,Maciço do Baturité,2015,12895
2311603,07,Maciço do Baturité,2015,27272
2303402,08,Serra da Ibiapaba,2015,17463
2304236,08,Serra da Ibiapaba,2015,17728
2305001,08,Serra da Ibiapaba,2015,39151
2305308,08,Serra da Ibiapaba,2015,24649
2305803,08,Serra da Ibiapaba,2015,41391
2312304,08,Serra da Ibiapaba,2015,46171
2313401,08,Serra da Ibiapaba,2015,73468
2313609,08,Serra da Ibiapaba,2015,33792
2314102,08,Serra da Ibiapaba,2015,58922
2301851,09,Sertão Central,2015,17906
2303931,09,Sertão Central,2015,13294
2304269,09,Sertão Central,2015,9444
2305266,09,Sertão Central,2015,13188
2305332,09,Sertão Central,2015,12130
2308351,09,Sertão Central,2015,13170
2308500,09,Sertão Central,2015,43619
2310506,09,Sertão Central,2015,42746
2310902,09,Sertão Central,2015,16461
2311306,09,Sertão Central,2015,85351
2311405,09,Sertão Central,2015,77174
2312700,09,Sertão Central,2015,26547
2313005,09,Sertão Central,2015,18094
2302404,10,Sertão de Canindé,2015,53838
2302800,10,Sertão de Canindé,2015,76998
2303006,10,Sertão de Canindé,2015,21800
2306603,10,Sertão de Canindé,2015,20285
2307635,10,Sertão de Canindé,2015,19425
2310407,10,Sertão de Canindé,2015,11549
2300507,11,Sertão de Sobral,2015,11321
2303105,11,Sertão de Sobral,2015,18645
2304004,11,Sertão de Sobral,2015,22889
2304350,11,Sertão de Sobral,2015,23544
2304509,11,Sertão de Sobral,2015,13541
2304657,11,Sertão de Sobral,2015,15294
2304905,11,Sertão de Sobral,2015,10847
2308005,11,Sertão de Sobral,2015,37560
2308203,11,Sertão de Sobral,2015,14674
2308807,11,Sertão de Sobral,2015,8520
2309003,11,Sertão de Sobral,2015,14357
2309904,11,Sertão de Sobral,2015,6168
2310951,11,Sertão de Sobral,2015,10674
2311702,11,Sertão de Sobral,2015,19015
2312007,11,Sertão de Sobral,2015,31596
2312809,11,Sertão de Sobral,2015,7367
2312908,11,Sertão de Sobral,2015,201756
2313955,11,Sertão de Sobral,2015,18136
2301257,12,Sertão dos Crateús,2015,10775
2303659,12,Sertão dos Crateús,2015,10294
2304103,12,Sertão dos Crateús,2015,74271
2305209,12,Sertão dos Crateús,2015,20055
2305605,12,Sertão dos Crateús,2015,25957
2305654,12,Sertão dos Crateús,2015,11499
2305902,12,Sertão dos Crateús,2015,38022
2308609,12,Sertão dos Crateús,2015,17012
2309300,12,Sertão dos Crateús,2015,31870
2309409,12,Sertão dos Crateús,2015,28220
2311009,12,Sertão dos Crateús,2015,12224
2312205,12,Sertão dos Crateús,2015,43359
2313203,12,Sertão dos Crateús,2015,25597
2300408,13,Sertão dos Inhamuns,2015,16997
2301505,13,Sertão dos Inhamuns,2015,7771
2310308,13,Sertão dos Inhamuns,2015,31293
2311264,13,Sertão dos Inhamuns,2015,20690
2313302,13,Sertão dos Inhamuns,2015,57701
2300705,14,Vale do Jaguaribe,2015,16876
2304277,14,Vale do Jaguaribe,2015,7104
2306009,14,Vale do Jaguaribe,2015,14071
2306702,14,Vale do Jaguaribe,2015,17997
2306801,14,Vale do Jaguaribe,2015,11102
2306900,14,Vale do Jaguaribe,2015,34561
2307601,14,Vale do Jaguaribe,2015,58175
2308708,14,Vale do Jaguaribe,2015,61903
2310001,14,Vale do Jaguaribe,2015,9209
2310803,14,Vale do Jaguaribe,2015,16115
2311231,14,Vale do Jaguaribe,2015,6318
2311504,14,Vale do Jaguaribe,2015,21572
2311801,14,Vale do Jaguaribe,2015,75018
2312502,14,Vale do Jaguaribe,2015,7721
2313104,14,Vale do Jaguaribe,2015,30263
2300101,01,Cariri,2016,11483
2300606,01,Cariri,2016,7413
2300804,01,Cariri,2016,7253
2301307,01,Cariri,2016,21345
2301604,01,Cariri,2016,23191
2301703,01,Cariri,2016,24548
2301901,01,Cariri,2016,59343
2302008,01,Cariri,2016,22361
2302503,01,Cariri,2016,48451
2302701,01,Cariri,2016,27167
2303204,01,Cariri,2016,26876
2304202,01,Cariri,2016,129662
2304301,01,Cariri,2016,18789
2304806,01,Cariri,2016,4459
2307106,01,Cariri,2016,27074
2307205,01,Cariri,2016,7827
2307304,01,Cariri,2016,268248
2307502,01,Cariri,2016,31359
2308104,01,Cariri,2016,46335
2308302,01,Cariri,2016,28292
2308401,01,Cariri,2016,35326
2309201,01,Cariri,2016,15310
2310605,01,Cariri,2016,8888
2311108,01,Cariri,2016,14965
2311207,01,Cariri,2016,10856
2311959,01,Cariri,2016,16248
2312106,01,Cariri,2016,17479
2313252,01,Cariri,2016,8875
2314003,01,Cariri,2016,40255
2300309,02,Centro Sul,2016,53358
2301802,02,Centro Sul,2016,6214
2303303,02,Centro Sul,2016,18807
2303600,02,Centro Sul,2016,20269
2303808,02,Centro Sul,2016,25038
2305407,02,Centro Sul,2016,67345
2305506,02,Centro Sul,2016,102013
2305704,02,Centro Sul,2016,12327
2307403,02,Centro Sul,2016,24540
2309508,02,Centro Sul,2016,21342
2311355,02,Centro Sul,2016,14903
2311900,02,Centro Sul,2016,15715
2313708,02,Centro Sul,2016,7668
2301000,03,Grande Fortaleza,2016,78438
2303501,03,Grande Fortaleza,2016,70574
2303709,03,Grande Fortaleza,2016,358164
2303956,03,Grande Fortaleza,2016,19194
2304285,03,Grande Fortaleza,2016,51913
2304400,03,Grande Fortaleza,2016,2609716
2304954,03,Grande Fortaleza,2016,26091
2305233,03,Grande Fortaleza,2016,64673
2306256,03,Grande Fortaleza,2016,38933
2307650,03,Grande Fortaleza,2016,223188
2307700,03,Grande Fortaleza,2016,125058
2309607,03,Grande Fortaleza,2016,69877
2309706,03,Grande Fortaleza,2016,81627
2310209,03,Grande Fortaleza,2016,33665
2310258,03,Grande Fortaleza,2016,32256
2310852,03,Grande Fortaleza,2016,20430
2312403,03,Grande Fortaleza,2016,47791
2312601,03,Grande Fortaleza,2016,12805
2313500,03,Grande Fortaleza,2016,54820
2301109,04,Litoral Leste,2016,73188
2302206,04,Litoral Leste,2016,52719
2304459,04,Litoral Leste,2016,16115
2305357,04,Litoral Leste,2016,19554
2306207,04,Litoral Leste,2016,7698
2307007,04,Litoral Leste,2016,33607
2300200,05,Litoral Norte,2016,61715
2302057,05,Litoral Norte,2016,14854
2302305,05,Litoral Norte,2016,32243
2302602,05,Litoral Norte,2016,62734
2303907,05,Litoral Norte,2016,12931
2304251,05,Litoral Norte,2016,23833
2304707,05,Litoral Norte,2016,54146
2306553,05,Litoral Norte,2016,40822
2307254,05,Litoral Norte,2016,19224
2307809,05,Litoral Norte,2016,26738
2307908,05,Litoral Norte,2016,10990
2308906,05,Litoral Norte,2016,22067
2313906,05,Litoral Norte,2016,13600
2300754,06,Litoral Oeste / Vale do Curu,2016,42508
2300903,06,Litoral Oeste / Vale do Curu,2016,14644
2304608,06,Litoral Oeste / Vale do Curu,2016,6845
2306108,06,Litoral Oeste / Vale do Curu,2016,23704
2306306,06,Litoral Oeste / Vale do Curu,2016,51538
2306405,06,Litoral Oeste / Vale do Curu,2016,126234
2308377,06,Litoral Oeste / Vale do Curu,2016,13507
2310704,06,Litoral Oeste / Vale do Curu,2016,36928
2313351,06,Litoral Oeste / Vale do Curu,2016,18709
2313559,06,Litoral Oeste / Vale do Curu,2016,15768
2313757,06,Litoral Oeste / Vale do Curu,2016,19602
2313807,06,Litoral Oeste / Vale do Curu,2016,21411
2300150,07,Maciço do Baturité,2016,16418
2301208,07,Maciço do Baturité,2016,26203
2301406,07,Maciço do Baturité,2016,11300
2301950,07,Maciço do Baturité,2016,20835
2302107,07,Maciço do Baturité,2016,35154
2302909,07,Maciço do Baturité,2016,17621
2305100,07,Maciço do Baturité,2016,3632
2306504,07,Maciço do Baturité,2016,19872
2309102,07,Maciço do Baturité,2016,12682
2309458,07,Maciço do Baturité,2016,25261
2309805,07,Maciço do Baturité,2016,11936
2310100,07,Maciço do Baturité,2016,13022
2311603,07,Maciço do Baturité,2016,27358
2303402,08,Serra da Ibiapaba,2016,17549
2304236,08,Serra da Ibiapaba,2016,17802
2305001,08,Serra da Ibiapaba,2016,39301
2305308,08,Serra da Ibiapaba,2016,24739
2305803,08,Serra da Ibiapaba,2016,41485
2312304,08,Serra da Ibiapaba,2016,46414
2313401,08,Serra da Ibiapaba,2016,74107
2313609,08,Serra da Ibiapaba,2016,34068
2314102,08,Serra da Ibiapaba,2016,59487
2301851,09,Sertão Central,2016,17968
2303931,09,Sertão Central,2016,13340
2304269,09,Sertão Central,2016,9483
2305266,09,Sertão Central,2016,13203
2305332,09,Sertão Central,2016,12242
2308351,09,Sertão Central,2016,13152
2308500,09,Sertão Central,2016,43678
2310506,09,Sertão Central,2016,42795
2310902,09,Sertão Central,2016,16599
2311306,09,Sertão Central,2016,85991
2311405,09,Sertão Central,2016,77931
2312700,09,Sertão Central,2016,26496
2313005,09,Sertão Central,2016,18127
2302404,10,Sertão de Canindé,2016,53945
2302800,10,Sertão de Canindé,2016,77261
2303006,10,Sertão de Canindé,2016,22065
2306603,10,Sertão de Canindé,2016,20484
2307635,10,Sertão de Canindé,2016,19616
2310407,10,Sertão de Canindé,2016,11564
2300507,11,Sertão de Sobral,2016,11391
2303105,11,Sertão de Sobral,2016,18653
2304004,11,Sertão de Sobral,2016,23000
2304350,11,Sertão de Sobral,2016,23801
2304509,11,Sertão de Sobral,2016,13606
2304657,11,Sertão de Sobral,2016,15300
2304905,11,Sertão de Sobral,2016,10931
2308005,11,Sertão de Sobral,2016,37892
2308203,11,Sertão de Sobral,2016,14814
2308807,11,Sertão de Sobral,2016,8579
2309003,11,Sertão de Sobral,2016,14367
2309904,11,Sertão de Sobral,2016,6186
2310951,11,Sertão de Sobral,2016,10730
2311702,11,Sertão de Sobral,2016,18889
2312007,11,Sertão de Sobral,2016,31814
2312809,11,Sertão de Sobral,2016,7442
2312908,11,Sertão de Sobral,2016,203682
2313955,11,Sertão de Sobral,2016,18188
2301257,12,Sertão dos Crateús,2016,10800
2303659,12,Sertão dos Crateús,2016,10331
2304103,12,Sertão dos Crateús,2016,74350
2305209,12,Sertão dos Crateús,2016,20136
2305605,12,Sertão dos Crateús,2016,25962
2305654,12,Sertão dos Crateús,2016,11499
2305902,12,Sertão dos Crateús,2016,37957
2308609,12,Sertão dos Crateús,2016,17025
2309300,12,Sertão dos Crateús,2016,31954
2309409,12,Sertão dos Crateús,2016,28288
2311009,12,Sertão dos Crateús,2016,12234
2312205,12,Sertão dos Crateús,2016,43359
2313203,12,Sertão dos Crateús,2016,25560
2300408,13,Sertão dos Inhamuns,2016,17098
2301505,13,Sertão dos Inhamuns,2016,7774
2310308,13,Sertão dos Inhamuns,2016,31213
2311264,13,Sertão dos Inhamuns,2016,20777
2313302,13,Sertão dos Inhamuns,2016,57914
2300705,14,Vale do Jaguaribe,2016,16927
2304277,14,Vale do Jaguaribe,2016,7134
2306009,14,Vale do Jaguaribe,2016,14098
2306702,14,Vale do Jaguaribe,2016,17977
2306801,14,Vale do Jaguaribe,2016,11200
2306900,14,Vale do Jaguaribe,2016,34503
2307601,14,Vale do Jaguaribe,2016,58552
2308708,14,Vale do Jaguaribe,2016,61722
2310001,14,Vale do Jaguaribe,2016,9248
2310803,14,Vale do Jaguaribe,2016,16139
2311231,14,Vale do Jaguaribe,2016,6337
2311504,14,Vale do Jaguaribe,2016,21728
2311801,14,Vale do Jaguaribe,2016,75762
2312502,14,Vale do Jaguaribe,2016,7670
2313104,14,Vale do Jaguaribe,2016,30378
2300101,01,Cariri,2017,11605
2300606,01,Cariri,2017,7479
2300804,01,Cariri,2017,7278
2301307,01,Cariri,2017,21398
2301604,01,Cariri,2017,23254
2301703,01,Cariri,2017,24496
2301901,01,Cariri,2017,59811
2302008,01,Cariri,2017,22440
2302503,01,Cariri,2017,48830
2302701,01,Cariri,2017,27209
2303204,01,Cariri,2017,26892
2304202,01,Cariri,2017,130604
2304301,01,Cariri,2017,18720
2304806,01,Cariri,2017,4425
2307106,01,Cariri,2017,27076
2307205,01,Cariri,2017,7847
2307304,01,Cariri,2017,270383
2307502,01,Cariri,2017,31335
2308104,01,Cariri,2017,46548
2308302,01,Cariri,2017,28231
2308401,01,Cariri,2017,35409
2309201,01,Cariri,2017,15433
2310605,01,Cariri,2017,8956
2311108,01,Cariri,2017,14921
2311207,01,Cariri,2017,10918
2311959,01,Cariri,2017,16331
2312106,01,Cariri,2017,17489
2313252,01,Cariri,2017,8852
2314003,01,Cariri,2017,40440
2300309,02,Centro Sul,2017,53572
2301802,02,Centro Sul,2017,6228
2303303,02,Centro Sul,2017,18804
2303600,02,Centro Sul,2017,20451
2303808,02,Centro Sul,2017,25063
2305407,02,Centro Sul,2017,67486
2305506,02,Centro Sul,2017,102614
2305704,02,Centro Sul,2017,12349
2307403,02,Centro Sul,2017,24597
2309508,02,Centro Sul,2017,21292
2311355,02,Centro Sul,2017,14860
2311900,02,Centro Sul,2017,15678
2313708,02,Centro Sul,2017,7671
2301000,03,Grande Fortaleza,2017,79128
2303501,03,Grande Fortaleza,2017,71079
2303709,03,Grande Fortaleza,2017,362223
2303956,03,Grande Fortaleza,2017,19197
2304285,03,Grande Fortaleza,2017,52667
2304400,03,Grande Fortaleza,2017,2627482
2304954,03,Grande Fortaleza,2017,26331
2305233,03,Grande Fortaleza,2017,65928
2306256,03,Grande Fortaleza,2017,39310
2307650,03,Grande Fortaleza,2017,224804
2307700,03,Grande Fortaleza,2017,126486
2309607,03,Grande Fortaleza,2017,70911
2309706,03,Grande Fortaleza,2017,82824
2310209,03,Grande Fortaleza,2017,33894
2310258,03,Grande Fortaleza,2017,32515
2310852,03,Grande Fortaleza,2017,20644
2312403,03,Grande Fortaleza,2017,48265
2312601,03,Grande Fortaleza,2017,12849
2313500,03,Grande Fortaleza,2017,55207
2301109,04,Litoral Leste,2017,73629
2302206,04,Litoral Leste,2017,53110
2304459,04,Litoral Leste,2017,16272
2305357,04,Litoral Leste,2017,19685
2306207,04,Litoral Leste,2017,7738
2307007,04,Litoral Leste,2017,33740
2300200,05,Litoral Norte,2017,62199
2302057,05,Litoral Norte,2017,14880
2302305,05,Litoral Norte,2017,32378
2302602,05,Litoral Norte,2017,62985
2303907,05,Litoral Norte,2017,12952
2304251,05,Litoral Norte,2017,23983
2304707,05,Litoral Norte,2017,54365
2306553,05,Litoral Norte,2017,41230
2307254,05,Litoral Norte,2017,19510
2307809,05,Litoral Norte,2017,26981
2307908,05,Litoral Norte,2017,11082
2308906,05,Litoral Norte,2017,22222
2313906,05,Litoral Norte,2017,13677
2300754,06,Litoral Oeste / Vale do Curu,2017,42901
2300903,06,Litoral Oeste / Vale do Curu,2017,14719
2304608,06,Litoral Oeste / Vale do Curu,2017,6922
2306108,06,Litoral Oeste / Vale do Curu,2017,23858
2306306,06,Litoral Oeste / Vale do Curu,2017,51945
2306405,06,Litoral Oeste / Vale do Curu,2017,127465
2308377,06,Litoral Oeste / Vale do Curu,2017,13583
2310704,06,Litoral Oeste / Vale do Curu,2017,37077
2313351,06,Litoral Oeste / Vale do Curu,2017,18902
2313559,06,Litoral Oeste / Vale do Curu,2017,15935
2313757,06,Litoral Oeste / Vale do Curu,2017,19679
2313807,06,Litoral Oeste / Vale do Curu,2017,21609
2300150,07,Maciço do Baturité,2017,16543
2301208,07,Maciço do Baturité,2017,26269
2301406,07,Maciço do Baturité,2017,11244
2301950,07,Maciço do Baturité,2017,20978
2302107,07,Maciço do Baturité,2017,35351
2302909,07,Maciço do Baturité,2017,17668
2305100,07,Maciço do Baturité,2017,3547
2306504,07,Maciço do Baturité,2017,20014
2309102,07,Maciço do Baturité,2017,12831
2309458,07,Maciço do Baturité,2017,25394
2309805,07,Maciço do Baturité,2017,11960
2310100,07,Maciço do Baturité,2017,13145
2311603,07,Maciço do Baturité,2017,27441
