ano,sigla_uf,divisao_cnae,vinculos_ativos,remuneracao_media,uf_nome
2015,AL,10,95115,,Alagoas
2015,AL,11,11550,,Alagoas
2015,AL,12,505,,Alagoas
2015,AL,13,1479,,Alagoas
2015,AL,14,1101,,Alagoas
2015,AL,15,4207,,Alagoas
2015,AL,16,1527,,Alagoas
2015,AL,17,198,,Alagoas
2015,AL,18,821,,Alagoas
2015,AL,19,2717,,Alagoas
2015,AL,20,1630,,Alagoas
2015,AL,21,32,,Alagoas
2015,AL,22,4470,,Alagoas
2015,AL,23,3828,,Alagoas
2015,AL,24,363,,Alagoas
2015,AL,25,2296,,Alagoas
2015,AL,26,7,,Alagoas
2015,AL,27,109,,Alagoas
2015,AL,28,560,,Alagoas
2015,AL,29,189,,Alagoas
2015,AL,30,18,,Alagoas
2015,AL,31,1020,,Alagoas
2015,AL,32,340,,Alagoas
2015,AL,33,1565,,Alagoas
2015,AL,35,1562,,Alagoas
2015,AL,36,1734,,Alagoas
2015,AL,37,203,,Alagoas
2015,AL,38,3097,,Alagoas
2015,AL,41,40161,,Alagoas
2015,AL,42,12043,,Alagoas
2015,AL,43,7569,,Alagoas
2015,AL,45,12180,,Alagoas
2015,AL,46,19858,,Alagoas
2015,AL,47,97913,,Alagoas
2015,AL,49,15494,,Alagoas
2015,AL,50,112,,Alagoas
2015,AL,51,333,,Alagoas
2015,AL,52,2170,,Alagoas
2015,AL,53,1890,,Alagoas
2015,AL,55,9616,,Alagoas
2015,AL,56,21734,,Alagoas
2015,AL,58,490,,Alagoas
2015,AL,59,290,,Alagoas
2015,AL,60,1298,,Alagoas
2015,AL,61,1529,,Alagoas
2015,AL,62,1450,,Alagoas
2015,AL,63,287,,Alagoas
2015,AL,64,4240,,Alagoas
2015,AL,65,1374,,Alagoas
2015,AL,66,627,,Alagoas
2015,AL,68,2737,,Alagoas
2015,AL,69,3480,,Alagoas
2015,AL,70,678,,Alagoas
2015,AL,71,2065,,Alagoas
2015,AL,72,1551,,Alagoas
2015,AL,73,735,,Alagoas
2015,AL,74,676,,Alagoas
2015,AL,75,70,,Alagoas
2015,AL,77,2979,,Alagoas
2015,AL,78,1763,,Alagoas
2015,AL,79,1025,,Alagoas
2015,AL,80,9126,,Alagoas
2015,AL,81,18612,,Alagoas
2015,AL,82,19745,,Alagoas
2015,AL,84,169708,,Alagoas
2015,AL,85,24650,,Alagoas
2015,AL,86,20645,,Alagoas
2015,AL,87,748,,Alagoas
2015,AL,88,873,,Alagoas
2015,AL,89,153,,Alagoas
2015,AL,90,127,,Alagoas
2015,AL,91,234,,Alagoas
2015,AL,92,4,,Alagoas
2015,AL,93,2364,,Alagoas
2015,AL,94,8926,,Alagoas
2015,AL,95,1268,,Alagoas
2015,AL,96,4791,,Alagoas
2015,AL,97,37,,Alagoas
2015,AL,99,131,,Alagoas
2015,MA,10,10549,,Maranhão
2015,MA,11,16099,,Maranhão
2015,MA,12,337,,Maranhão
2015,MA,13,534,,Maranhão
2015,MA,14,2075,,Maranhão
2015,MA,15,11444,,Maranhão
2015,MA,16,3075,,Maranhão
2015,MA,17,1125,,Maranhão
2015,MA,18,1560,,Maranhão
2015,MA,19,4928,,Maranhão
2015,MA,20,2296,,Maranhão
2015,MA,21,4001,,Maranhão
2015,MA,22,3205,,Maranhão
2015,MA,23,19116,,Maranhão
2015,MA,24,5406,,Maranhão
2015,MA,25,2617,,Maranhão
2015,MA,26,26,,Maranhão
2015,MA,27,330,,Maranhão
2015,MA,28,751,,Maranhão
2015,MA,29,317,,Maranhão
2015,MA,30,610,,Maranhão
2015,MA,31,2972,,Maranhão
2015,MA,32,770,,Maranhão
2015,MA,33,1681,,Maranhão
2015,MA,35,2180,,Maranhão
2015,MA,36,3888,,Maranhão
2015,MA,37,501,,Maranhão
2015,MA,38,839,,Maranhão
2015,MA,39,17,,Maranhão
2015,MA,41,64220,,Maranhão
2015,MA,42,36022,,Maranhão
2015,MA,43,14553,,Maranhão
2015,MA,45,20964,,Maranhão
2015,MA,46,40427,,Maranhão
2015,MA,47,162143,,Maranhão
2015,MA,49,28667,,Maranhão
2015,MA,50,1529,,Maranhão
2015,MA,51,582,,Maranhão
2015,MA,52,3773,,Maranhão
2015,MA,53,2776,,Maranhão
2015,MA,55,6726,,Maranhão
2015,MA,56,20975,,Maranhão
2015,MA,58,552,,Maranhão
2015,MA,59,601,,Maranhão
2015,MA,60,1724,,Maranhão
2015,MA,61,1798,,Maranhão
2015,MA,62,826,,Maranhão
2015,MA,63,731,,Maranhão
2015,MA,64,7034,,Maranhão
2015,MA,65,1030,,Maranhão
2015,MA,66,841,,Maranhão
2015,MA,68,3875,,Maranhão
2015,MA,69,5130,,Maranhão
2015,MA,70,478,,Maranhão
