ano,sigla_uf,vinculos_ativos,remuneracao_media,uf_nome
2015,AL,694802,,Alagoas
2015,MA,998534,,Maranhão
2015,RN,853661,,Rio Grande do Norte
2015,SE,554872,,Sergipe
2016,AL,663297,,Alagoas
2016,BA,3100695,,Bahia
2016,CE,2099010,,Ceará
2016,MA,945011,,Maranhão
2016,PB,831623,,Paraíba
2016,PI,586489,,Piauí
2016,RN,815252,,Rio Grande do Norte
2016,SE,523722,,Sergipe
2017,AL,650052,,Alagoas
2017,CE,2045503,,Ceará
2017,MA,929404,,Maranhão
2017,PB,822624,,Paraíba
2017,PE,2161116,,Pernambuco
2017,PI,580445,,Piauí
2017,RN,796016,,Rio Grande do Norte
2017,SE,512116,,Sergipe
2018,AL,651772,,Alagoas
2018,BA,3076344,,Bahia
2018,CE,2030898,,Ceará
2018,MA,963863,,Maranhão
2018,PB,818996,,Paraíba
2018,PE,2148616,,Pernambuco
2018,PI,580914,,Piauí
2018,RN,794769,,Rio Grande do Norte
2018,SE,511741,,Sergipe
2021,AL,691553,,Alagoas
2021,BA,3210981,,Bahia
2021,CE,2108886,,Ceará
2021,MA,1061682,,Maranhão
2021,PB,888685,,Paraíba
2021,PE,2259946,,Pernambuco
2021,PI,603444,,Piauí
2021,RN,839089,,Rio Grande do Norte
2021,SE,525790,,Sergipe
2022,AL,797410,,Alagoas
2022,BA,3576793,,Bahia
2022,CE,2344273,,Ceará
2022,MA,1239429,,Maranhão
2022,PB,984804,,Paraíba
2022,PE,2492153,,Pernambuco
2022,PI,659395,,Piauí
2022,RN,911347,,Rio Grande do Norte
2022,SE,579357,,Sergipe
