cod_ibge,regiao_codigo,regiao_nome,ano,mes,icms,ipva,total
2300101,01,Cariri,2024,1,688417.32,105640.11,794057.4299999999
2304400,03,Grande Fortaleza,2024,1,100911941.3,83050433.16,183962374.46
2300101,01,Cariri,2024,2,637078.43,79281.16,716359.5900000001
2304400,03,Grande Fortaleza,2024,2,93084612.85,107257669.23,200342282.08
2300101,01,Cariri,2024,3,656844.01,45360.79,702204.8
2304400,03,Grande Fortaleza,2024,3,95972647.96,58379197.72,154351845.68
2300101,01,Cariri,2024,4,676550.11,47477.52,724027.63
2304400,03,Grande Fortaleza,2024,4,98851830.08,61648013.63,160499843.71
2300101,01,Cariri,2024,5,637043.64,48491.1,685534.74
2304400,03,Grande Fortaleza,2024,5,93079515.42,58495829.79,151575345.21
2300101,01,Cariri,2024,6,672578.47,40519.1,713097.57
2304400,03,Grande Fortaleza,2024,6,98271533.22,54119011.05,152390544.26999998
2300101,01,Cariri,2024,7,760905.97,8756.43,769662.4
2304400,03,Grande Fortaleza,2024,7,111177279.79,20801927.44,131979207.23
2300101,01,Cariri,2024,8,737223.06,12507.92,749730.9800000001
2304400,03,Grande Fortaleza,2024,8,107716925.36,16246630.77,123963556.13
2300101,01,Cariri,2024,9,700105.14,8762.6,708867.74
2304400,03,Grande Fortaleza,2024,9,102293681.77,12864646.84,115158328.61
2300101,01,Cariri,2024,10,808324.91,17930.82,826255.73
2304400,03,Grande Fortaleza,2024,10,118105856.28,11721368.81,129827225.09
2300101,01,Cariri,2024,11,811453.11,11748.17,823201.28
2304400,03,Grande Fortaleza,2024,11,118562943.17,8505030.36,127067973.53
2300101,01,Cariri,2024,12,831594.26,10390.69,841984.95
2304400,03,Grande Fortaleza,2024,12,121505690.64,9758410.03,131264100.67
