exercicio,uf,cod_conta,conta,coluna,valor,populacao,conta_resumo,uf_nome
2015,AL,DO4.0.00.00.00.00,4.0.00.00.00.00 - Despesas de Capital,Despesas Liquidadas,1067249934.25,3321730,Total Despesas,Alagoas
2015,AL,DO4.4.00.00.00.00,4.4.00.00.00.00 - Investimentos,Despesas Liquidadas,462422557.82,3321730,Investimentos (Despesas de Capital),Alagoas
2016,AL,DO4.0.00.00.00.00,4.0.00.00.00.00 - Despesas de Capital,Despesas Liquidadas,830118018.68,3340932,Total Despesas,Alagoas
2016,AL,DO4.4.00.00.00.00,4.4.00.00.00.00 - Investimentos,Despesas Liquidadas,529714100.51,3340932,Investimentos (Despesas de Capital),Alagoas
2017,AL,DO4.0.00.00.00.00,4.0.00.00.00.00 - Despesas de Capital,Despesas Liquidadas,931075786.7,3358963,Total Despesas,Alagoas
2017,AL,DO4.4.00.00.00.00,4.4.00.00.00.00 - Investimentos,Despesas Liquidadas,659204688.67,3358963,Investimentos (Despesas de Capital),Alagoas
2018,AL,DO4.0.00.00.00.00,4.0.00.00.00 - Despesas de Capital,Despesas Liquidadas,1289521193.67,3358963,Total Despesas,Alagoas
2018,AL,DO4.4.00.00.00.00,4.4.00.00.00 - Investimentos,Despesas Liquidadas,967045378.24,3358963,Investimentos (Despesas de Capital),Alagoas
2019,AL,DO4.0.00.00.00.00,4.0.00.00.00 - Despesas de Capital,Despesas Liquidadas,1009549798.73,3322820,Total Despesas,Alagoas
2019,AL,DO4.4.00.00.00.00,4.4.00.00.00 - Investimentos,Despesas Liquidadas,724364185.79,3322820,Investimentos (Despesas de Capital),Alagoas
2020,AL,DO4.0.00.00.00.00,4.0.00.00.00 - Despesas de Capital,Despesas Liquidadas,1009146083.3,3337357,Total Despesas,Alagoas
2020,AL,DO4.4.00.00.00.00,4.4.00.00.00 - Investimentos,Despesas Liquidadas,811871413.48,3337357,Investimentos (Despesas de Capital),Alagoas
2021,AL,DO4.0.00.00.00.00,4.0.00.00.00 - Despesas de Capital,Despesas Liquidadas,2183548385.25,3351543,Total Despesas,Alagoas
2021,AL,DO4.4.00.00.00.00,4.4.00.00.00 - Investimentos,Despesas Liquidadas,1756883519.86,3351543,Investimentos (Despesas de Capital),Alagoas
2022,AL,DO4.0.00.00.00.00,4.0.00.00.00 - Despesas de Capital,Despesas Liquidadas,2880480424.15,3365351,Total Despesas,Alagoas
2022,AL,DO4.4.00.00.00.00,4.4.00.00.00 - Investimentos,Despesas Liquidadas,2437313237.32,3365351,Investimentos (Despesas de Capital),Alagoas
2023,AL,DO4.0.00.00.00.00,4.0.00.00.00 - Despesas de Capital,Despesas Liquidadas,2533237123.61,3365351,Total Despesas,Alagoas
2023,AL,DO4.4.00.00.00.00,4.4.00.00.00 - Investimentos,Despesas Liquidadas,1989365775.25,3365351,Investimentos (Despesas de Capital),Alagoas
2024,AL,DO4.0.00.00.00.00,4.0.00.00.00 - Despesas de Capital,Despesas Liquidadas,3236438334.21,3125254,Total Despesas,Alagoas
2024,AL,DO4.4.00.00.00.00,4.4.00.00.00 - Investimentos,Despesas Liquidadas,2529221187.32,3125254,Investimentos (Despesas de Capital),Alagoas
