exercicio,uf,cod_conta,conta,valor,populacao,conta_resumo,uf_nome
2015,AL,P1.0.0.0.0.00.00,1.0.0.0.0.00.00 - Ativo,5145427108.27,3321730,Ativo Total,Alagoas
2015,AL,P1.1.0.0.0.00.00,1.1.0.0.0.00.00 - Ativo Circulante,2061201324.2,3321730,Ativo Circulante,Alagoas
2015,AL,P1.2.0.0.0.00.00,1.2.0.0.0.00.00 - Ativo não Circulante,3084225784.07,3321730,Ativo Não Circulante,Alagoas
2015,AL,P2.0.0.0.0.00.00,2.0.0.0.0.00.00 - Passivo e Patrimônio Liquido,5145427108.27,3321730,Passivo Total,Alagoas
2015,AL,P2.1.0.0.0.00.00,2.1.0.0.0.00.00 - Passivo Circulante,1592967870.12,3321730,Passivo Circulante,Alagoas
2015,AL,P2.2.0.0.0.00.00,2.2.0.0.0.00.00 - Passivo não-Circulante,10874664504.35,3321730,Passivo Não Circulante,Alagoas
2015,AL,P2.3.0.0.0.00.00,2.3.0.0.0.00.00 - Patrimônio Liquido,-7322205266.2,3321730,Patrimônio Líquido,Alagoas
2016,AL,P1.0.0.0.0.00.00,1.0.0.0.0.00.00 - Ativo,6416015422.51,3340932,Ativo Total,Alagoas
2016,AL,P1.1.0.0.0.00.00,1.1.0.0.0.00.00 - Ativo Circulante,2828179720.52,3340932,Ativo Circulante,Alagoas
2016,AL,P1.2.0.0.0.00.00,1.2.0.0.0.00.00 - Ativo não Circulante,3587835701.99,3340932,Ativo Não Circulante,Alagoas
2016,AL,P2.0.0.0.0.00.00,2.0.0.0.0.00.00 - Passivo e Patrimônio Liquido,6416015422.51,3340932,Passivo Total,Alagoas
2016,AL,P2.1.0.0.0.00.00,2.1.0.0.0.00.00 - Passivo Circulante,1739925579.49,3340932,Passivo Circulante,Alagoas
2016,AL,P2.2.0.0.0.00.00,2.2.0.0.0.00.00 - Passivo não-Circulante,8507526459.22,3340932,Passivo Não Circulante,Alagoas
2016,AL,P2.3.0.0.0.00.00,2.3.0.0.0.00.00 - Patrimônio Liquido,-3831436616.2,3340932,Patrimônio Líquido,Alagoas
2017,AL,P1.0.0.0.0.00.00,1.0.0.0.0.00.00 - Ativo,7473517194.09,3358963,Ativo Total,Alagoas
2017,AL,P1.1.0.0.0.00.00,1.1.0.0.0.00.00 - Ativo Circulante,2822508521.49,3358963,Ativo Circulante,Alagoas
2017,AL,P1.2.0.0.0.00.00,1.2.0.0.0.00.00 - Ativo não Circulante,4651008672.6,3358963,Ativo Não Circulante,Alagoas
2017,AL,P2.0.0.0.0.00.00,2.0.0.0.0.00.00 - Passivo e Patrimônio Liquido,7473517194.09,3358963,Passivo Total,Alagoas
2017,AL,P2.1.0.0.0.00.00,2.1.0.0.0.00.00 - Passivo Circulante,1252990607.82,3358963,Passivo Circulante,Alagoas
2017,AL,P2.2.0.0.0.00.00,2.2.0.0.0.00.00 - Passivo não-Circulante,8696246723.85,3358963,Passivo Não Circulante,Alagoas
2017,AL,P2.3.0.0.0.00.00,2.3.0.0.0.00.00 - Patrimônio Liquido,-2475720137.58,3358963,Patrimônio Líquido,Alagoas
