exercicio,uf,cod_conta,conta,coluna,valor,populacao,conta_resumo,uf_nome
2015,BA,DO4.0.00.00.00.00,4.0.00.00.00.00 - Despesas de Capital,Despesas Liquidadas,3467787152.26,15126371,Total Despesas,Bahia
2015,BA,DO4.4.00.00.00.00,4.4.00.00.00.00 - Investimentos,Despesas Liquidadas,2231841436.93,15126371,Investimentos (Despesas de Capital),Bahia
2016,BA,DO4.0.00.00.00.00,4.0.00.00.00.00 - Despesas de Capital,Despesas Liquidadas,4209804724.56,15203934,Total Despesas,Bahia
2016,BA,DO4.4.00.00.00.00,4.4.00.00.00.00 - Investimentos,Despesas Liquidadas,3170929225.2,15203934,Investimentos (Despesas de Capital),Bahia
2017,BA,DO4.0.00.00.00.00,4.0.00.00.00.00 - Despesas de Capital,Despesas Liquidadas,3524240607.57,15276566,Total Despesas,Bahia
2017,BA,DO4.4.00.00.00.00,4.4.00.00.00.00 - Investimentos,Despesas Liquidadas,2483192163.48,15276566,Investimentos (Despesas de Capital),Bahia
2018,BA,DO4.0.00.00.00.00,4.0.00.00.00 - Despesas de Capital,Despesas Liquidadas,3841456217.55,15276566,Total Despesas,Bahia
2018,BA,DO4.4.00.00.00.00,4.4.00.00.00 - Investimentos,Despesas Liquidadas,2449844273.78,15276566,Investimentos (Despesas de Capital),Bahia
2019,BA,DO4.0.00.00.00.00,4.0.00.00.00 - Despesas de Capital,Despesas Liquidadas,3673312911.95,14812617,Total Despesas,Bahia
2019,BA,DO4.4.00.00.00.00,4.4.00.00.00 - Investimentos,Despesas Liquidadas,2232101993.62,14812617,Investimentos (Despesas de Capital),Bahia
2020,BA,DO4.0.00.00.00.00,4.0.00.00.00 - Despesas de Capital,Despesas Liquidadas,3939071242.02,14873064,Total Despesas,Bahia
2020,BA,DO4.4.00.00.00.00,4.4.00.00.00 - Investimentos,Despesas Liquidadas,2222298703.45,14873064,Investimentos (Despesas de Capital),Bahia
2021,BA,DO4.0.00.00.00.00,4.0.00.00.00 - Despesas de Capital,Despesas Liquidadas,6081160001.65,14930634,Total Despesas,Bahia
2021,BA,DO4.4.00.00.00.00,4.4.00.00.00 - Investimentos,Despesas Liquidadas,3216966154.93,14930634,Investimentos (Despesas de Capital),Bahia
2022,BA,DO4.0.00.00.00.00,4.0.00.00.00 - Despesas de Capital,Despesas Liquidadas,12392387829.55,14985284,Total Despesas,Bahia
2022,BA,DO4.4.00.00.00.00,4.4.00.00.00 - Investimentos,Despesas Liquidadas,9514002468.97,14985284,Investimentos (Despesas de Capital),Bahia
2023,BA,DO4.0.00.00.00.00,4.0.00.00.00 - Despesas de Capital,Despesas Liquidadas,10525748724.73,14985284,Total Despesas,Bahia
2023,BA,DO4.4.00.00.00.00,4.4.00.00.00 - Investimentos,Despesas Liquidadas,7924978490.57,14985284,Investimentos (Despesas de Capital),Bahia
2024,BA,DO4.0.00.00.00.00,4.0.00.00.00 - Despesas de Capital,Despesas Liquidadas,10131263655.79,14659023,Total Despesas,Bahia
2024,BA,DO4.4.00.00.00.00,4.4.00.00.00 - Investimentos,Despesas Liquidadas,7201937763.14,14659023,Investimentos (Despesas de Capital),Bahia
