exercicio,uf,cod_conta,conta,coluna,valor,populacao,conta_resumo,uf_nome
2015,CE,DO4.0.00.00.00.00,4.0.00.00.00.00 - Despesas de Capital,Despesas Liquidadas,3063269842.94,8842791,Total Despesas,Ceará
2015,CE,DO4.4.00.00.00.00,4.4.00.00.00.00 - Investimentos,Despesas Liquidadas,2254572108.43,8842791,Investimentos (Despesas de Capital),Ceará
2016,CE,DO4.0.00.00.00.00,4.0.00.00.00.00 - Despesas de Capital,Despesas Liquidadas,3055603337.85,8904459,Total Despesas,Ceará
2016,CE,DO4.4.00.00.00.00,4.4.00.00.00.00 - Investimentos,Despesas Liquidadas,1977965814.72,8904459,Investimentos (Despesas de Capital),Ceará
2017,CE,DO4.0.00.00.00.00,4.0.00.00.00.00 - Despesas de Capital,Despesas Liquidadas,3315229143.44,8963663,Total Despesas,Ceará
2017,CE,DO4.4.00.00.00.00,4.4.00.00.00.00 - Investimentos,Despesas Liquidadas,2126730371.76,8963663,Investimentos (Despesas de Capital),Ceará
2018,CE,DO4.0.00.00.00.00,4.0.00.00.00 - Despesas de Capital,Despesas Liquidadas,3708516052.71,8963663,Total Despesas,Ceará
2018,CE,DO4.4.00.00.00.00,4.4.00.00.00 - Investimentos,Despesas Liquidadas,2733293560.16,8963663,Investimentos (Despesas de Capital),Ceará
2019,CE,DO4.0.00.00.00.00,4.0.00.00.00 - Despesas de Capital,Despesas Liquidadas,2963775982.35,9075649,Total Despesas,Ceará
2019,CE,DO4.4.00.00.00.00,4.4.00.00.00 - Investimentos,Despesas Liquidadas,1843176072.89,9075649,Investimentos (Despesas de Capital),Ceará
2020,CE,DO4.0.00.00.00.00,4.0.00.00.00 - Despesas de Capital,Despesas Liquidadas,3079030190.54,9132078,Total Despesas,Ceará
2020,CE,DO4.4.00.00.00.00,4.4.00.00.00 - Investimentos,Despesas Liquidadas,1820672781.84,9132078,Investimentos (Despesas de Capital),Ceará
2021,CE,DO4.0.00.00.00.00,4.0.00.00.00 - Despesas de Capital,Despesas Liquidadas,3820619548.97,9187103,Total Despesas,Ceará
2021,CE,DO4.4.00.00.00.00,4.4.00.00.00 - Investimentos,Despesas Liquidadas,2303101367.86,9187103,Investimentos (Despesas de Capital),Ceará
2022,CE,DO4.0.00.00.00.00,4.0.00.00.00 - Despesas de Capital,Despesas Liquidadas,5117905894.48,9240580,Total Despesas,Ceará
2022,CE,DO4.4.00.00.00.00,4.4.00.00.00 - Investimentos,Despesas Liquidadas,3525370735.49,9240580,Investimentos (Despesas de Capital),Ceará
2023,CE,DO4.0.00.00.00.00,4.0.00.00.00 - Despesas de Capital,Despesas Liquidadas,4025916148.17,9240580,Total Despesas,Ceará
2023,CE,DO4.4.00.00.00.00,4.4.00.00.00 - Investimentos,Despesas Liquidadas,2409603164.84,9240580,Investimentos (Despesas de Capital),Ceará
2024,CE,DO4.0.00.00.00.00,4.0.00.00.00 - Despesas de Capital,Despesas Liquidadas,5379275004.72,8936431,Total Despesas,Ceará
2024,CE,DO4.4.00.00.00.00,4.4.00.00.00 - Investimentos,Despesas Liquidadas,3430741910.0,8936431,Investimentos (Despesas de Capital),Ceará
