exercicio,uf,cod_conta,conta,valor,populacao,conta_resumo,uf_nome
2015,CE,P1.0.0.0.0.00.00,1.0.0.0.0.00.00 - Ativo,30518627587.89,8842791,Ativo Total,Ceará
2015,CE,P1.1.0.0.0.00.00,1.1.0.0.0.00.00 - Ativo Circulante,3883784596.91,8842791,Ativo Circulante,Ceará
2015,CE,P1.2.0.0.0.00.00,1.2.0.0.0.00.00 - Ativo não Circulante,26634842990.98,8842791,Ativo Não Circulante,Ceará
2015,CE,P2.0.0.0.0.00.00,2.0.0.0.0.00.00 - Passivo e Patrimônio Liquido,30518627587.89,8842791,Passivo Total,Ceará
2015,CE,P2.1.0.0.0.00.00,2.1.0.0.0.00.00 - Passivo Circulante,950427404.91,8842791,Passivo Circulante,Ceará
2015,CE,P2.2.0.0.0.00.00,2.2.0.0.0.00.00 - Passivo não-Circulante,11112187828.96,8842791,Passivo Não Circulante,Ceará
2015,CE,P2.3.0.0.0.00.00,2.3.0.0.0.00.00 - Patrimônio Liquido,18456012354.02,8842791,Patrimônio Líquido,Ceará
2016,CE,P1.0.0.0.0.00.00,1.0.0.0.0.00.00 - Ativo,35211904738.49,8904459,Ativo Total,Ceará
2016,CE,P1.1.0.0.0.00.00,1.1.0.0.0.00.00 - Ativo Circulante,5279324033.57,8904459,Ativo Circulante,Ceará
2016,CE,P1.2.0.0.0.00.00,1.2.0.0.0.00.00 - Ativo não Circulante,29932580704.92,8904459,Ativo Não Circulante,Ceará
2016,CE,P2.0.0.0.0.00.00,2.0.0.0.0.00.00 - Passivo e Patrimônio Liquido,35211904738.49,8904459,Passivo Total,Ceará
2016,CE,P2.1.0.0.0.00.00,2.1.0.0.0.00.00 - Passivo Circulante,882339757.77,8904459,Passivo Circulante,Ceará
2016,CE,P2.2.0.0.0.00.00,2.2.0.0.0.00.00 - Passivo não-Circulante,10546392188.97,8904459,Passivo Não Circulante,Ceará
2016,CE,P2.3.0.0.0.00.00,2.3.0.0.0.00.00 - Patrimônio Liquido,23783172791.75,8904459,Patrimônio Líquido,Ceará
2017,CE,P1.0.0.0.0.00.00,1.0.0.0.0.00.00 - Ativo,41077011900.89,8963663,Ativo Total,Ceará
2017,CE,P1.1.0.0.0.00.00,1.1.0.0.0.00.00 - Ativo Circulante,7350529336.13,8963663,Ativo Circulante,Ceará
