exercicio,uf,cod_conta,conta,coluna,valor,populacao,conta_resumo,uf_nome
2015,MA,DO4.0.00.00.00.00,4.0.00.00.00.00 - Despesas de Capital,Despesas Liquidadas,1151189499.9,6850884,Total Despesas,Maranhão
2015,MA,DO4.4.00.00.00.00,4.4.00.00.00.00 - Investimentos,Despesas Liquidadas,727859999.87,6850884,Investimentos (Despesas de Capital),Maranhão
2016,MA,DO4.0.00.00.00.00,4.0.00.00.00.00 - Despesas de Capital,Despesas Liquidadas,1449218178.44,6904241,Total Despesas,Maranhão
2016,MA,DO4.4.00.00.00.00,4.4.00.00.00.00 - Investimentos,Despesas Liquidadas,886959090.34,6904241,Investimentos (Despesas de Capital),Maranhão
2017,MA,DO4.0.00.00.00.00,4.0.00.00.00.00 - Despesas de Capital,Despesas Liquidadas,1858693173.19,6954036,Total Despesas,Maranhão
2017,MA,DO4.4.00.00.00.00,4.4.00.00.00.00 - Investimentos,Despesas Liquidadas,1239249378.17,6954036,Investimentos (Despesas de Capital),Maranhão
2018,MA,DO4.0.00.00.00.00,4.0.00.00.00 - Despesas de Capital,Despesas Liquidadas,2249686170.34,6954036,Total Despesas,Maranhão
2018,MA,DO4.4.00.00.00.00,4.4.00.00.00 - Investimentos,Despesas Liquidadas,1308323070.65,6954036,Investimentos (Despesas de Capital),Maranhão
2019,MA,DO4.0.00.00.00.00,4.0.00.00.00 - Despesas de Capital,Despesas Liquidadas,1649844187.46,7035055,Total Despesas,Maranhão
2019,MA,DO4.4.00.00.00.00,4.4.00.00.00 - Investimentos,Despesas Liquidadas,917371897.92,7035055,Investimentos (Despesas de Capital),Maranhão
2020,MA,DO4.0.00.00.00.00,4.0.00.00.00 - Despesas de Capital,Despesas Liquidadas,1752072090.18,7075181,Total Despesas,Maranhão
2020,MA,DO4.4.00.00.00.00,4.4.00.00.00 - Investimentos,Despesas Liquidadas,1009221633.73,7075181,Investimentos (Despesas de Capital),Maranhão
2021,MA,DO4.0.00.00.00.00,4.0.00.00.00 - Despesas de Capital,Despesas Liquidadas,3118157460.3,7114598,Total Despesas,Maranhão
2021,MA,DO4.4.00.00.00.00,4.4.00.00.00 - Investimentos,Despesas Liquidadas,2046990438.23,7114598,Investimentos (Despesas de Capital),Maranhão
2022,MA,DO4.0.00.00.00.00,4.0.00.00.00 - Despesas de Capital,Despesas Liquidadas,3072845805.49,7153262,Total Despesas,Maranhão
2022,MA,DO4.4.00.00.00.00,4.4.00.00.00 - Investimentos,Despesas Liquidadas,2470319489.9,7153262,Investimentos (Despesas de Capital),Maranhão
2023,MA,DO4.0.00.00.00.00,4.0.00.00.00 - Despesas de Capital,Despesas Liquidadas,2185960204.25,7153262,Total Despesas,Maranhão
2023,MA,DO4.4.00.00.00.00,4.4.00.00.00 - Investimentos,Despesas Liquidadas,1692133081.26,7153262,Investimentos (Despesas de Capital),Maranhão
2024,MA,DO4.0.00.00.00.00,4.0.00.00.00 - Despesas de Capital,Despesas Liquidadas,3668301365.39,6800605,Total Despesas,Maranhão
2024,MA,DO4.4.00.00.00.00,4.4.00.00.00 - Investimentos,Despesas Liquidadas,2883155270.97,6800605,Investimentos (Despesas de Capital),Maranhão
