exercicio,uf,cod_conta,conta,valor,populacao,conta_resumo,uf_nome
2015,MA,P1.0.0.0.0.00.00,1.0.0.0.0.00.00 - Ativo,14858432707.78,6850884,Ativo Total,Maranhão
2015,MA,P1.1.0.0.0.00.00,1.1.0.0.0.00.00 - Ativo Circulante,2871897082.69,6850884,Ativo Circulante,Maranhão
2015,MA,P1.2.0.0.0.00.00,1.2.0.0.0.00.00 - Ativo não Circulante,11986535625.09,6850884,Ativo Não Circulante,Maranhão
2015,MA,P2.0.0.0.0.00.00,2.0.0.0.0.00.00 - Passivo e Patrimônio Liquido,14858432707.78,6850884,Passivo Total,Maranhão
2015,MA,P2.1.0.0.0.00.00,2.1.0.0.0.00.00 - Passivo Circulante,1779779725.85,6850884,Passivo Circulante,Maranhão
2015,MA,P2.2.0.0.0.00.00,2.2.0.0.0.00.00 - Passivo não-Circulante,23877922334.9,6850884,Passivo Não Circulante,Maranhão
2015,MA,P2.3.0.0.0.00.00,2.3.0.0.0.00.00 - Patrimônio Liquido,-10799269352.97,6850884,Patrimônio Líquido,Maranhão
2016,MA,P1.0.0.0.0.00.00,1.0.0.0.0.00.00 - Ativo,17482502065.23,6904241,Ativo Total,Maranhão
2016,MA,P1.1.0.0.0.00.00,1.1.0.0.0.00.00 - Ativo Circulante,3454283873.95,6904241,Ativo Circulante,Maranhão
2016,MA,P1.2.0.0.0.00.00,1.2.0.0.0.00.00 - Ativo não Circulante,14028218191.28,6904241,Ativo Não Circulante,Maranhão
2016,MA,P2.0.0.0.0.00.00,2.0.0.0.0.00.00 - Passivo e Patrimônio Liquido,17482502065.23,6904241,Passivo Total,Maranhão
2016,MA,P2.1.0.0.0.00.00,2.1.0.0.0.00.00 - Passivo Circulante,1920970724.86,6904241,Passivo Circulante,Maranhão
2016,MA,P2.2.0.0.0.00.00,2.2.0.0.0.00.00 - Passivo não-Circulante,29272545123.08,6904241,Passivo Não Circulante,Maranhão
2016,MA,P2.3.0.0.0.00.00,2.3.0.0.0.00.00 - Patrimônio Liquido,-13711013782.71,6904241,Patrimônio Líquido,Maranhão
2017,MA,P1.0.0.0.0.00.00,1.0.0.0.0.00.00 - Ativo,14529205237.76,6954036,Ativo Total,Maranhão
2017,MA,P1.1.0.0.0.00.00,1.1.0.0.0.00.00 - Ativo Circulante,2809879772.35,6954036,Ativo Circulante,Maranhão
2017,MA,P1.2.0.0.0.00.00,1.2.0.0.0.00.00 - Ativo não Circulante,11719325465.41,6954036,Ativo Não Circulante,Maranhão
