exercicio,uf,cod_conta,conta,coluna,valor,populacao,conta_resumo,uf_nome
2015,PB,DO4.0.00.00.00.00,4.0.00.00.00.00 - Despesas de Capital,Despesas Liquidadas,1104663392.25,3943885,Total Despesas,Paraíba
2015,PB,DO4.4.00.00.00.00,4.4.00.00.00.00 - Investimentos,Despesas Liquidadas,732527751.37,3943885,Investimentos (Despesas de Capital),Paraíba
2016,PB,DO4.0.00.00.00.00,4.0.00.00.00.00 - Despesas de Capital,Despesas Liquidadas,1008017441.13,3972202,Total Despesas,Paraíba
2016,PB,DO4.4.00.00.00.00,4.4.00.00.00.00 - Investimentos,Despesas Liquidadas,627744997.55,3972202,Investimentos (Despesas de Capital),Paraíba
2017,PB,DO4.0.00.00.00.00,4.0.00.00.00.00 - Despesas de Capital,Despesas Liquidadas,955689180.81,3999415,Total Despesas,Paraíba
2017,PB,DO4.4.00.00.00.00,4.4.00.00.00.00 - Investimentos,Despesas Liquidadas,563581792.29,3999415,Investimentos (Despesas de Capital),Paraíba
2018,PB,DO4.0.00.00.00.00,4.0.00.00.00 - Despesas de Capital,Despesas Liquidadas,905460391.16,3999415,Total Despesas,Paraíba
2018,PB,DO4.4.00.00.00.00,4.4.00.00.00 - Investimentos,Despesas Liquidadas,645555466.74,3999415,Investimentos (Despesas de Capital),Paraíba
2019,PB,DO4.0.00.00.00.00,4.0.00.00.00 - Despesas de Capital,Despesas Liquidadas,705679298.71,3996496,Total Despesas,Paraíba
2019,PB,DO4.4.00.00.00.00,4.4.00.00.00 - Investimentos,Despesas Liquidadas,455063270.42,3996496,Investimentos (Despesas de Capital),Paraíba
2020,PB,DO4.0.00.00.00.00,4.0.00.00.00 - Despesas de Capital,Despesas Liquidadas,512163026.45,4018127,Total Despesas,Paraíba
2020,PB,DO4.4.00.00.00.00,4.4.00.00.00 - Investimentos,Despesas Liquidadas,360201006.25,4018127,Investimentos (Despesas de Capital),Paraíba
2021,PB,DO4.0.00.00.00.00,4.0.00.00.00 - Despesas de Capital,Despesas Liquidadas,870636547.94,4039277,Total Despesas,Paraíba
2021,PB,DO4.4.00.00.00.00,4.4.00.00.00 - Investimentos,Despesas Liquidadas,568767565.12,4039277,Investimentos (Despesas de Capital),Paraíba
2022,PB,DO4.0.00.00.00.00,4.0.00.00.00 - Despesas de Capital,Despesas Liquidadas,1695977545.92,4059905,Total Despesas,Paraíba
2022,PB,DO4.4.00.00.00.00,4.4.00.00.00 - Investimentos,Despesas Liquidadas,1263637592.85,4059905,Investimentos (Despesas de Capital),Paraíba
2023,PB,DO4.0.00.00.00.00,4.0.00.00.00 - Despesas de Capital,Despesas Liquidadas,2047145487.86,4059905,Total Despesas,Paraíba
2023,PB,DO4.4.00.00.00.00,4.4.00.00.00 - Investimentos,Despesas Liquidadas,1497813649.94,4059905,Investimentos (Despesas de Capital),Paraíba
2024,PB,DO4.0.00.00.00.00,4.0.00.00.00 - Despesas de Capital,Despesas Liquidadas,2218738753.89,4030961,Total Despesas,Paraíba
2024,PB,DO4.4.00.00.00.00,4.4.00.00.00 - Investimentos,Despesas Liquidadas,1776262432.34,4030961,Investimentos (Despesas de Capital),Paraíba
