exercicio,uf,cod_conta,conta,valor,populacao,conta_resumo,uf_nome
2015,PB,P1.0.0.0.0.00.00,1.0.0.0.0.00.00 - Ativo,13094069710.5,3943885,Ativo Total,Paraíba
2015,PB,P1.1.0.0.0.00.00,1.1.0.0.0.00.00 - Ativo Circulante,2033482688.71,3943885,Ativo Circulante,Paraíba
2015,PB,P1.2.0.0.0.00.00,1.2.0.0.0.00.00 - Ativo não Circulante,11060587021.79,3943885,Ativo Não Circulante,Paraíba
2015,PB,P2.0.0.0.0.00.00,2.0.0.0.0.00.00 - Passivo e Patrimônio Liquido,13094069710.5,3943885,Passivo Total,Paraíba
2015,PB,P2.1.0.0.0.00.00,2.1.0.0.0.00.00 - Passivo Circulante,629013802.55,3943885,Passivo Circulante,Paraíba
2015,PB,P2.2.0.0.0.00.00,2.2.0.0.0.00.00 - Passivo não-Circulante,4622606391.45,3943885,Passivo Não Circulante,Paraíba
2015,PB,P2.3.0.0.0.00.00,2.3.0.0.0.00.00 - Patrimônio Liquido,7842449516.5,3943885,Patrimônio Líquido,Paraíba
2016,PB,P1.0.0.0.0.00.00,1.0.0.0.0.00.00 - Ativo,15457504073.33,3972202,Ativo Total,Paraíba
2016,PB,P1.1.0.0.0.00.00,1.1.0.0.0.00.00 - Ativo Circulante,3094250998.56,3972202,Ativo Circulante,Paraíba
2016,PB,P1.2.0.0.0.00.00,1.2.0.0.0.00.00 - Ativo não Circulante,12363253074.77,3972202,Ativo Não Circulante,Paraíba
2016,PB,P2.0.0.0.0.00.00,2.0.0.0.0.00.00 - Passivo e Patrimônio Liquido,15457504073.33,3972202,Passivo Total,Paraíba
2016,PB,P2.1.0.0.0.00.00,2.1.0.0.0.00.00 - Passivo Circulante,692962259.4,3972202,Passivo Circulante,Paraíba
2016,PB,P2.2.0.0.0.00.00,2.2.0.0.0.00.00 - Passivo não-Circulante,4615535276.47,3972202,Passivo Não Circulante,Paraíba
2016,PB,P2.3.0.0.0.00.00,2.3.0.0.0.00.00 - Patrimônio Liquido,10149006537.46,3972202,Patrimônio Líquido,Paraíba
2017,PB,P1.0.0.0.0.00.00,1.0.0.0.0.00.00 - Ativo,17782144962.75,3999415,Ativo Total,Paraíba
2017,PB,P1.1.0.0.0.00.00,1.1.0.0.0.00.00 - Ativo Circulante,3334841434.61,3999415,Ativo Circulante,Paraíba
2017,PB,P1.2.0.0.0.00.00,1.2.0.0.0.00.00 - Ativo não Circulante,14447303528.14,3999415,Ativo Não Circulante,Paraíba
2017,PB,P2.0.0.0.0.00.00,2.0.0.0.0.00.00 - Passivo e Patrimônio Liquido,17782144962.75,3999415,Passivo Total,Paraíba
2017,PB,P2.1.0.0.0.00.00,2.1.0.0.0.00.00 - Passivo Circulante,642025698.21,3999415,Passivo Circulante,Paraíba
2017,PB,P2.2.0.0.0.00.00,2.2.0.0.0.00.00 - Passivo não-Circulante,4514081221.36,3999415,Passivo Não Circulante,Paraíba
2017,PB,P2.3.0.0.0.00.00,2.3.0.0.0.00.00 - Patrimônio Liquido,12626038043.18,3999415,Patrimônio Líquido,Paraíba
2018,PB,P1.0.0.0.0.00.00,1.0.0.0.0.00.00 - Ativo,20742560544.66,3999415,Ativo Total,Paraíba
2018,PB,P1.1.0.0.0.00.00,1.1.0.0.0.00.00 - Ativo Circulante,4941886711.72,3999415,Ativo Circulante,Paraíba
2018,PB,P1.2.0.0.0.00.00,1.2.0.0.0.00.00 - Ativo não Circulante,15800673832.94,3999415,Ativo Não Circulante,Paraíba
2018,PB,P2.0.0.0.0.00.00,2.0.0.0.0.00.00 - Passivo e Patrimônio Liquido,20742560544.66,3999415,Passivo Total,Paraíba
2018,PB,P2.1.0.0.0.00.00,2.1.0.0.0.00.00 - Passivo Circulante,637453210.28,3999415,Passivo Circulante,Paraíba
