exercicio,uf,cod_conta,conta,coluna,valor,populacao,conta_resumo,uf_nome
2015,PE,DO4.0.00.00.00.00,4.0.00.00.00.00 - Despesas de Capital,Despesas Liquidadas,2163508017.64,9277727,Total Despesas,Pernambuco
2015,PE,DO4.4.00.00.00.00,4.4.00.00.00.00 - Investimentos,Despesas Liquidadas,1066479955.64,9277727,Investimentos (Despesas de Capital),Pernambuco
2016,PE,DO4.0.00.00.00.00,4.0.00.00.00.00 - Despesas de Capital,Despesas Liquidadas,2249344371.32,9345173,Total Despesas,Pernambuco
2016,PE,DO4.4.00.00.00.00,4.4.00.00.00.00 - Investimentos,Despesas Liquidadas,1136616873.43,9345173,Investimentos (Despesas de Capital),Pernambuco
2017,PE,DO4.0.00.00.00.00,4.0.00.00.00.00 - Despesas de Capital,Despesas Liquidadas,2469439433.2,9410336,Total Despesas,Pernambuco
2017,PE,DO4.4.00.00.00.00,4.4.00.00.00.00 - Investimentos,Despesas Liquidadas,1143845958.48,9410336,Investimentos (Despesas de Capital),Pernambuco
2018,PE,DO4.0.00.00.00.00,4.0.00.00.00 - Despesas de Capital,Despesas Liquidadas,2352146311.99,9410336,Total Despesas,Pernambuco
2018,PE,DO4.4.00.00.00.00,4.4.00.00.00 - Investimentos,Despesas Liquidadas,869249725.48,9410336,Investimentos (Despesas de Capital),Pernambuco
2019,PE,DO4.0.00.00.00.00,4.0.00.00.00 - Despesas de Capital,Despesas Liquidadas,2147785383.25,9496294,Total Despesas,Pernambuco
2019,PE,DO4.4.00.00.00.00,4.4.00.00.00 - Investimentos,Despesas Liquidadas,646706650.03,9496294,Investimentos (Despesas de Capital),Pernambuco
2020,PE,DO4.0.00.00.00.00,4.0.00.00.00 - Despesas de Capital,Despesas Liquidadas,1944403563.33,9557071,Total Despesas,Pernambuco
2020,PE,DO4.4.00.00.00.00,4.4.00.00.00 - Investimentos,Despesas Liquidadas,690348237.12,9557071,Investimentos (Despesas de Capital),Pernambuco
2021,PE,DO4.0.00.00.00.00,4.0.00.00.00 - Despesas de Capital,Despesas Liquidadas,2813203963.15,9616621,Total Despesas,Pernambuco
2021,PE,DO4.4.00.00.00.00,4.4.00.00.00 - Investimentos,Despesas Liquidadas,1113709742.73,9616621,Investimentos (Despesas de Capital),Pernambuco
2022,PE,DO4.0.00.00.00.00,4.0.00.00.00 - Despesas de Capital,Despesas Liquidadas,5037249523.87,9674793,Total Despesas,Pernambuco
2022,PE,DO4.4.00.00.00.00,4.4.00.00.00 - Investimentos,Despesas Liquidadas,3043353412.04,9674793,Investimentos (Despesas de Capital),Pernambuco
2023,PE,DO4.0.00.00.00.00,4.0.00.00.00 - Despesas de Capital,Despesas Liquidadas,2747730653.37,9674793,Total Despesas,Pernambuco
2023,PE,DO4.4.00.00.00.00,4.4.00.00.00 - Investimentos,Despesas Liquidadas,1443793992.59,9674793,Investimentos (Despesas de Capital),Pernambuco
2024,PE,DO4.0.00.00.00.00,4.0.00.00.00 - Despesas de Capital,Despesas Liquidadas,4645612460.23,9051113,Total Despesas,Pernambuco
2024,PE,DO4.4.00.00.00.00,4.4.00.00.00 - Investimentos,Despesas Liquidadas,2949750744.85,9051113,Investimentos (Despesas de Capital),Pernambuco
