exercicio,uf,cod_conta,conta,valor,populacao,conta_resumo,uf_nome
2015,PE,P1.0.0.0.0.00.00,1.0.0.0.0.00.00 - Ativo,28767952649.16,9277727,Ativo Total,Pernambuco
2015,PE,P1.1.0.0.0.00.00,1.1.0.0.0.00.00 - Ativo Circulante,6238932901.6,9277727,Ativo Circulante,Pernambuco
2015,PE,P1.2.0.0.0.00.00,1.2.0.0.0.00.00 - Ativo não Circulante,22529019747.56,9277727,Ativo Não Circulante,Pernambuco
2015,PE,P2.0.0.0.0.00.00,2.0.0.0.0.00.00 - Passivo e Patrimônio Liquido,28767952649.16,9277727,Passivo Total,Pernambuco
2015,PE,P2.1.0.0.0.00.00,2.1.0.0.0.00.00 - Passivo Circulante,4799321911.36,9277727,Passivo Circulante,Pernambuco
2015,PE,P2.2.0.0.0.00.00,2.2.0.0.0.00.00 - Passivo não-Circulante,24864119498.38,9277727,Passivo Não Circulante,Pernambuco
2015,PE,P2.3.0.0.0.00.00,2.3.0.0.0.00.00 - Patrimônio Liquido,-895488760.58,9277727,Patrimônio Líquido,Pernambuco
2016,PE,P1.0.0.0.0.00.00,1.0.0.0.0.00.00 - Ativo,31944167876.76,9345173,Ativo Total,Pernambuco
2016,PE,P1.1.0.0.0.00.00,1.1.0.0.0.00.00 - Ativo Circulante,8188743603.75,9345173,Ativo Circulante,Pernambuco
2016,PE,P1.2.0.0.0.00.00,1.2.0.0.0.00.00 - Ativo não Circulante,23755424273.01,9345173,Ativo Não Circulante,Pernambuco
2016,PE,P2.0.0.0.0.00.00,2.0.0.0.0.00.00 - Passivo e Patrimônio Liquido,31944167876.76,9345173,Passivo Total,Pernambuco
2016,PE,P2.1.0.0.0.00.00,2.1.0.0.0.00.00 - Passivo Circulante,6242599267.5,9345173,Passivo Circulante,Pernambuco
2016,PE,P2.2.0.0.0.00.00,2.2.0.0.0.00.00 - Passivo não-Circulante,23605330146.11,9345173,Passivo Não Circulante,Pernambuco
2016,PE,P2.3.0.0.0.00.00,2.3.0.0.0.00.00 - Patrimônio Liquido,2096238463.15,9345173,Patrimônio Líquido,Pernambuco
2017,PE,P1.0.0.0.0.00.00,1.0.0.0.0.00.00 - Ativo,35381516836.76,9410336,Ativo Total,Pernambuco
2017,PE,P1.1.0.0.0.00.00,1.1.0.0.0.00.00 - Ativo Circulante,7180219762.31,9410336,Ativo Circulante,Pernambuco
2017,PE,P1.2.0.0.0.00.00,1.2.0.0.0.00.00 - Ativo não Circulante,28201297074.45,9410336,Ativo Não Circulante,Pernambuco
2017,PE,P2.0.0.0.0.00.00,2.0.0.0.0.00.00 - Passivo e Patrimônio Liquido,35381516836.76,9410336,Passivo Total,Pernambuco
2017,PE,P2.1.0.0.0.00.00,2.1.0.0.0.00.00 - Passivo Circulante,7158737037.19,9410336,Passivo Circulante,Pernambuco
2017,PE,P2.2.0.0.0.00.00,2.2.0.0.0.00.00 - Passivo não-Circulante,22906670115.43,9410336,Passivo Não Circulante,Pernambuco
2017,PE,P2.3.0.0.0.00.00,2.3.0.0.0.00.00 - Patrimônio Liquido,5316109684.14,9410336,Patrimônio Líquido,Pernambuco
2018,PE,P1.0.0.0.0.00.00,1.0.0.0.0.00.00 - Ativo,38095200954.85,9410336,Ativo Total,Pernambuco
2018,PE,P1.1.0.0.0.00.00,1.1.0.0.0.00.00 - Ativo Circulante,6711536290.82,9410336,Ativo Circulante,Pernambuco
2018,PE,P1.2.0.0.0.00.00,1.2.0.0.0.00.00 - Ativo não Circulante,31383664664.03,9410336,Ativo Não Circulante,Pernambuco
2018,PE,P2.0.0.0.0.00.00,2.0.0.0.0.00.00 - Passivo e Patrimônio Liquido,38095200954.85,9410336,Passivo Total,Pernambuco
2018,PE,P2.1.0.0.0.00.00,2.1.0.0.0.00.00 - Passivo Circulante,7236362370.95,9410336,Passivo Circulante,Pernambuco
2018,PE,P2.2.0.0.0.00.00,2.2.0.0.0.00.00 - Passivo não-Circulante,81934018526.36,9410336,Passivo Não Circulante,Pernambuco
2018,PE,P2.3.0.0.0.00.00,2.3.0.0.0.00.00 - Patrimônio Liquido,-51075179942.46,9410336,Patrimônio Líquido,Pernambuco
2019,PE,P1.0.0.0.0.00.00,1.0.0.0.0.00.00 - Ativo,41744251385.25,9496294,Ativo Total,Pernambuco
2019,PE,P1.1.0.0.0.00.00,1.1.0.0.0.00.00 - Ativo Circulante,7438503922.25,9496294,Ativo Circulante,Pernambuco
2019,PE,P1.2.0.0.0.00.00,1.2.0.0.0.00.00 - Ativo não Circulante,34305747463.0,9496294,Ativo Não Circulante,Pernambuco
