exercicio,uf,cod_conta,conta,coluna,valor,populacao,conta_resumo,uf_nome
2015,PI,DO4.0.00.00.00.00,4.0.00.00.00.00 - Despesas de Capital,Despesas Liquidadas,790854098.9,3194718,Total Despesas,Piauí
2015,PI,DO4.4.00.00.00.00,4.4.00.00.00.00 - Investimentos,Despesas Liquidadas,479273295.19,3194718,Investimentos (Despesas de Capital),Piauí
2016,PI,DO4.0.00.00.00.00,4.0.00.00.00.00 - Despesas de Capital,Despesas Liquidadas,1385766415.65,3204028,Total Despesas,Piauí
2016,PI,DO4.4.00.00.00.00,4.4.00.00.00.00 - Investimentos,Despesas Liquidadas,813402837.95,3204028,Investimentos (Despesas de Capital),Piauí
2017,PI,DO4.0.00.00.00.00,4.0.00.00.00.00 - Despesas de Capital,Despesas Liquidadas,1168583667.5,3212180,Total Despesas,Piauí
2017,PI,DO4.4.00.00.00.00,4.4.00.00.00.00 - Investimentos,Despesas Liquidadas,671052851.39,3212180,Investimentos (Despesas de Capital),Piauí
2018,PI,DO4.0.00.00.00.00,4.0.00.00.00 - Despesas de Capital,Despesas Liquidadas,1061201279.15,3212180,Total Despesas,Piauí
2018,PI,DO4.4.00.00.00.00,4.4.00.00.00 - Investimentos,Despesas Liquidadas,782792363.21,3212180,Investimentos (Despesas de Capital),Piauí
2019,PI,DO4.0.00.00.00.00,4.0.00.00.00 - Despesas de Capital,Despesas Liquidadas,1259012133.71,3264531,Total Despesas,Piauí
2019,PI,DO4.4.00.00.00.00,4.4.00.00.00 - Investimentos,Despesas Liquidadas,559043470.49,3264531,Investimentos (Despesas de Capital),Piauí
2020,PI,DO4.0.00.00.00.00,4.0.00.00.00 - Despesas de Capital,Despesas Liquidadas,1243195074.92,3273227,Total Despesas,Piauí
2020,PI,DO4.4.00.00.00.00,4.4.00.00.00 - Investimentos,Despesas Liquidadas,739845167.83,3273227,Investimentos (Despesas de Capital),Piauí
2021,PI,DO4.0.00.00.00.00,4.0.00.00.00 - Despesas de Capital,Despesas Liquidadas,1898484240.91,3281480,Total Despesas,Piauí
2021,PI,DO4.4.00.00.00.00,4.4.00.00.00 - Investimentos,Despesas Liquidadas,1189461105.25,3281480,Investimentos (Despesas de Capital),Piauí
2022,PI,DO4.0.00.00.00.00,4.0.00.00.00 - Despesas de Capital,Despesas Liquidadas,2820866595.01,3289290,Total Despesas,Piauí
2022,PI,DO4.4.00.00.00.00,4.4.00.00.00 - Investimentos,Despesas Liquidadas,2297971211.29,3289290,Investimentos (Despesas de Capital),Piauí
2023,PI,DO4.0.00.00.00.00,4.0.00.00.00 - Despesas de Capital,Despesas Liquidadas,3141809202.1,3289290,Total Despesas,Piauí
2023,PI,DO4.4.00.00.00.00,4.4.00.00.00 - Investimentos,Despesas Liquidadas,2018902122.99,3289290,Investimentos (Despesas de Capital),Piauí
2024,PI,DO4.0.00.00.00.00,4.0.00.00.00 - Despesas de Capital,Despesas Liquidadas,4312084727.78,3270174,Total Despesas,Piauí
2024,PI,DO4.4.00.00.00.00,4.4.00.00.00 - Investimentos,Despesas Liquidadas,2940181434.28,3270174,Investimentos (Despesas de Capital),Piauí
