exercicio,uf,cod_conta,conta,valor,populacao,conta_resumo,uf_nome
2015,PI,P1.0.0.0.0.00.00,1.0.0.0.0.00.00 - Ativo,6482072518.85,3194718,Ativo Total,Piauí
2015,PI,P1.1.0.0.0.00.00,1.1.0.0.0.00.00 - Ativo Circulante,1150177544.71,3194718,Ativo Circulante,Piauí
2015,PI,P1.2.0.0.0.00.00,1.2.0.0.0.00.00 - Ativo não Circulante,5331894974.14,3194718,Ativo Não Circulante,Piauí
2015,PI,P2.0.0.0.0.00.00,2.0.0.0.0.00.00 - Passivo e Patrimônio Liquido,6482072518.85,3194718,Passivo Total,Piauí
2015,PI,P2.1.0.0.0.00.00,2.1.0.0.0.00.00 - Passivo Circulante,323854486.66,3194718,Passivo Circulante,Piauí
2015,PI,P2.2.0.0.0.00.00,2.2.0.0.0.00.00 - Passivo não-Circulante,4713148662.8,3194718,Passivo Não Circulante,Piauí
2015,PI,P2.3.0.0.0.00.00,2.3.0.0.0.00.00 - Patrimônio Liquido,1445069369.39,3194718,Patrimônio Líquido,Piauí
2016,PI,P1.0.0.0.0.00.00,1.0.0.0.0.00.00 - Ativo,8054513954.68,3204028,Ativo Total,Piauí
2016,PI,P1.1.0.0.0.00.00,1.1.0.0.0.00.00 - Ativo Circulante,1647263604.19,3204028,Ativo Circulante,Piauí
2016,PI,P1.2.0.0.0.00.00,1.2.0.0.0.00.00 - Ativo não Circulante,6407250350.49,3204028,Ativo Não Circulante,Piauí
2016,PI,P2.0.0.0.0.00.00,2.0.0.0.0.00.00 - Passivo e Patrimônio Liquido,8054513954.68,3204028,Passivo Total,Piauí
2016,PI,P2.1.0.0.0.00.00,2.1.0.0.0.00.00 - Passivo Circulante,441983721.29,3204028,Passivo Circulante,Piauí
2016,PI,P2.2.0.0.0.00.00,2.2.0.0.0.00.00 - Passivo não-Circulante,4675569146.65,3204028,Passivo Não Circulante,Piauí
2016,PI,P2.3.0.0.0.00.00,2.3.0.0.0.00.00 - Patrimônio Liquido,2936961086.74,3204028,Patrimônio Líquido,Piauí
2017,PI,P1.0.0.0.0.00.00,1.0.0.0.0.00.00 - Ativo,9173684670.23,3212180,Ativo Total,Piauí
2017,PI,P1.1.0.0.0.00.00,1.1.0.0.0.00.00 - Ativo Circulante,1766250713.73,3212180,Ativo Circulante,Piauí
2017,PI,P1.2.0.0.0.00.00,1.2.0.0.0.00.00 - Ativo não Circulante,7407433956.5,3212180,Ativo Não Circulante,Piauí
2017,PI,P2.0.0.0.0.00.00,2.0.0.0.0.00.00 - Passivo e Patrimônio Liquido,9173684670.23,3212180,Passivo Total,Piauí
2017,PI,P2.1.0.0.0.00.00,2.1.0.0.0.00.00 - Passivo Circulante,809842887.14,3212180,Passivo Circulante,Piauí
2017,PI,P2.2.0.0.0.00.00,2.2.0.0.0.00.00 - Passivo não-Circulante,5145303910.08,3212180,Passivo Não Circulante,Piauí
2017,PI,P2.3.0.0.0.00.00,2.3.0.0.0.00.00 - Patrimônio Liquido,3218537873.01,3212180,Patrimônio Líquido,Piauí
