exercicio,uf,cod_conta,conta,coluna,valor,populacao,conta_resumo,uf_nome
2015,RN,DO4.0.00.00.00.00,4.0.00.00.00.00 - Despesas de Capital,Despesas Liquidadas,853046365.82,3408510,Total Despesas,Rio Grande do Norte
2015,RN,DO4.4.00.00.00.00,4.4.00.00.00.00 - Investimentos,Despesas Liquidadas,322646347.98,3408510,Investimentos (Despesas de Capital),Rio Grande do Norte
2016,RN,DO4.0.00.00.00.00,4.0.00.00.00.00 - Despesas de Capital,Despesas Liquidadas,853480305.69,3442175,Total Despesas,Rio Grande do Norte
2016,RN,DO4.4.00.00.00.00,4.4.00.00.00.00 - Investimentos,Despesas Liquidadas,396351810.91,3442175,Investimentos (Despesas de Capital),Rio Grande do Norte
2017,RN,DO4.0.00.00.00.00,4.0.00.00.00.00 - Despesas de Capital,Despesas Liquidadas,842062459.84,3474998,Total Despesas,Rio Grande do Norte
2017,RN,DO4.4.00.00.00.00,4.4.00.00.00.00 - Investimentos,Despesas Liquidadas,380734547.6,3474998,Investimentos (Despesas de Capital),Rio Grande do Norte
2018,RN,DO4.0.00.00.00.00,4.0.00.00.00 - Despesas de Capital,Despesas Liquidadas,1144166417.62,3474998,Total Despesas,Rio Grande do Norte
2018,RN,DO4.4.00.00.00.00,4.4.00.00.00 - Investimentos,Despesas Liquidadas,686981844.52,3474998,Investimentos (Despesas de Capital),Rio Grande do Norte
2019,RN,DO4.0.00.00.00.00,4.0.00.00.00 - Despesas de Capital,Despesas Liquidadas,836831474.55,3479010,Total Despesas,Rio Grande do Norte
2019,RN,DO4.4.00.00.00.00,4.4.00.00.00 - Investimentos,Despesas Liquidadas,483413831.41,3479010,Investimentos (Despesas de Capital),Rio Grande do Norte
2020,RN,DO4.0.00.00.00.00,4.0.00.00.00 - Despesas de Capital,Despesas Liquidadas,614532700.93,3506853,Total Despesas,Rio Grande do Norte
2020,RN,DO4.4.00.00.00.00,4.4.00.00.00 - Investimentos,Despesas Liquidadas,379326758.44,3506853,Investimentos (Despesas de Capital),Rio Grande do Norte
2021,RN,DO4.0.00.00.00.00,4.0.00.00.00 - Despesas de Capital,Despesas Liquidadas,569432109.6,3534165,Total Despesas,Rio Grande do Norte
2021,RN,DO4.4.00.00.00.00,4.4.00.00.00 - Investimentos,Despesas Liquidadas,316999095.19,3534165,Investimentos (Despesas de Capital),Rio Grande do Norte
2022,RN,DO4.0.00.00.00.00,4.0.00.00.00 - Despesas de Capital,Despesas Liquidadas,1074747085.56,3560903,Total Despesas,Rio Grande do Norte
2022,RN,DO4.4.00.00.00.00,4.4.00.00.00 - Investimentos,Despesas Liquidadas,705803398.67,3560903,Investimentos (Despesas de Capital),Rio Grande do Norte
2023,RN,DO4.0.00.00.00.00,4.0.00.00.00 - Despesas de Capital,Despesas Liquidadas,738500192.64,3560903,Total Despesas,Rio Grande do Norte
2023,RN,DO4.4.00.00.00.00,4.4.00.00.00 - Investimentos,Despesas Liquidadas,351066280.69,3560903,Investimentos (Despesas de Capital),Rio Grande do Norte
2024,RN,DO4.0.00.00.00.00,4.0.00.00.00 - Despesas de Capital,Despesas Liquidadas,1237691206.48,3303953,Total Despesas,Rio Grande do Norte
2024,RN,DO4.4.00.00.00.00,4.4.00.00.00 - Investimentos,Despesas Liquidadas,884435528.36,3303953,Investimentos (Despesas de Capital),Rio Grande do Norte
