exercicio,uf,cod_conta,conta,valor,populacao,conta_resumo,uf_nome
2015,RN,P1.0.0.0.0.00.00,1.0.0.0.0.00.00 - Ativo,10864940608.79,3408510,Ativo Total,Rio Grande do Norte
2015,RN,P1.1.0.0.0.00.00,1.1.0.0.0.00.00 - Ativo Circulante,1664545494.56,3408510,Ativo Circulante,Rio Grande do Norte
2015,RN,P1.2.0.0.0.00.00,1.2.0.0.0.00.00 - Ativo não Circulante,9200395114.23,3408510,Ativo Não Circulante,Rio Grande do Norte
2015,RN,P2.0.0.0.0.00.00,2.0.0.0.0.00.00 - Passivo e Patrimônio Liquido,10864940608.79,3408510,Passivo Total,Rio Grande do Norte
2015,RN,P2.1.0.0.0.00.00,2.1.0.0.0.00.00 - Passivo Circulante,494737111.13,3408510,Passivo Circulante,Rio Grande do Norte
2015,RN,P2.2.0.0.0.00.00,2.2.0.0.0.00.00 - Passivo não-Circulante,1992161570.91,3408510,Passivo Não Circulante,Rio Grande do Norte
2015,RN,P2.3.0.0.0.00.00,2.3.0.0.0.00.00 - Patrimônio Liquido,8378041926.75,3408510,Patrimônio Líquido,Rio Grande do Norte
2016,RN,P1.0.0.0.0.00.00,1.0.0.0.0.00.00 - Ativo,12318447207.86,3442175,Ativo Total,Rio Grande do Norte
2016,RN,P1.1.0.0.0.00.00,1.1.0.0.0.00.00 - Ativo Circulante,2246520803.51,3442175,Ativo Circulante,Rio Grande do Norte
2016,RN,P1.2.0.0.0.00.00,1.2.0.0.0.00.00 - Ativo não Circulante,10071926404.35,3442175,Ativo Não Circulante,Rio Grande do Norte
2016,RN,P2.0.0.0.0.00.00,2.0.0.0.0.00.00 - Passivo e Patrimônio Liquido,12318447207.86,3442175,Passivo Total,Rio Grande do Norte
2016,RN,P2.1.0.0.0.00.00,2.1.0.0.0.00.00 - Passivo Circulante,1150203654.11,3442175,Passivo Circulante,Rio Grande do Norte
2016,RN,P2.2.0.0.0.00.00,2.2.0.0.0.00.00 - Passivo não-Circulante,2311680952.11,3442175,Passivo Não Circulante,Rio Grande do Norte
2016,RN,P2.3.0.0.0.00.00,2.3.0.0.0.00.00 - Patrimônio Liquido,8856562601.64,3442175,Patrimônio Líquido,Rio Grande do Norte
2017,RN,P1.0.0.0.0.00.00,1.0.0.0.0.00.00 - Ativo,13806399520.27,3474998,Ativo Total,Rio Grande do Norte
2017,RN,P1.1.0.0.0.00.00,1.1.0.0.0.00.00 - Ativo Circulante,2321735896.95,3474998,Ativo Circulante,Rio Grande do Norte
2017,RN,P1.2.0.0.0.00.00,1.2.0.0.0.00.00 - Ativo não Circulante,11484663623.32,3474998,Ativo Não Circulante,Rio Grande do Norte
2017,RN,P2.0.0.0.0.00.00,2.0.0.0.0.00.00 - Passivo e Patrimônio Liquido,13806399520.27,3474998,Passivo Total,Rio Grande do Norte
2017,RN,P2.1.0.0.0.00.00,2.1.0.0.0.00.00 - Passivo Circulante,1825607280.79,3474998,Passivo Circulante,Rio Grande do Norte
2017,RN,P2.2.0.0.0.00.00,2.2.0.0.0.00.00 - Passivo não-Circulante,2401874743.89,3474998,Passivo Não Circulante,Rio Grande do Norte
2017,RN,P2.3.0.0.0.00.00,2.3.0.0.0.00.00 - Patrimônio Liquido,9578917495.59,3474998,Patrimônio Líquido,Rio Grande do Norte
2018,RN,P1.0.0.0.0.00.00,1.0.0.0.0.00.00 - Ativo,15202767632.9,3474998,Ativo Total,Rio Grande do Norte
2018,RN,P1.1.0.0.0.00.00,1.1.0.0.0.00.00 - Ativo Circulante,2625915871.57,3474998,Ativo Circulante,Rio Grande do Norte
2018,RN,P1.2.0.0.0.00.00,1.2.0.0.0.00.00 - Ativo não Circulante,12576851761.33,3474998,Ativo Não Circulante,Rio Grande do Norte
2018,RN,P2.0.0.0.0.00.00,2.0.0.0.0.00.00 - Passivo e Patrimônio Liquido,15202767632.9,3474998,Passivo Total,Rio Grande do Norte
2018,RN,P2.1.0.0.0.00.00,2.1.0.0.0.00.00 - Passivo Circulante,3739372410.5,3474998,Passivo Circulante,Rio Grande do Norte
2018,RN,P2.2.0.0.0.00.00,2.2.0.0.0.00.00 - Passivo não-Circulante,2810448183.57,3474998,Passivo Não Circulante,Rio Grande do Norte
2018,RN,P2.3.0.0.0.00.00,2.3.0.0.0.00.00 - Patrimônio Liquido,8652947038.83,3474998,Patrimônio Líquido,Rio Grande do Norte
2019,RN,P1.0.0.0.0.00.00,1.0.0.0.0.00.00 - Ativo,10055082782.66,3479010,Ativo Total,Rio Grande do Norte
