exercicio,uf,cod_conta,conta,coluna,valor,populacao,conta_resumo,uf_nome
2015,SE,DO4.0.00.00.00.00,4.0.00.00.00.00 - Despesas de Capital,Despesas Liquidadas,591620084.17,2219574,Total Despesas,Sergipe
2015,SE,DO4.4.00.00.00.00,4.4.00.00.00.00 - Investimentos,Despesas Liquidadas,337967651.29,2219574,Investimentos (Despesas de Capital),Sergipe
2016,SE,DO4.0.00.00.00.00,4.0.00.00.00.00 - Despesas de Capital,Despesas Liquidadas,638310523.42,2242937,Total Despesas,Sergipe
2016,SE,DO4.4.00.00.00.00,4.4.00.00.00.00 - Investimentos,Despesas Liquidadas,369675557.23,2242937,Investimentos (Despesas de Capital),Sergipe
2017,SE,DO4.0.00.00.00.00,4.0.00.00.00.00 - Despesas de Capital,Despesas Liquidadas,613287993.01,2265779,Total Despesas,Sergipe
2017,SE,DO4.4.00.00.00.00,4.4.00.00.00.00 - Investimentos,Despesas Liquidadas,311832488.63,2265779,Investimentos (Despesas de Capital),Sergipe
2018,SE,DO4.0.00.00.00.00,4.0.00.00.00 - Despesas de Capital,Despesas Liquidadas,671934406.35,2265779,Total Despesas,Sergipe
2018,SE,DO4.4.00.00.00.00,4.4.00.00.00 - Investimentos,Despesas Liquidadas,385599929.09,2265779,Investimentos (Despesas de Capital),Sergipe
2019,SE,DO4.0.00.00.00.00,4.0.00.00.00 - Despesas de Capital,Despesas Liquidadas,609496651.52,2278308,Total Despesas,Sergipe
2019,SE,DO4.4.00.00.00.00,4.4.00.00.00 - Investimentos,Despesas Liquidadas,205631587.68,2278308,Investimentos (Despesas de Capital),Sergipe
2020,SE,DO4.0.00.00.00.00,4.0.00.00.00 - Despesas de Capital,Despesas Liquidadas,668607979.85,2298696,Total Despesas,Sergipe
2020,SE,DO4.4.00.00.00.00,4.4.00.00.00 - Investimentos,Despesas Liquidadas,282282032.74,2298696,Investimentos (Despesas de Capital),Sergipe
2021,SE,DO4.0.00.00.00.00,4.0.00.00.00 - Despesas de Capital,Despesas Liquidadas,754191335.89,2318822,Total Despesas,Sergipe
2021,SE,DO4.4.00.00.00.00,4.4.00.00.00 - Investimentos,Despesas Liquidadas,417221923.52,2318822,Investimentos (Despesas de Capital),Sergipe
2022,SE,DO4.0.00.00.00.00,4.0.00.00.00 - Despesas de Capital,Despesas Liquidadas,1264936974.18,2338474,Total Despesas,Sergipe
2022,SE,DO4.4.00.00.00.00,4.4.00.00.00 - Investimentos,Despesas Liquidadas,988347713.73,2338474,Investimentos (Despesas de Capital),Sergipe
2023,SE,DO4.0.00.00.00.00,4.0.00.00.00 - Despesas de Capital,Despesas Liquidadas,1066000918.38,2338474,Total Despesas,Sergipe
2023,SE,DO4.4.00.00.00.00,4.4.00.00.00 - Investimentos,Despesas Liquidadas,778917897.51,2338474,Investimentos (Despesas de Capital),Sergipe
2024,SE,DO4.0.00.00.00.00,4.0.00.00.00 - Despesas de Capital,Despesas Liquidadas,1152627372.13,2211868,Total Despesas,Sergipe
2024,SE,DO4.4.00.00.00.00,4.4.00.00.00 - Investimentos,Despesas Liquidadas,665068527.75,2211868,Investimentos (Despesas de Capital),Sergipe
